@attribute Std_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_D numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_G# numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute BeatHisto_NumMax numeric

@data

0.088615,0.000622,4.548194,5.505878,6.574491,9.776255,0.428921,0.415242,0.394376,2.12317,-117.270253,0.627157,0.971377,3.944886,0.214013,0.224593,0.198648,0.17068,0.038509,0.044987,0.053822,0.080792,0.038662,0.000146,0.11409,0.065553,0.04503,0.006447,0.000138,0.000152,0.150588,0.221117,1.007921,0.001122,0.012523
0.015871,0.000027,5.281801,7.929351,10.398763,12.178062,0.309256,0.295916,0.224762,2.129261,-173.328972,0.492899,0.67413,4.250393,0.211741,0.182779,0.162468,0.115339,0.022321,0.037189,0.04067,0.071438,0.059263,0.000021,0.093061,0.100501,0.065407,0.004193,0.000028,0.000017,0.148848,0.21412,1.004122,0.001033,0
0.175701,0.000919,4.324677,6.379903,7.074764,6.184013,0.416082,0.445025,0.433382,2.006607,-1898.11438,0.6591,0.836373,3.691512,0.229956,0.221263,0.199631,0.152791,0.034707,0.051375,0.067079,0.093027,0.040939,0.000241,0.113728,0.104507,0.08929,0.01046,0.000309,0.000271,0.137638,0.218087,1.003986,0.00095,0.003494
0.287976,0.001145,3.911763,5.586251,5.473522,8.400856,0.469997,0.489906,0.457822,2.121933,-90.074142,0.557498,0.736649,3.054011,0.210736,0.214679,0.193062,0.12229,0.042807,0.035119,0.044255,0.066631,0.032561,0.000198,0.119368,0.086211,0.054616,0.004088,0.000155,0.000137,0.157217,0.215771,1.004373,0.000931,0.003349
0.108564,0.000055,5.142932,6.178315,7.282815,9.050468,0.374539,0.310316,0.35537,2.093082,-505.170886,0.600149,0.87443,4.039804,0.220783,0.21798,0.181004,0.14939,0.045191,0.062137,0.051847,0.068523,0.080558,0.000028,0.12621,0.076643,0.08757,0.007233,0.000039,0.000031,0.149794,0.216988,1.004914,0.001038,0.002972
0.418573,0.000906,5.07733,5.081105,6.08189,7.414112,0.447766,0.46365,0.438374,2.152266,-39.997836,0.606157,0.807025,2.774962,0.218052,0.216393,0.204775,0.146034,0.026395,0.04821,0.064045,0.066726,0.185252,0.000191,0.116189,0.068638,0.109591,0.006804,0.000281,0.000252,0.155248,0.215752,1.004617,0.000998,0.006291
0.004423,0.000752,4.421985,5.249871,6.637964,8.93214,0.42124,0.420262,0.43278,2.078645,-290.470247,0.563697,0.882047,3.577427,0.213412,0.21014,0.177534,0.151416,0.035957,0.039311,0.041699,0.06554,0.0428,0.000127,0.074389,0.072018,0.018046,0.005525,0.000081,0.000075,0.151884,0.213852,1.006843,0.001147,0.005014
0.102723,0.000154,4.733487,6.164941,6.780477,10.926843,0.402254,0.437823,0.420972,2.114358,-55.454984,0.55976,0.792343,3.978001,0.203119,0.203366,0.165984,0.122035,0.028906,0.037896,0.044386,0.052234,0.05558,0.000033,0.08934,0.091819,0.056933,0.00516,0.000025,0.000022,0.158713,0.211211,1.005956,0.00096,0.009845
0.045159,0.000121,4.472248,5.997623,7.370323,9.902191,0.422539,0.428209,0.393902,2.089026,-123.720955,0.541572,0.813542,4.31544,0.227416,0.210172,0.182289,0.137829,0.044538,0.046276,0.053295,0.069244,0.054765,0.000036,0.088585,0.066956,0.045224,0.005689,0.000072,0.00006,0.150804,0.213262,1.010977,0.001495,0.017068
0.528626,0.000951,5.172737,5.440199,7.316769,9.171293,0.409563,0.385091,0.386062,2.132076,-41.871917,0.540418,0.704469,3.752769,0.194352,0.203191,0.188075,0.127893,0.030955,0.04195,0.043507,0.070166,0.047703,0.000288,0.084959,0.079684,0.036541,0.004457,0.000126,0.00012,0.157633,0.215895,1.00309,0.000848,0.002426
-0.099445,0.000061,4.955601,5.854638,7.07246,8.367698,0.356204,0.348624,0.437747,2.119121,-56.179586,0.584864,1.006506,3.150579,0.216845,0.213199,0.168754,0.122502,0.039186,0.038768,0.034563,0.060188,0.057063,0.000015,0.091365,0.063273,0.029369,0.006168,0.000017,0.000017,0.153592,0.210961,1.003193,0.00089,0
0.59581,0.000089,3.110813,4.229347,4.217632,5.629322,0.600809,0.633725,0.598115,2.176591,-19.683817,0.555794,0.700642,2.253564,0.150331,0.200826,0.170933,0.14493,0.009246,0.027617,0.04961,0.050152,0.007464,0.000081,0.215033,0.100415,0.010018,0.00861,0.00009,0.000047,0.163563,0.221998,1.002808,0.000871,0.001246
-0.137062,0.001255,3.837678,4.577844,6.643163,8.932853,0.431839,0.486473,0.528661,2.106789,-216.230999,0.538468,0.798487,3.579704,0.195932,0.206742,0.177876,0.109005,0.024522,0.033565,0.04356,0.082469,0.028069,0.000174,0.095463,0.069142,0.028822,0.004891,0.000222,0.00014,0.154978,0.21382,1.003684,0.000873,0
