@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.085207,0.000253,0.000765,0.000981,5.17255,0.402341,0.349136,0.419201,0.401412,2.137376,4.385282,0.00083,0.859306,0.809945,3.038828,0.188843,0.169058,0.055976,0.074385,0.036711,0.087869,0.071452,0.071898,0.006053,0.211095,1.009624,0.001279,0.273214,0.015663,69.28427,4.81742,1.383676,0.692991,0.809466,0.89464,0.054193,40.71204,5.582987,260.3038,1.009174,0.023464,0.082548,0.293179,0.000207,0.004655,2036.697,0.670104,0,0.778961,0.078439,0,0.172295,0.003384,417.0367,93548.02
0.439822,0.075605,0.00001,0.000009,6.920239,0.403106,0.43369,0.422604,0.427873,2.117889,9.132566,0.000008,0.769755,0.69624,2.876896,0.148086,0.115347,0.042128,0.044391,0.080968,0.20802,0.126099,0.063316,0.00469,0.213036,1.003997,0.000999,0.292409,0,152.5245,9.174748,1.716793,0.514763,2.508464,0.881776,0.115595,54.16325,5.320913,7941.926,16.36737,0.033661,0.021374,3.425955,0.000405,0.018956,7211.053,3.982684,0,0.796937,0.112685,0,0.161936,0.005222,1125.405,600916.7
-0.079118,0.15076,0.000151,0.000222,5.376636,0.385505,0.437887,0.416737,0.355521,2.152962,3.221301,0.000294,0.984005,0.728883,3.094304,0.211864,0.146168,0.04613,0.061661,0.104069,0.100501,0.088121,0.045897,0.009372,0.213209,1.013613,0.001781,0.264256,0.021865,72.37757,6.124872,1.68917,0.524445,0.847764,0.888046,0.069038,16.89071,4.003211,463.9287,1.816901,0.047511,0.016456,0.612431,0.000371,0.013553,522.1224,1.125897,0,0.788282,0.096244,0,0.167005,0.004606,1599.696,1815577
0.321117,0.118494,0.001168,0.001414,4.856417,0.543731,0.520036,0.489573,0.455657,2.153917,3.031757,0.000879,0.724424,0.654422,3.238689,0.165087,0.122039,0.035733,0.038002,0.079135,0.086986,0.068318,0.114299,0.004946,0.21719,1.005408,0.001075,0.267927,0.005145,91.57098,6.305784,1.564544,0.614375,1.303074,0.902264,0.140313,37.75605,5.122218,169.8353,0.551547,0.012201,0.008276,0.222834,0.000078,0.025604,2293.646,0.300665,0,0.743009,0.093829,0,0.191074,0.005539,685.6626,361591.8
-0.539102,-0.154584,0.000396,0.000584,5.040124,0.375272,0.440944,0.457282,0.508696,2.116397,13.741546,0.000388,0.899543,0.62909,3.315287,0.181444,0.16079,0.054222,0.080705,0.061277,0.08638,0.087007,0.088039,0.006962,0.21464,1.008388,0.001443,0.291653,0.025392,66.43505,4.485531,1.334448,0.656089,0.701971,0.876681,0.066322,59.05139,5.793668,465.6917,2.158412,0.059187,0.160035,0.524229,0.000887,0.006198,3809.849,3.626236,0,0.683089,0.081121,0,0.216623,0.005496,545.5639,183713
-0.261734,-0.203166,0.000349,0.000517,7.91671,0.302317,0.421635,0.31535,0.402284,2.103575,8.032816,0.000544,0.772226,0.739441,3.681351,0.172887,0.163279,0.043061,0.053239,0.046443,0.120506,0.104424,0.045086,0.006002,0.201705,1.005865,0.001292,0.272393,0.007915,77.12603,5.097473,1.397871,0.646129,0.781338,0.895428,0.07576,39.07327,5.720765,396.1806,1.44711,0.02621,0.069616,0.19939,0.000224,0.008571,1749.285,0.592946,0,0.983356,0.100679,0,0.016378,0.00156,595.2763,187750.3
0.80876,-0.246005,0.000214,0.000266,4.589508,0.450961,0.536396,0.529502,0.375871,2.102308,7.365931,0.000137,0.58151,0.593939,2.948591,0.160724,0.112584,0.036907,0.043531,0.076965,0.074722,0.066616,0.030965,0.004058,0.213685,1.003234,0.000851,0.285291,0,90.2923,6.822527,1.656878,0.52333,1.14701,0.895167,0.118618,50.74228,4.618775,79.30974,0.763678,0.013583,0.002316,0.124492,0.000044,0.012154,1624.838,0.076777,0,0.98269,0.155025,0,0.017022,0.002269,860.639,284345.2
0.218437,-0.012602,0.000492,0.000669,5.363787,0.433033,0.400896,0.467574,0.474394,2.134237,7.5138,0.000571,0.854093,0.945112,2.884098,0.20227,0.134291,0.052206,0.072264,0.03876,0.128094,0.070356,0.078834,0.007287,0.216289,1.0049,0.001079,0.279136,0.005728,57.41004,3.770491,1.207728,1.067395,0.860848,0.883725,0.040017,27.99628,6.464512,216.2873,1.224115,0.040213,0.385465,0.290918,0.000379,0.00404,859.2067,1.826512,0,0.938748,0.103218,0,0.057538,0.003292,283.1024,48633.66
0.399492,0.243923,0.000944,0.001179,5.663611,0.406865,0.420729,0.421624,0.396831,2.085785,13.115259,0.000794,0.822195,0.941695,3.462494,0.1972,0.146313,0.041908,0.048513,0.04974,0.129268,0.10003,0.079792,0.009927,0.215496,1.004557,0.001086,0.278148,0.002145,76.77355,4.988825,1.38099,0.810199,1.083172,0.892511,0.07212,23.87747,5.832548,253.9287,1.351853,0.031518,0.13052,0.178759,0.000289,0.010691,1946.194,0.74129,0,0.856192,0.109208,0,0.12321,0.004821,574.3962,174037
-0.00205,0.014418,0.000184,0.000242,4.749564,0.510291,0.491953,0.483918,0.423008,2.147408,7.10519,0.000339,1.020763,0.747778,3.084622,0.175495,0.127918,0.075167,0.089629,0.066575,0.129128,0.081226,0.108112,0.008391,0.217097,1.010353,0.00166,0.290859,0.022216,56.01538,4.363816,1.363739,0.651108,0.536107,0.8903,0.061877,53.43473,5.192588,355.2697,1.696072,0.04688,0.059185,0.391898,0.000265,0.003242,2777.503,1.566157,0,0.670439,0.082702,0,0.221098,0.006031,353.4148,134659.7
