@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_SharpnessA numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Volume numeric
@attribute mean_Complex_Tonal numeric
@attribute std_SpectralCentroid numeric
@attribute output {sexy,notsexy}

@data
0.647839,0.066419,27.7797,0.164359,2055.522,0.075046,353834.8,sexy
0.646207,0.120201,46.61884,0.231647,5873.413,0.118757,98062.75,sexy
0.666328,0.043965,13.2084,0.341274,313.634,0.096526,558864.7,sexy
1.130649,0.054056,30.88322,0.220262,1110.852,0.108396,38779.46,sexy
0.62463,0.097316,69.78033,0.234874,5108.563,0.114342,140496.9,sexy
0.965898,0.092027,49.91409,0.254858,3501.27,0.097955,157739.8,sexy
0.671685,0.105703,71.13964,0.094576,1832.564,0.092692,16820.97,sexy
0.706452,0.13671,69.58352,0.24935,4314.307,0.115821,65122.56,sexy
0.863651,0.097455,50.19505,0.204398,1437.042,0.104623,17737.36,sexy
0.956226,0.148874,91.101,0.194014,9433.221,0.11957,119107.9,sexy
0.810199,0.07212,23.87747,0.178759,1946.194,0.109208,174037,sexy
0.847039,0.062224,47.13252,0.41365,3188.58,0.074849,210590.6,sexy
0.608798,0.082891,47.59159,0.273041,4098.608,0.10954,239640,sexy
0.58515,0.049327,42.91168,0.027095,1111.445,0.106573,92015.46,sexy
0.713007,0.095141,18.46138,0.419217,558.472,0.082336,833674.8,sexy
0.747278,0.080685,51.01553,0.464298,7851.133,0.096073,184109.4,sexy
0.640088,0.053515,9.098803,0.280643,206.8381,0.028416,887553.3,sexy
0.364794,0.090475,84.20473,0.039028,2541.537,0.119153,115890,sexy
0.717757,0.043739,25.20102,0.441488,689.5946,0.101145,363766.9,sexy
0.612961,0.114771,73.58806,0.189974,4708.248,0.093966,206255.9,sexy
0.609897,0.11587,88.65539,0.159003,6906.27,0.103595,470103.3,sexy
1.264886,0.06577,27.58869,0.190876,943.113,0.089497,24635.78,sexy
0.609965,0.120608,65.22498,0.719446,4638.094,0.137329,343064.8,sexy
0.586825,0.059855,42.32638,0.265923,6887.251,0.087009,403326.5,sexy
0.57937,0.140532,37.66644,0.07519,1944.623,0.104604,264923.6,notsexy
0.561277,0.092637,44.15475,0.12293,2949.16,0.124271,192355.3,notsexy
0.904676,0.058764,14.96793,0.339992,480.7814,0.097133,327341.6,notsexy
1.018827,0.068099,33.43679,0.323089,1426.887,0.091195,94984.14,notsexy
0.667035,0.061407,19.76825,0.533006,561.8241,0.127894,154503,notsexy
0.652828,0.151147,96.6728,0.124978,10263.09,0.140085,36859.33,notsexy
0.713913,0.066392,24.13971,0.08231,712.5911,0.128656,501689.5,notsexy
0.564389,0.103341,50.13089,0.41221,4011.944,0.112516,266566.1,notsexy
0.564389,0.103341,50.13089,0.41221,4011.944,0.112516,266566.1,notsexy
0.688877,0.08674,62.36436,0.055958,3284.328,0.124581,331120.6,notsexy
0.688877,0.08674,62.36436,0.055958,3284.328,0.124581,331120.6,notsexy
0.635584,0.059229,15.54126,0.190964,459.4359,0.120417,221418.3,notsexy
0.94968,0.062475,28.58048,0.292614,2133.724,0.112394,25013.56,notsexy
0.570868,0.179048,134.4754,0.308257,18488.68,0.102984,301631.8,notsexy
0.570868,0.179048,134.4754,0.308257,18488.68,0.102984,301631.8,notsexy
0.673835,0.11154,91.45646,0.146364,5794.494,0.109806,149866.9,notsexy
0.524445,0.069038,16.89071,0.612431,522.1224,0.096244,1815577,notsexy
0.584468,0.259485,194.6522,0.1997,28798.79,0.07893,213853.9,notsexy
0.592196,0.104146,72.52674,0.194326,4353.963,0.103238,167857.2,notsexy
0.592196,0.104146,72.52674,0.194326,4353.963,0.103238,167857.2,notsexy
0.524865,0.061588,42.70353,0.202295,2206.586,0.116924,289864.6,notsexy
0.524865,0.061588,42.70353,0.202295,2206.586,0.116924,289864.6,notsexy
0.524865,0.061588,42.70353,0.202295,2206.586,0.116924,289864.6,notsexy
0.81673,0.135104,102.7687,0.528224,4490.405,0.132383,10173.53,notsexy
0.677861,0.063282,79.75022,0.133998,6387.762,0.110636,17845.65,notsexy
0.65412,0.114049,148.7198,0.065014,9590.944,0.063695,57251.79,notsexy
0.541677,0.164232,70.85562,0.138672,4154.553,0.046812,80617.39,notsexy
0.732322,0.121971,170.6964,0.075699,23654.32,0.108764,208592.8,notsexy
0.732322,0.121971,170.6964,0.075699,23654.32,0.108764,208592.8,notsexy
0.732322,0.121971,170.6964,0.075699,23654.32,0.108764,208592.8,notsexy
0.611456,0.089528,48.97509,0.147366,2434.871,0.097152,322991.8,notsexy
0.634031,0.102335,22.26867,0.342053,860.4766,0.087178,295425.4,notsexy
0.525862,0.07102,84.52229,0.111354,3388.85,0.093704,29129.09,notsexy
0.525862,0.07102,84.52229,0.111354,3388.85,0.093704,29129.09,notsexy
0.525862,0.07102,84.52229,0.111354,3388.85,0.093704,29129.09,notsexy
0.602024,0.072257,101.0439,0.116929,3377.186,0.066899,60490.74,notsexy
0.602024,0.072257,101.0439,0.116929,3377.186,0.066899,60490.74,notsexy
0.602024,0.072257,101.0439,0.116929,3377.186,0.066899,60490.74,notsexy
0.669986,0.069013,39.45985,0.498293,2284.232,0.122009,134177.3,notsexy
0.669986,0.069013,39.45985,0.498293,2284.232,0.122009,134177.3,notsexy
0.669986,0.069013,39.45985,0.498293,2284.232,0.122009,134177.3,notsexy
