@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute BeatHisto_PeriodicSpread2 numeric
@attribute BeatHisto_NumMax numeric

@data

0.357255,-0.335563,0.000237,0.00022,5.833673,0.415074,0.441762,0.455209,0.432051,2.144351,5.098244,0.000169,0.829418,0.809951,3.074402,0.177521,0.114262,0.037893,0.066265,0.037426,0.109935,0.067909,0.077339,0.005044,0.209737,1.003184,0.00087,0.28873,0
-0.359019,0.367339,0.000274,0.000293,6.851015,0.3508,0.387649,0.353436,0.407681,2.120572,13.678553,0.00026,0.969106,0.94072,3.812136,0.175416,0.163903,0.043998,0.071091,0.023501,0.10092,0.131095,0.020099,0.006726,0.215681,1.005474,0.001078,0.285013,0.012785
-0.066631,0.063763,0.000055,0.000047,5.387643,0.417025,0.465874,0.505656,0.396141,2.09639,5.960567,0.000041,0.785869,0.723962,3.811436,0.179896,0.113792,0.044708,0.045136,0.084521,0.086693,0.062612,0.022731,0.004249,0.209608,1.004454,0.00095,0.295229,0.003668
0.25142,-0.03044,0.000081,0.000087,7.160395,0.411365,0.409072,0.379943,0.404745,2.107525,8.758893,0.00006,0.874253,0.840566,3.60224,0.172158,0.144995,0.043361,0.050167,0.064677,0.093557,0.082074,0.044778,0.005677,0.212006,1.004722,0.000966,0.28699,0.005835
0.313261,0.220057,0.000172,0.000149,6.186612,0.431389,0.381434,0.380053,0.447601,2.100558,15.116556,0.000116,0.815792,0.773692,3.210188,0.173705,0.152484,0.051999,0.051182,0.084641,0.133164,0.088052,0.085322,0.006172,0.213636,1.003201,0.000878,0.286549,0
0.734897,0.198996,0.000475,0.000659,4.956645,0.578159,0.488543,0.49571,0.458636,2.123429,8.885788,0.000297,0.756,0.74082,2.936902,0.148169,0.12075,0.043995,0.061699,0.021887,0.104603,0.077982,0.065964,0.007276,0.21583,1.004187,0.000942,0.292469,0.003832
0.175701,0.06532,0.00063,0.000919,6.379903,0.416082,0.445025,0.433382,0.449303,2.006607,48.637623,0.000576,0.783668,0.836373,3.691512,0.200333,0.152791,0.051375,0.067079,0.040939,0.113728,0.104507,0.08929,0.01046,0.218087,1.003986,0.00095,0.268319,0.003494
0.2703,0.022852,0.000284,0.000302,6.231568,0.34018,0.356816,0.392154,0.39577,2.090949,12.75047,0.000204,0.794202,0.847701,3.700951,0.172088,0.13383,0.04571,0.057493,0.059263,0.135246,0.097,0.054078,0.006402,0.215688,1.003596,0.000991,0.292998,0.005718
0.350672,-0.024192,0.000644,0.000609,5.464172,0.509051,0.487409,0.475475,0.465713,2.150421,4.543722,0.000544,0.769117,0.889105,3.094886,0.189418,0.129388,0.070582,0.073289,0.039907,0.10079,0.066293,0.069533,0.007808,0.214969,1.009105,0.001575,0.27536,0.008816
0.414839,-0.068169,0.000326,0.000461,5.567826,0.450887,0.466399,0.474368,0.423018,2.159753,5.49731,0.000452,0.749007,0.764295,3.072474,0.163443,0.141585,0.044105,0.062968,0.028892,0.095603,0.085109,0.079943,0.008109,0.217356,1.003778,0.001061,0.27255,0
