@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute output {groovy,notgroovy}

@data
1.547454,0.89449,75.96813,0.112272,notgroovy
1.547454,0.89449,75.96813,0.112272,notgroovy
1.18909,0.88599,192.3856,0.173863,notgroovy
1.372217,0.894097,34.17953,0.051963,notgroovy
1.372217,0.894097,34.17953,0.051963,notgroovy
1.330457,0.884673,5.038738,0.048162,notgroovy
1.330457,0.884673,5.038738,0.048162,notgroovy
1.324021,0.888366,137.5,0.218746,notgroovy
1.324021,0.888366,137.5,0.218746,notgroovy
1.384453,0.888196,66.51247,0.433484,notgroovy
1.333104,0.897743,120.3442,0.640534,notgroovy
1.549462,0.898036,36.06784,0.052236,notgroovy
1.589707,0.900245,31.066,0.248308,notgroovy
1.589707,0.900245,31.066,0.248308,notgroovy
1.589707,0.900245,31.066,0.248308,notgroovy
1.459696,0.891975,34.06821,0.12574,notgroovy
