@attribute Std_Acc1000_Mean_Mem40_LPCC_1 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_F# numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_LowBPM numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute BeatHisto_PeriodicCentroid1 numeric

@data

0.1701,0.08645,3.21628,0.345695,1.894118,1.874272,3.214822,7.33163,0.403502,0.390625,0.341623,1.488103,1.084853,0.000185,0.284513,0.644283,0.921578,0.993048,0.222587,0.229647,0.193126,0.179839,0.175188,0.172777,0.052866,0.041436,0.01058,0.30122,0.222181,0.000064,0.241219,0.705616,0.09268,0.090916,0.143476,0.133025,0.257544,0.000081,0.028469,42.913654,78.448804,57.25,0.535832,1.009598,0.001329,0.475205
0.202026,0.086162,3.276836,0.560054,1.789844,1.88228,2.625277,8.235601,0.480537,0.426935,0.408169,1.52998,0.910537,0.000124,0.289818,0.506983,0.689435,0.7331,0.243317,0.219186,0.181922,0.171598,0.163342,0.143946,0.050078,0.06605,0.010411,0.216091,0.168525,0.000019,0.240713,0.540861,0.112628,0.10299,0.117743,0.138568,0.193117,0.00004,0.027093,52.530282,44.87015,61.5,0.579899,1.009041,0.001191,0.456108
0.205507,0.090574,3.14093,0.444796,1.87072,1.984329,3.131437,6.132973,0.426908,0.455173,0.481947,1.532906,1.193542,0.000824,0.300448,0.696988,0.914603,1.063063,0.217093,0.229422,0.185756,0.170143,0.142482,0.142753,0.059696,0.090766,0.013748,0.323647,0.363808,0.000173,0.252201,0.620201,0.127666,0.101289,0.134465,0.139038,0.288546,0.000118,0.031477,114.33454,71.423941,60.25,0.399874,1.016891,0.002201,0.383885
0.184862,0.080299,3.00199,0.840618,1.814172,1.781293,2.914074,9.389441,0.394591,0.295799,0.279362,1.512565,0.887443,0.000098,0.285092,0.547492,0.758548,0.777209,0.214627,0.213859,0.178574,0.166701,0.147185,0.153155,0.04383,0.062497,0.009965,0.3354,0.234866,0.000034,0.235456,0.549834,0.100902,0.106104,0.070807,0.139025,0.264919,0.000039,0.040125,34.205157,24.010924,66.75,0.561702,1.006207,0.001045,0.467705
0.115744,0.104041,4.804551,0.072121,2.068011,1.97488,2.940141,8.318311,0.446473,0.501755,0.478192,1.56843,1.549359,0.000245,0.294476,0.678133,0.929812,0.898501,0.254143,0.230085,0.189328,0.171991,0.164832,0.15746,0.054287,0.061659,0.013917,0.555997,0.329781,0.000106,0.260272,0.840724,0.096233,0.078421,0.116096,0.148665,0.282761,0.000116,0.035099,72.301167,34.638553,90.5,0.600195,1.007308,0.001437,0.481542
0.154422,0.076914,3.149513,0.276261,1.796668,1.853807,2.6563,6.573785,0.491641,0.441678,0.453425,1.484371,0.668145,0.000317,0.290393,0.513106,0.976316,0.726405,0.210833,0.201883,0.162684,0.141438,0.123359,0.116115,0.033262,0.047415,0.009946,0.261439,0.269786,0.000107,0.246951,0.479519,0.10182,0.112933,0.08698,0.136529,0.291067,0.000109,0.026657,38.220164,40.229452,120.75,0.589545,1.003491,0.000895,0.502007
0.15508,0.092087,3.375732,0.475488,1.709755,1.724352,3.414753,7.069394,0.488976,0.488535,0.451298,1.568695,1.485856,0.000565,0.285629,0.505676,0.811361,1.08926,0.194644,0.230816,0.191432,0.195372,0.179898,0.170113,0.037824,0.071214,0.011465,0.336059,0.198737,0.000108,0.212889,0.467422,0.094292,0.084048,0.075472,0.145714,0.19728,0.000123,0.02998,53.962363,65.013437,102.5,0.568329,1.006507,0.00112,0.522726
0.04678,0.08029,5.241341,0.983922,1.937723,2.022337,2.62927,5.797372,0.538308,0.538891,0.512592,1.496044,0.719651,0.00049,0.289934,0.627487,0.804556,0.762652,0.212399,0.19011,0.159714,0.15397,0.118896,0.11472,0.032037,0.034538,0.009726,0.643379,0.213007,0.00019,0.294449,0.51005,0.115994,0.082091,0.092424,0.142108,0.370223,0.0002,0.031941,25.79419,41.750899,52,0.587688,1.005083,0.000884,0.483918
0.237056,0.079153,2.785727,-0.23553,1.993439,1.889001,3.060082,6.772173,0.424372,0.420074,0.3634,1.497684,0.901872,0.000038,0.297519,0.58489,0.822814,0.878896,0.248072,0.227695,0.175743,0.164763,0.152763,0.145717,0.034786,0.058047,0.01134,0.426878,0.309438,0.000072,0.353191,0.608281,0.146035,0.126771,0.092339,0.135781,0.318184,0.000075,0.033607,15.732401,15.034763,65.5,0.561937,1.00377,0.000956,0.460477
0.113236,0.085594,4.199408,0.763378,1.847691,2.028638,2.902195,7.193041,0.439108,0.461613,0.44118,1.550414,0.999105,0.000613,0.291684,0.60893,0.924865,0.738955,0.214671,0.203263,0.169692,0.166738,0.146349,0.142365,0.03484,0.064798,0.010062,0.352325,0.203786,0.000144,0.246098,0.641434,0.112909,0.103063,0.081533,0.146405,0.232378,0.000228,0.024319,24.937183,70.783625,56.75,0.581632,1.00814,0.001333,0.461438
