@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[9]_linregerrQ numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute F0_sma_de_linregc1 numeric
@attribute output {groovy,notgroovy}

@data

0.07153,-7.758011,-0.313855,16.88975,0.47314,-5.477734,20.1855,3.26732,1.132995,3.231486,12.98302,3.442044,0.088059,0.002585,3.168343,19.70376,0.13415,0.776673,0.456095,0.208187,0.403805,0.09449,0.00006,16.30302,0.000009,7.57427,-5.548045,11.71141,0.000345,0.726461,4.719181,807,0.482648,1.112242,0.170069,1.065571,1.095079,1.019673,-0.141045,0.001162,-0.279577,-0.000075,groovy
0.022162,-10.77384,0.312154,14.93523,-2.246956,1.885072,15.9506,2.971559,-0.975517,2.895153,18.52911,3.285052,0.111408,0.003631,1.107321,5.435456,0.121967,0.791609,0.37614,0.158532,1.077568,0.02133,0.000021,8.83092,0.000011,4.857621,-5.29373,12.32679,-0.00057,1.593364,4.231639,1844,0.392928,1.160719,0.021703,1.28668,1.196054,1.208418,-0.191562,0.001635,-0.716138,-0.00005,groovy
0.018642,-11.81213,-0.217873,15.52874,-4.420683,0.53754,23.73246,2.579335,6.02299,3.621491,18.87962,2.872661,0.100068,0.005268,2.356535,11.8446,0.133172,0.802644,0.507123,0.2154,0.007414,0.029385,-0.00001,6.101134,-0.000002,4.440472,-5.841016,11.8171,0.002491,1.382908,6.740479,2,0.282502,1.862314,0.046523,2.156862,2.107378,1.807719,-0.173329,0.002097,-0.42317,0.000001,groovy
0.024587,-9.253556,-0.277824,16.9265,-2.794795,-0.082454,16.37094,3.061731,-2.236611,3.010318,11.92093,3.161487,0.095751,0.003908,2.250978,9.51223,0.137488,0.769179,0.385206,0.179359,0.781584,0.026644,-0.000001,5.390676,0,3.759037,-4.788545,10.37443,0.003813,1.491589,5.024337,1137,0.457349,1.705355,0.500415,1.452441,1.585955,1.365225,-0.168957,0.001544,-0.469692,-0.000096,groovy
0.037745,-13.27609,-0.219446,14.73775,-2.510332,-1.455273,19.44747,3.044864,-4.893929,3.059357,9.570125,3.054346,0.119781,0.007941,1.675753,5.825996,0.141944,0.75883,0.33393,0.151934,1.313848,0.070071,-0.000081,4.832612,-0.000007,5.525313,-6.580736,12.31838,-0.001362,1.776736,6.942426,178,0.713573,1.69794,0.392226,1.764869,1.778953,1.625513,-0.162018,0.001586,-0.451288,-0.000063,groovy
0.027742,-6.984891,0.298676,18.22457,3.183599,-4.741095,10.88025,4.249124,-0.588056,3.929467,21.46633,3.608255,0.083302,0.002789,2.213503,12.01608,0.153142,0.759836,0.423057,0.178645,0.749517,0.040769,-0.000003,7.623619,0.000001,5.992043,-4.912036,7.979115,0.001076,0.550411,4.08936,896,0.090447,1.207616,-0.303231,1.311094,1.312612,1.249108,-0.162809,0.001152,-0.267558,-0.000058,groovy
0.043186,-15.99706,-0.037256,32.60931,5.379201,0.795821,15.32643,2.455862,-2.138971,2.93692,18.53287,2.827629,0.128987,0.008035,0.834312,3.150323,0.143914,0.680808,0.316827,0.132132,1.334529,0.048265,0.000006,4.503702,0,4.547141,-3.749005,7.330978,-0.001371,0.867795,4.581914,2866,-0.151355,1.325794,-0.05905,1.837907,1.675977,1.369377,-0.16135,0.001478,-0.533886,0.000071,groovy
0.02498,-10.63695,0.945174,16.51505,-0.379132,5.094992,17.57351,4.079879,-3.589744,3.65777,19.95387,3.352409,0.109252,0.002354,-0.277027,2.389125,0.123819,0.791479,0.555792,0.214925,-0.179843,0.035501,0.000054,8.290478,0.000006,6.959876,-4.343046,8.881293,-0.000883,0.984852,3.667111,1205,-0.005693,1.329434,-0.011537,1.490523,1.631563,1.265812,-0.176177,0.001708,-0.397913,0.000026,groovy
0.014412,-11.12364,-1.022955,13.00601,-0.245755,-2.063985,10.80539,3.722619,-1.508167,2.988593,19.15937,3.442967,0.113348,0.003313,1.2874,5.447071,0.130095,0.79656,0.350129,0.122483,1.001464,0.01916,0.000005,9.614501,0,5.598355,-3.331867,9.296092,-0.001393,1.13437,4.964352,89,0.875309,0.914906,0.248221,0.980492,0.98861,1.084082,-0.173992,0.001097,-0.786297,-0.000028,groovy
0.021762,-10.84791,0.034838,22.05293,2.895548,3.458158,19.99159,3.244164,-1.674436,3.640709,28.51093,3.192768,0.076843,0.005089,2.858883,16.59218,0.133121,0.756679,0.33965,0.152,1.065548,0.051899,-0.000031,8.11604,-0.000003,6.82723,-5.123067,11.07325,-0.004668,1.812971,7.617194,2179,0.628133,1.578697,-0.198529,1.749645,1.770693,2.180308,-0.159373,0.00126,-0.16206,-0.000056,groovy
0.029123,-11.04992,-0.233755,19.27869,1.101288,-1.732176,16.20002,3.118641,-3.405018,3.795947,17.5813,2.913255,0.108641,0.002559,0.046146,2.408823,0.158819,0.773728,0.556086,0.229103,-0.113607,0.021634,0.000018,5.863241,-0.000001,5.258185,-3.415823,6.844402,-0.002262,0.589678,5.709801,155,0.176152,1.419303,-0.046227,1.375417,1.470724,1.143038,-0.181511,0.001823,-0.461168,-0.000023,groovy
0.022958,-8.416912,-0.18343,11.99611,-5.097158,-0.933096,24.60612,2.819889,-2.663784,3.566348,13.77461,3.308768,0.09155,0.009429,2.689705,11.02183,0.130699,0.761655,0.395088,0.182751,0.761655,0.046348,0.000028,5.913154,0.000001,4.259529,-7.469812,12.95981,0.00386,2.314491,7.540001,175,0.39334,1.439068,-0.095753,1.77723,1.519052,1.325185,-0.164674,0.002212,-0.364635,-0.000111,groovy
0.033386,-10.76315,0.060637,12.33293,-0.121289,2.787009,13.45493,2.858402,-1.531579,3.482286,9.587354,4.122562,0.095142,0.000969,0.674782,4.325452,0.161647,0.622432,0.365661,0.116374,0.893008,0.016386,0.000044,5.531682,-0.000002,17.17907,-3.433478,7.291753,-0.001121,0.398787,3.699914,1239,-0.309982,0.675589,-0.304661,0.925236,0.857641,0.817792,-0.092621,0.000532,-0.231409,-0.00004,groovy
0.023785,-9.520571,0.247318,15.45472,-3.771474,-1.918674,18.64829,3.253413,-0.762145,3.569286,22.69055,3.518174,0.065683,0.002123,1.223612,4.885417,0.124674,0.720312,0.365219,0.148269,0.833724,0.023136,0.000021,3.377844,0.000001,3.103706,-5.546279,11.41168,0.000002,2.579295,4.496663,612,0.113859,1.974141,-0.141966,2.016501,1.833506,1.794876,-0.166978,0.001929,-0.052956,0.000124,groovy
0.012668,-3.728909,-0.594002,21.65643,5.230748,1.131427,21.05571,2.807303,-3.426136,2.887724,16.4672,3.152636,0.02759,0.000594,3.084226,17.30581,0.154284,0.640031,0.361936,0.098395,0.588154,0.019929,0.000004,14.16921,0.000006,5.976814,-4.075088,7.108961,-0.001365,0.547239,2.864968,1805,-0.560001,0.818255,-0.322487,0.97365,0.952683,0.855076,-0.119087,0.000528,-0.045052,-0.000025,groovy
0.001775,-13.87269,0.210839,13.54198,-4.87,-4.742184,19.30451,3.844534,-5.444184,2.874308,13.10016,3.104605,0.138571,0.004669,1.39846,9.145844,0.149914,0.764003,0.43421,0.171772,0.5343,0.045292,-0.000069,19.83798,0.000002,9.768247,-3.963531,7.961408,0.005167,0.748463,4.839979,908,0.027832,1.325215,-0.013137,1.77716,1.555614,1.374568,-0.147256,0.001291,0.065891,-0.000121,groovy
