@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[9]_linregerrQ numeric
@attribute mfcc_sma_de[12]_linregc1 numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_linregc2 numeric
@attribute output {groovy,notgroovy}

@data

0.044558,3.413067,2923,-8.439771,1.408657,15.46084,-0.990121,20.56908,3.732191,4.771665,-0.547665,4.338094,3.713785,3.459798,0,25.38947,0.895054,0.166745,1.065004,-0.000051,3.912103,0,4.856249,12.64289,0.005056,1.930407,1.3894,1.447126,-0.55368,0.000002,1.718407,-0.015523,1.584554,2.11255,0.000004,0.014489,18.99922,-0.23092,0.002288,0.095984,groovy
0.018733,3.914326,1196,-6.796661,-0.976332,20.67935,-5.24898,21.07867,3.397196,2.855749,-1.684151,3.738766,3.515609,2.885042,0.013309,20.73016,0.769426,0.226823,0.221786,0.000004,10.92951,-0.000001,7.843561,12.27062,0.003528,1.169354,1.08137,1.050605,-0.096751,-0.000013,1.471215,0.326632,1.629565,1.521595,-0.000001,0.01519,24.15787,-0.160327,0.001544,0.119279,groovy
0.009601,2.441112,15,2.733262,-0.542424,25.784,-7.866585,29.32254,3.11868,2.829474,0.189101,2.540449,2.812205,2.632616,0.007864,3.35011,0.637148,0.165323,0.20584,-0.000003,5.396697,0.000003,3.867735,8.315959,-0.000472,0.933442,0.966154,1.103233,-0.347909,-0.000006,1.324314,-0.141229,2.072431,2.569407,-0.000003,0.004778,4.949229,-0.133132,0.001125,-0.135237,groovy
0.006747,8.778177,2460,-9.210015,-0.32536,15.05162,-2.298938,13.24138,2.946336,3.364978,-5.927355,3.321207,3.355297,2.700892,0.00484,6.406651,0.620855,0.107635,0.535755,0.000003,9.062723,0,5.455584,10.54014,0.000148,1.543329,1.242314,1.48583,0.794152,-0.000001,1.176474,0.246805,1.31698,1.55651,0,0.01569,8.149928,-0.119357,0.000923,0.031452,groovy
0.017948,6.216107,512,-7.764123,0.03141,16.06878,-0.165471,16.57094,3.649982,3.566261,-3.629839,3.141179,3.244175,3.070527,0.009074,5.056915,0.74611,0.140247,1.296262,-0.000038,16.72341,0,7.321365,10.31607,-0.001693,1.070007,1.034414,0.841112,0.220695,-0.000008,0.857683,-0.244052,0.954738,1.101497,-0.000004,0.012146,10.97648,-0.192273,0.00089,0.008324,groovy
0.050149,2.650424,281,-11.74464,-1.131626,15.74012,-2.384552,16.25533,3.298714,3.862976,-2.446414,3.522448,3.387251,3.519077,0.005445,13.53797,0.741851,0.14811,0.919286,0,5.612854,0.000002,7.179124,10.90098,0.000304,1.503582,1.226209,1.608715,0.851552,0.000008,2.527055,0.133625,2.239368,2.025247,0.000002,0.014521,9.414392,-0.192077,0.001322,0.072735,groovy
0.023377,3.029408,2205,-5.692671,-0.341692,16.31372,-2.154909,18.95807,4.43588,4.924899,2.089406,3.42453,3.15907,3.779097,0.009074,14.53318,0.812899,0.189473,0.48444,0.000003,7.387581,0,4.654476,9.421667,-0.000293,0.965108,0.982402,0.847302,-0.243518,0.000002,1.338361,-0.60021,1.266533,1.386377,-0.000001,0.009137,17.22526,-0.176347,0.001677,-0.132872,groovy
0.019574,6.404704,2056,-13.87269,0.210839,13.54198,-4.742184,19.30451,3.844534,3.218631,-5.444184,2.874308,3.104605,3.323631,0.012704,9.145844,0.764003,0.171772,0.5343,-0.000069,19.83798,0.000002,9.768247,7.961408,0.005167,0.748463,0.865214,0.963198,0.027832,0.000004,1.325215,-0.013137,1.816425,1.555614,0.000004,0.014248,22.90985,-0.147256,0.001291,0.180883,groovy
0.062723,3.022606,2891,-12.08653,-0.525168,9.513472,-1.962209,21.59634,2.877495,2.651275,-0.143052,3.09102,3.168498,2.799342,0.015124,5.314163,0.614506,0.134259,0.910218,0.000031,7.764315,0,5.780078,5.008248,-0.000145,0.407164,0.638106,0.488776,0.395753,0.000002,0.932377,0.34947,1.26439,1.25473,0.000007,0.010293,6.385692,-0.120672,0.000773,0.065538,groovy
0.031093,4.362495,834,-2.738552,-0.39722,8.810845,-4.916592,10.43499,3.140043,2.681756,-1.239309,2.901353,2.877236,3.35266,0.027223,2.429336,0.751489,0.19078,0.248185,0.000012,4.219846,0.000001,3.928007,7.55232,0.004686,1.353079,1.163222,0.594863,0.45793,-0.000005,0.974233,0.080279,1.057414,0.999898,0,0.004572,3.511716,-0.141992,0.001123,0.214881,groovy
