@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute F0_sma_de_maxPos numeric
@attribute F0_sma_de_kurtosis numeric
@attribute output {sad,notsad}

@data

0.005335,0.005539,0.000015,2.069618,2.696929,-1.289728,0.527809,-3.999381,-0.245832,0.12925,0.000102,-4.373595,-4.774915,0.032853,0.033375,0.017328,12.77372,0.150545,0.499864,-0.000001,0.000851,3.585745,30.45129,9.448272,0.356783,4.387249,3.216283,0.28538,2.493079,2555,0.041758,3.675611,0.607496,-5.060919,8.315791,0.708931,0.697353,-0.000001,0.727279,0.00055,0.000015,-0.085664,0.00041,-0.094269,391,19.7707,sad
0.002024,0.00133,0.000003,-3.600552,-4.053823,-0.686626,-0.291008,-1.701482,-2.870341,1.261266,-0.000242,-2.018573,-3.968998,0.038034,0.03254,0.024644,7.423844,0.153025,0.562204,0.000001,0.000174,1.079875,13.68819,9.16355,0.219169,5.406775,2.115278,0.331239,2.751253,1512,-0.367295,5.394423,0.649143,-3.294468,6.60249,0.765132,0.754557,-0.000006,0.761834,-0.002803,0.000015,-0.11697,0.000461,0.040134,2221,8.995676,sad
0.033533,0.016099,0.000348,-3.970523,-1.055658,0.418255,0.482558,0.046213,-8.349558,-2.553274,0.000366,-1.652812,-1.343827,0.080424,0.049223,0.033082,2.753693,0.14569,0.214618,0.000002,0.00291,0.273472,8.855807,5.553456,0.452741,4.354231,2.803041,0.510056,3.644978,2122,-0.273835,4.883834,0.905403,-3.682748,8.084092,1.195944,0.904793,0.000005,1.209638,0.000263,0.000034,-0.146347,0.001187,0.273074,1749,5.751058,sad
0.007494,0.007157,0.000021,1.032209,0.458851,-1.376674,0.009541,0.923715,-1.962135,-0.296088,0.000457,-0.529808,-1.710619,0.031404,0.039146,0.032218,32.38018,0.17428,0.454574,0.000003,0.000897,1.589195,18.04352,11.67808,0.578476,6.679215,3.744088,0.700506,3.163736,2599,-0.194407,3.639429,1.008697,-3.821505,8.275314,1.05212,0.954488,0,0.96414,-0.00108,0.000036,-0.121349,0.000629,-0.095712,533,7.115879,sad
0.008862,0.0071,0.000007,1.83698,1.507657,-0.301877,0.171502,-5.45465,-5.529868,-4.251855,-0.001224,1.074156,1.058338,0.03022,0.029149,0.011166,4.014022,0.23568,0.494992,0.000003,0.000687,1.264287,6.083831,3.367249,0.585988,4.063531,3.725136,0.719011,4.236518,1822,0.194298,4.469989,1.00098,-5.053256,9.465715,1.232024,1.311153,-0.000007,0.862231,-0.00005,0.000006,-0.098859,0.000799,0.212491,2556,5.179199,sad
0.021678,0.015212,0.000522,-2.499614,-0.443916,-0.513787,-0.009662,-3.822591,-8.268144,-7.262881,-0.000586,-0.755129,-7.03735,0.064243,0.049343,0.069261,20.38039,0.176995,0.198996,0.000005,0.004096,-0.110244,25.93273,9.171005,0.863801,8.905015,4.593595,0.827485,4.777267,1304,-0.052199,5.520204,0.832898,-3.556105,8.217281,0.903998,0.976593,-0.000003,0.834066,0.003034,0.000169,-0.159577,0.00101,-0.01387,1946,6.626057,sad
0.018783,0.015994,0.000622,-1.993416,-0.349031,-0.54811,-0.180766,-4.908572,-9.63364,-5.797528,-0.000385,-0.266274,-8.473837,0.055449,0.037911,0.059351,24.72955,0.179724,0.581692,-0.000001,0.002565,-0.664341,29.61878,12.08548,0.566986,15.69527,3.576487,0.631107,4.785002,1758,-0.112562,8.846272,0.730393,-4.896458,9.793424,0.923146,0.816384,0.000007,0.883173,-0.000204,0.000083,-0.17229,0.000546,-0.070829,1826,10.39984,sad
0.013049,0.007908,0.000106,-6.171321,-5.093685,-0.452161,-0.778231,-2.891065,3.125689,-2.224235,-0.000646,-4.196367,-3.407141,0.059038,0.051431,0.031472,7.131341,0.134801,0.64726,-0.000005,0.001498,0.568272,8.153545,5.911224,0.637061,4.011153,2.946016,0.649332,3.081346,2142,0.05259,3.558003,0.846636,-4.317237,8.997459,1.134261,1.093857,0.000005,0.953312,-0.000109,0.000077,-0.137287,0.000933,0.065738,1345,11.32936,sad
0.008567,0.008224,0.000041,-1.350884,-1.150026,-0.108425,0.723505,-4.015203,-1.938417,-11.8391,0.00082,2.976074,-6.748982,0.0477,0.0501,0.041957,21.26769,0.146664,0.390832,0.000002,0.00081,1.254876,23.45909,6.227449,0.38393,4.615821,2.100551,0.381462,3.430498,2209,-0.319657,4.126502,0.901003,-4.52035,8.886044,0.998684,0.909979,-0.000001,0.959428,-0.002828,0.000047,-0.09375,0.000528,0.157251,868,11.8474,sad
0.010997,0.009248,0.000055,2.583648,3.3529,-0.896973,0.958985,-4.433673,-5.419128,-3.719073,0.00103,-7.256682,-2.58031,0.041908,0.039749,0.033255,30.58816,0.163074,-0.297839,-0.000005,0.001372,-0.203427,18.3385,6.167402,0.847983,6.665629,3.532425,0.858071,3.372829,800,-0.121605,3.825794,1.148501,-3.804289,7.958694,1.370295,1.396661,-0.000001,1.124159,-0.000849,0.000055,-0.145923,0.00122,0.112155,1551,6.566677,sad
