@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_17 numeric
@attribute BeatHisto_Sum numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_Flatness numeric
@attribute BeatHisto_PeriodicCentroi2 numeric
@attribute BeatHisto_PeriodicSpread1 numeric

@data

0.033867,0.024478,0.042863,8.584527,0.081075,0.000061,1.420664,3.64168,0.35332,0.116193,0.516741,0.007873,0.022294,0.659504,0.000035,0.196446,0.160082,0.174833,0.152811,0.170968,0.134767,0.131468,0.023092,0.168588,0.169162,0.16912,0.229095,0.196872,0.098582,0.07882,0.078408,0.063397,0.059156,0.068967,0.016136,0.030069,0.065768,0.132462,0.257692,0.008132,0.728833,0.105376,0.03369,0.01958,0.04582,0.203263,5159.576202,21.539305,17.717438,0.001535,0.569552,0.319818
0.035996,0.024552,0.057046,5.816135,-0.133565,0.000005,1.5646,4.211777,0.43183,0.108344,0.569335,0.00972,0.071797,0.66473,0.000004,0.202579,0.187636,0.186047,0.170729,0.169453,0.157831,0.143536,0.024292,0.386177,0.268074,0.322987,0.357092,0.329977,0.131119,0.169291,0.157557,0.126948,0.082753,0.070158,0.036114,0.035767,0.083439,0.140493,0.254915,0.008388,0.4852,0.129787,0.041806,0.033579,0.054701,0.207332,2246.077864,4.348898,4.061306,0.00155,0.542054,0.312223
0.075797,0.056942,0.110893,6.22568,0.10596,0.000312,1.439485,4.279585,0.353632,0.162231,0.539163,0.017442,0.037873,0.791848,0.000159,0.215894,0.185938,0.195402,0.180424,0.17667,0.161752,0.153442,0.028594,0.585932,0.19781,0.250746,0.240003,0.253321,0.133089,0.139968,0.101449,0.10002,0.101235,0.153346,0.042434,0.045488,0.065034,0.13286,0.25983,0.008059,0.50193,0.150523,0.039244,0.040705,0.048422,0.202834,12682.141661,24.547856,44.211193,0.00154,0.58323,0.330394
0.035038,0.024854,0.056844,7.228909,0.328754,0.000176,1.482165,4.501692,0.378503,0.104369,0.519069,0.015394,0.070762,0.874613,0.000165,0.201525,0.186251,0.182808,0.170582,0.161707,0.148576,0.162677,0.032919,0.469458,0.225982,0.306624,0.238755,0.279676,0.12031,0.12724,0.096761,0.095347,0.104443,0.140138,0.028612,0.043865,0.065913,0.12981,0.255347,0.018941,0.678677,0.1108,0.038629,0.03805,0.059932,0.205379,4911.991551,19.597747,9.181053,0.001544,0.515476,0.315345
0.031197,0.025214,0.033989,8.349121,-0.297372,0.000349,1.445951,4.058367,0.494311,0.099673,0.50604,0.007163,0.018598,0.663362,0.000477,0.212229,0.208175,0.191448,0.188252,0.163582,0.155638,0.149622,0.020477,0.323307,0.282204,0.311781,0.267921,0.256606,0.166265,0.13792,0.088989,0.09763,0.06279,0.067122,0.017077,0.029018,0.059007,0.137448,0.259797,0.002239,0.491626,0.120095,0.034429,0.040782,0.047995,0.205854,6912.555336,17.282976,29.217191,0.001533,0.559685,0.307901
0.063066,0.049836,0.089616,6.795059,0.191236,0.000261,1.506224,6.516486,0.334471,0.130342,0.517097,0.035594,0.081256,0.989773,0.000222,0.236108,0.157477,0.16635,0.168831,0.141468,0.144824,0.145784,0.028038,0.526648,0.335094,0.285574,0.243594,0.34059,0.096002,0.121091,0.08568,0.092353,0.082742,0.096503,0.0309,0.041121,0.082622,0.134462,0.260596,0.042098,0.576553,0.115221,0.044329,0.03902,0.055121,0.201752,7963.965945,17.638498,16.350604,0.001601,0.559662,0.312656
0.05696,0.044173,0.078597,6.552371,0.156175,0.00025,1.570436,4.577359,0.345357,0.122217,0.52543,0.020959,0.051013,0.882744,0.000209,0.19711,0.17208,0.168531,0.146293,0.136639,0.136436,0.140695,0.024598,0.585011,0.431295,0.296492,0.354104,0.388719,0.134396,0.160074,0.143263,0.132145,0.109777,0.122865,0.036561,0.049161,0.073878,0.142755,0.257684,0.030312,0.508394,0.110448,0.055951,0.046879,0.056555,0.204462,6476.550278,12.994932,12.600003,0.00153,0.557618,0.311019
0.056877,0.039833,0.072947,5.556998,0.342036,0.000107,1.460925,4.016122,0.392146,0.142129,0.586415,0.022234,0.06791,0.819875,0.000096,0.215043,0.198958,0.180833,0.162285,0.171542,0.148619,0.144906,0.034655,0.294153,0.378285,0.270651,0.305601,0.232653,0.121457,0.124543,0.144113,0.160041,0.06906,0.057503,0.029946,0.035309,0.074843,0.152711,0.260695,0.011624,0.376707,0.134798,0.050892,0.036096,0.05107,0.200173,6674.228761,20.695406,16.662711,0.001562,0.568262,0.317721
0.04721,0.032609,0.057932,7.116908,-0.101105,0.000086,1.453958,3.756216,0.362268,0.110564,0.548073,0.015283,0.04698,0.917526,0.000053,0.212281,0.193457,0.179717,0.174874,0.170303,0.157586,0.157108,0.02177,0.352311,0.345632,0.420955,0.256257,0.253324,0.112262,0.104948,0.084382,0.112019,0.12817,0.194693,0.021249,0.048341,0.082835,0.127841,0.257199,0.020888,0.576017,0.134973,0.045346,0.038198,0.053524,0.20136,6129.384295,11.3168,13.092816,0.001536,0.544913,0.309183
0.043162,0.033866,0.054944,8.651903,0.079109,0.000152,1.490262,4.708499,0.388251,0.117849,0.493645,0.017314,0.049608,1.027156,0.00009,0.203947,0.215158,0.200453,0.182683,0.191922,0.170199,0.163465,0.028514,0.371351,0.335962,0.334959,0.351862,0.24798,0.114429,0.112055,0.099095,0.105618,0.084002,0.090839,0.020103,0.029326,0.061778,0.136405,0.261787,0.019207,0.611535,0.157002,0.037607,0.047432,0.053162,0.204592,7413.098804,16.351044,16.812854,0.001584,0.545175,0.320424
0.046647,0.036792,0.066663,10.094703,-0.044315,0.000155,1.583694,5.576148,0.446155,0.123598,0.424203,0.016831,0.045333,0.919333,0.000092,0.20106,0.17314,0.165461,0.112955,0.156083,0.164386,0.175334,0.017246,0.368475,0.355826,0.505447,0.416011,0.311916,0.157675,0.11957,0.147082,0.116792,0.218002,0.207185,0.023675,0.038412,0.104923,0.147683,0.262507,0.030124,0.882923,0.155924,0.056288,0.051248,0.053721,0.210106,6800.934212,13.777705,11.502914,0.001598,0.548598,0.313479
0.067343,0.042963,0.101235,6.009828,0.160593,0.000306,1.498459,5.129459,0.360121,0.154175,0.585825,0.026986,0.073928,1.065999,0.00023,0.18744,0.205226,0.17806,0.176523,0.172831,0.161614,0.171739,0.030816,0.364792,0.339453,0.30222,0.268582,0.295858,0.115134,0.12869,0.095971,0.106816,0.078908,0.063395,0.028668,0.037555,0.088174,0.13614,0.258048,0.019352,0.5544,0.095701,0.040911,0.041595,0.061827,0.203769,8931.123408,24.613668,50.726662,0.001514,0.596583,0.29728
