@attribute mfcc_sma_de[7]_range numeric
@attribute mfcc_sma_de[8]_linregerrQ numeric
@attribute mfcc_sma_de[9]_range numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_kurtosis numeric
@attribute output {sad,notsad}

@data

0.030776,0.000527,10.01767,-23.01183,-8.510078,-8.990432,0.255941,-0.745369,0.181562,2.994132,0.056191,0.054734,0.054166,0.127164,0.341951,1.175265,0.000004,0.004946,2.000711,13.85308,2005,-1.575777,7.396439,4.618234,0.739068,0.897059,5.14033,1.053085,3.692624,9.445327,1.361865,9.622294,0.989422,0.000853,1.030995,-0.183017,0.001058,11.40616,sad
0.018572,0.000314,6.96152,-20.52569,-5.662008,-5.789108,-0.387052,3.070919,-0.311861,-1.865426,0.052485,0.054983,0.047319,0.152461,0.40048,1.191696,-0.000003,0.004015,1.901748,13.05298,2387,-1.212682,5.608704,4.023475,1.134565,1.200493,4.037219,1.009348,3.791507,8.701415,1.09046,10.18954,1.076779,0.000352,0.786694,-0.148749,0.000867,10.84476,sad
0.009304,0.00003,7.093184,-21.72529,-6.07713,-5.161278,-0.224917,-10.33634,0.076553,-15.85399,0.044943,0.04005,0.035674,0.150796,0.576084,0.196659,-0.000002,0.001109,1.048214,11.13907,1832,-0.849875,6.9748,4.721326,0.530454,0.707344,4.6632,1.198638,3.881361,8.403112,1.303546,9.475893,1.192322,-0.003547,1.280305,-0.157664,0.001113,6.06582,sad
0.032513,0.000287,4.693991,-16.83562,-4.767661,-4.212336,-0.717373,-2.414461,-0.372292,3.305982,0.05072,0.055489,0.025017,0.128144,0.354939,1.186395,-0.000013,0.003965,0.853739,7.422617,1937,-1.332827,5.017878,4.633779,1.301249,0.952184,3.734355,0.993195,3.265961,9.128397,1.353539,9.741365,1.071166,-0.001041,0.884049,-0.099949,0.000474,58.53083,sad
0.007603,0.000045,12.15206,-15.98084,5.911315,7.61645,-2.841222,-5.009775,0.348158,0.096387,0.040305,0.039618,0.012,0.16511,0.390008,0.857175,0.000005,0.000957,5.876129,170.9769,2934,-2.391108,32.30289,7.275285,0.272657,0.379042,3.150268,0.675045,3.03358,6.361801,0.985964,8.811385,2.196763,-0.000478,1.001546,-0.153198,0.000749,11.71735,sad
0.01975,0.000162,3.764853,-17.86331,-8.32174,-7.618862,0.200056,0.466297,0.053944,-0.894326,0.067781,0.057751,0.046489,0.138481,0.299909,1.567647,0.000003,0.002718,1.736769,12.62933,768,-1.811684,11.15262,6.934336,0.409419,0.541419,5.741086,0.856647,4.17196,7.260328,0.930438,6.498678,0.816006,-0.000662,0.710819,-0.150803,0.000599,26.01177,sad
0.014812,0.000141,2.163154,-21.91738,-6.829767,-7.107594,-1.024794,-1.186539,-0.246252,-2.560385,0.056884,0.0517,0.055538,0.143623,0.290041,0.705351,-0.000001,0.002371,1.705674,17.52216,2663,-0.880034,7.468209,5.877511,0.55451,0.642256,3.941212,0.844664,3.686326,8.582293,1.026563,8.530328,0.967547,-0.004903,0.796955,-0.116798,0.000532,24.27184,sad
0.00326,0.000011,10.59439,-16.58807,0.493547,1.003589,-0.664492,-10.1502,0.610161,-7.279603,0.056502,0.054915,0.024545,0.153124,0.641298,-0.111431,0,0.000437,1.52922,20.86719,2129,-0.176602,8.753107,9.769609,0.593939,0.736732,5.356892,0.864969,4.890015,10.336,1.185716,8.082721,1.080024,0.001189,0.901172,-0.148176,0.00109,7.195111,sad
0.033597,0.000397,9.571316,-20.69014,-5.099055,-3.775693,0.439917,-2.69906,-0.401004,-2.482169,0.067634,0.054916,0.038139,0.141153,0.353147,0.706311,0.000006,0.004288,1.31514,11.00005,1205,-1.638364,7.447983,5.309105,0.64227,0.654688,3.398471,1.205055,4.656449,6.963511,1.04001,7.966655,1.381847,0.002548,0.953116,-0.129038,0.000746,12.33612,sad
0.010438,0.000056,5.662842,-20.31001,-1.120258,-0.890805,-1.337569,-3.944009,-0.164806,-3.079476,0.060509,0.054712,0.035079,0.126034,0.455905,0.600455,-0.000008,0.001082,0.846187,21.73872,130,-1.238259,9.761498,6.9293,0.371306,0.474071,3.699357,0.872869,4.51081,7.024231,0.893908,7.532737,0.962123,-0.003279,0.751928,-0.117481,0.000639,9.343725,sad
