@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_linregc1 numeric
@attribute mfcc_sma[5]_minPos numeric
@attribute mfcc_sma[7]_minPos numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_kurtosis numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[9]_kurtosis numeric
@attribute mfcc_sma[10]_min numeric
@attribute mfcc_sma[10]_amean numeric
@attribute mfcc_sma[11]_kurtosis numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute mfcc_sma[12]_stddev numeric
@attribute mfcc_sma[12]_kurtosis numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[5]_amean numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute pcm_zcr_sma_de_minPos numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute F0_sma_de_max numeric
@attribute output {funny,notfunny}

@data
1.35408,-3.551198,-3.680179,0.001271,879,846,-9.437085,3.594321,3.605458,-5.074724,2.804459,-23.18059,-1.561574,2.800923,22.36937,4.765625,2.545582,0.048658,0.876544,15.90837,5.904106,3.493649,-0.001581,0.449601,0.208387,702,0.505927,2801,0.000018,115.256,funny
1.274563,-11.33004,-11.18216,0.001352,348,1327,-2.711214,3.257284,3.118584,-3.355022,2.970489,-19.16903,-2.868214,3.093426,21.93085,4.695072,3.377813,0.11885,1.95504,10.55221,7.070488,4.229418,0.001112,1.409877,0.087103,276,1.50305,2824,0.000209,122.7025,funny
0.774261,-9.965365,-9.448554,0.000275,1020,2705,-3.756497,2.946327,3.719237,-1.008015,3.327356,-16.21848,-2.212937,2.775708,15.33609,3.919068,3.114242,0.090578,1.033324,5.557408,4.308876,3.600786,0.003706,0.827438,-0.047955,2124,1.155771,1407,0.000081,127.1027,funny
0.547237,-10.13919,-8.822466,0.000361,1557,1237,3.02323,4.251383,4.144549,2.046005,4.09241,-21.21449,-1.871079,5.477288,30.01458,5.571052,3.47848,0.085782,0.794834,6.715893,5.508863,5.310809,-0.00225,1.615812,0.726029,1432,1.396449,855,0.00018,124.5747,funny
0.746322,-11.36522,-11.3721,0.001101,1666,1336,-3.861908,3.08498,3.242967,-0.00715,2.890788,-20.23548,-2.922916,3.461224,24.93047,5.139395,3.331802,0.122703,0.296641,3.72554,3.314533,3.553766,0.00041,1.554756,0.247285,1009,2.061367,1597,0.000254,119.9456,funny
3.18097,-3.839333,-5.70317,-0.001838,2604,2142,-6.425911,2.813235,3.135443,-7.118625,3.181122,-23.81553,-3.47462,2.842564,38.65929,6.321149,4.419226,0.078368,1.044197,23.25573,9.597815,4.852094,-0.001322,1.310299,-0.031107,628,1.314168,825,0.000212,117.3907,funny
-0.030909,-5.785275,-5.954855,-0.000109,1539,1473,-5.491987,2.851511,3.004567,-7.794443,2.886814,-18.92994,-2.017555,3.293224,17.47329,4.200143,2.96905,0.075169,0.547585,5.023818,6.495186,3.958687,-0.003805,1.062639,0.216591,555,1.042397,1333,0.000048,119.746,funny
0.407247,-11.81506,-11.00705,-0.001116,1844,1916,0.515548,2.868959,2.989169,-6.30351,3.049387,-16.9708,-2.416971,2.814914,21.89123,4.767152,2.814036,0.143273,0.151668,2.423747,2.789885,3.011282,0.002161,1.002389,-0.193573,2868,0.980697,4,0.000054,119.9456,funny
0.010274,-10.19375,-8.918773,-0.001938,967,1316,2.908406,3.015289,3.317997,-2.658208,3.354147,-22.17954,-3.430562,3.314547,14.71443,3.898237,3.571332,0.112506,1.118842,9.147104,8.640205,4.425034,0.000193,0.81018,-0.216129,638,1.073599,97,0.000111,116.2052,funny
2.401131,-9.116364,-8.571368,0.000504,16,1544,-2.739638,3.566234,3.871303,-1.236182,2.702412,-21.85136,-3.996839,2.892943,29.85176,5.46401,3.176191,0.083646,1.473327,20.02919,7.166939,4.523787,0.004858,1.172206,-0.405573,424,1.324482,436,0.000213,108.7211,funny
1.157598,-11.35373,-9.49649,0.000218,934,928,-0.671621,3.662889,3.006357,0.631674,4.096714,-19.10339,1.415952,3.322047,15.93799,4.024981,3.862496,0.103583,0.709696,17.55655,9.022116,5.526342,-0.002544,0.808836,0.118008,574,0.905922,39,0.000145,116.255,funny
0.896019,-2.55939,-3.328525,-0.000375,1754,508,5.258092,2.913554,2.66029,2.457118,2.972501,-18.1049,-0.640632,3.343386,27.4434,5.243741,2.864161,0.03645,0.753273,7.315586,4.930922,5.036726,-0.003056,1.384023,0.047902,2686,1.684297,428,0.000034,124.1742,funny
0.881033,-10.83654,-10.48141,-0.001561,2893,314,3.969158,3.036186,3.367141,3.403337,2.932823,-16.65091,-0.906416,3.16865,17.36959,4.231151,3.349571,0.084403,1.053127,4.943247,5.530194,4.205287,-0.002247,0.958603,-0.141852,1564,1.072953,87,0.000116,90.915,funny
1.165784,-9.886563,-5.738074,-0.000434,2372,1729,2.426963,3.810237,3.580337,-0.903215,3.74812,-13.36119,1.285092,4.905667,24.60651,4.969056,4.117281,0.045151,0.314619,5.638412,4.566427,3.717846,0.001026,1.785684,0.197356,1739,1.971316,2160,0.000263,117.1145,funny
0.561389,-8.157103,-9.932726,0.001524,1100,86,-4.017262,3.366366,3.402992,-5.403661,2.902922,-22.08409,-7.650111,2.968998,13.41249,3.673178,3.079374,0.094004,0.880959,5.424874,4.441955,3.515688,0.001836,0.746486,-0.051802,180,0.856767,2,0.000053,121.2345,funny
