@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.104798,0.583797,3.730366,0.436487,0.304759,0.635463,0.794379,1.199779,2.725478,0.673768,0.374556,0.205423,0.178973,0.171788,0.039409,38810.798661,0.032504,0.485227,0.175401,0.530423,0.779896,1.629061,0.237952,0.196935,0.11548,0.070262,0.118593,0.322276,0.226725,0.040242,0.060923,0.064368,146.5,1.003997,152.5245,9.174748,1.716793,0.514763,2.508464,0.881776,0.115595,54.16325,5.320913,7941.926,16.36737,0.033661,0.021374,3.425955,0.000405,0.018956,7211.053,3.982684,0,0.796937,0.112685,0,0.161936,0.005222,1125.405,600916.7
0.057313,0.556488,3.703543,0.433056,0.319071,0.592717,0.737213,1.202775,2.685864,0.729778,0.429867,0.196083,0.212552,0.206407,0.030116,104472.357187,0.014078,0.467552,0.312653,0.395043,0.489126,1.640486,0.15469,0.105426,0.058736,0.057565,0.109782,0.305241,0.159279,0.045208,0.029807,0.048509,112,1.005632,65.20018,4.311891,1.296245,0.796462,0.703821,0.89527,0.104224,111.2585,5.915483,252.5109,0.973925,0.02546,0.110672,0.127417,0.00024,0.00719,10026.04,0.854086,0,0.948069,0.110481,0,0.049267,0.002259,399.418,70385.23
0.124399,0.210203,3.472475,0.454096,0.209535,0.642265,0.806373,1.221899,2.719692,0.764186,0.435472,0.202854,0.208891,0.196299,0.028969,3686.652038,0.019782,0.220212,0.213774,0.321062,0.423273,2.035073,0.090373,0.068015,0.049126,0.059907,0.108839,0.30987,0.128826,0.031966,0.029914,0.057141,133.5,1.008483,94.92306,6.531293,1.581322,0.510599,1.247334,0.900997,0.10215,59.28545,5.091096,170.3896,0.647793,0.007913,0.007183,0.298805,0.000072,0.00673,2719.8,0.127047,0,0.665113,0.109823,0,0.222886,0.006955,959.9565,214776.5
0.103155,0.272227,3.826251,0.385621,0.270193,0.621854,0.754181,1.213331,2.692932,0.733945,0.413112,0.183785,0.203335,0.195493,0.031611,233987.009519,0.014452,0.304438,0.222405,0.339207,0.484945,1.832588,0.134419,0.084613,0.047522,0.056086,0.10341,0.306192,0.12148,0.034963,0.028939,0.059495,124.5,1.006941,88.97142,5.662326,1.456578,0.626664,0.951147,0.901333,0.083021,33.63006,5.502689,232.4331,0.826868,0.01485,0.013928,0.133071,0.000093,0.010353,1814.167,0.345354,0,0.913449,0.108667,0,0.079113,0.002546,790.1012,174401.4
0.075809,0.36478,3.763169,0.378004,0.291569,0.585206,0.760154,1.197055,2.675874,0.924766,0.418219,0.217154,0.218431,0.192134,0.041701,44891.912262,0.019009,0.36399,0.300214,0.38292,0.815795,1.533543,0.12588,0.101649,0.066264,0.064655,0.106279,0.30471,0.115166,0.03562,0.026179,0.05251,130.75,1.006888,67.81397,4.56921,1.352587,0.711054,0.796193,0.892301,0.064258,38.61522,5.524994,281.8281,0.96418,0.029865,0.103223,0.284463,0.000226,0.005774,2274.928,1.410874,0,0.942077,0.117484,0,0.054604,0.003157,584.8491,305391.4
0.121262,0.235289,3.849668,0.370936,0.250765,0.627757,0.760157,1.213896,2.677781,1.158957,0.481036,0.240517,0.243251,0.225057,0.042537,231796.386943,0.023542,0.291455,0.403429,0.4003,0.525167,1.434464,0.105088,0.096719,0.055225,0.063133,0.109768,0.304232,0.134736,0.034789,0.031325,0.052667,128.5,1.004254,84.60637,5.915154,1.522879,0.543351,0.832685,0.893623,0.070601,48.09163,5.046587,429.3283,1.977597,0.035116,0.056185,0.174907,0.000157,0.007361,2573.728,0.49495,0,0.770306,0.090847,0,0.177052,0.0045,949.5536,360408.4
0.047644,0.563366,3.649871,0.441714,0.33634,0.546197,0.707418,1.160469,2.708034,0.53915,0.41415,0.202639,0.187966,0.178893,0.014801,44222.489725,0.009442,0.852041,0.307441,0.50187,0.508406,1.383798,0.104614,0.096604,0.070855,0.061515,0.103042,0.309215,0.124082,0.039479,0.032927,0.056241,158.5,1.002607,55.41522,3.677443,1.232006,0.61102,0.401107,0.880596,0.089892,108.6698,5.597157,218.2157,0.486363,0.011978,0.035152,0.05299,0.000399,0.006737,7124.032,0.629586,0,0.82024,0.110428,0,0.147545,0.003838,442.0042,21096.05
0.114333,0.346322,3.573055,0.421544,0.261226,0.631463,0.784657,1.211171,2.690718,0.840158,0.433812,0.207888,0.235989,0.205914,0.050356,49297.771017,0.018138,0.272452,0.263204,0.371438,0.633349,1.494829,0.105291,0.114065,0.064169,0.062369,0.106791,0.305781,0.105994,0.034877,0.02686,0.057082,110.5,1.013077,75.31037,5.419966,1.488114,0.65771,0.997753,0.899376,0.083346,36.91928,4.875345,462.4119,1.0495,0.015118,0.061004,0.632168,0.000104,0.006687,1503.334,0.79532,0,0.74767,0.113651,0,0.188785,0.006093,852.0406,300642.4
0.092956,-0.087324,3.220499,0.52293,0.240398,0.640212,0.822434,1.238476,2.69058,0.701529,0.483406,0.225818,0.227519,0.209483,0.026132,1655.529426,0.010687,0.389621,0.253699,0.384646,0.47023,1.827132,0.111893,0.088616,0.056083,0.062734,0.109147,0.308392,0.108005,0.036538,0.029116,0.060355,139,1.00396,79.38718,5.385904,1.459696,0.659331,0.897589,0.891975,0.08549,34.06821,5.322289,197.5783,0.354816,0.009439,0.024565,0.12574,0.000267,0.010216,1358.761,0.713475,0,0.976698,0.117566,0,0.022774,0.0035,657.5709,54766.47
0.093319,-0.239487,3.674272,0.428209,0.290326,0.605123,0.766608,1.210831,2.683746,0.76022,0.479165,0.214191,0.224791,0.20968,0.037667,274841.647093,0.027389,0.32496,0.488207,0.493424,0.671002,1.429425,0.112632,0.101906,0.070908,0.05897,0.101465,0.304128,0.127956,0.039077,0.029995,0.060403,156,1.006071,83.7156,5.47561,1.450206,0.624352,1.076006,0.894483,0.06254,28.22911,5.477852,279.3618,0.827207,0.020492,0.034618,0.349677,0.000271,0.009514,1484.38,0.794193,0,0.92743,0.116804,0,0.067348,0.003233,740.5067,330368.2
