@attribute Std_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_18 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5 numeric
@attribute BeatHistoHighBPM numeric
@attribute BeatHisto_MaxHPS numeric

@data

0.096902,0.554837,3.359543,0.492538,0.293912,0.672277,0.825081,1.220499,2.706108,0.79836,0.446327,0.230542,0.217991,0.198788,0.04435,13725.175029,0.018764,0.318596,0.308522,0.357161,0.507253,1.021565,0.079782,0.091794,0.063005,0.063497,0.108951,0.308743,0.127832,0.041173,0.026811,0.062618,123,1.005973
0.114881,0.5779,3.379496,0.487289,0.27043,0.633054,0.772101,1.134246,2.690949,0.707173,0.451863,0.231978,0.203641,0.214071,0.033671,161297.576009,0.029284,0.310841,0.299373,0.543114,0.448268,1.224579,0.102163,0.094133,0.072643,0.065788,0.104849,0.306516,0.140634,0.032503,0.033536,0.056534,137.5,1.004931
0.041028,-0.646484,3.542654,0.45498,0.330998,0.605671,0.743224,1.261141,2.71202,0.876064,0.452872,0.217832,0.217777,0.189259,0.029332,8610.710166,0.007801,0.365437,0.261212,0.388697,0.491604,1.120996,0.102345,0.098651,0.061506,0.058412,0.105761,0.309907,0.119218,0.034778,0.033629,0.050541,152,1.009046
0.081013,0.500517,3.615889,0.434979,0.29851,0.56181,0.729693,1.138559,2.696528,0.59939,0.400027,0.220356,0.213536,0.196945,0.022788,120528.427785,0.010948,0.299837,0.273464,0.479819,0.626364,1.532485,0.11176,0.107473,0.06782,0.055736,0.101867,0.30927,0.141081,0.037845,0.027493,0.054024,150,1.00279
0.071235,-0.007237,4.012758,0.343642,0.364016,0.515948,0.680031,1.137473,2.735127,0.898249,0.425665,0.210742,0.213568,0.190828,0.025174,749444.146704,0.017573,0.387834,0.399655,0.493688,0.821039,2.24369,0.115796,0.144924,0.107581,0.055956,0.112801,0.30789,0.159823,0.041062,0.04025,0.04421,151,1.002921
0.137885,0.442582,3.386516,0.464546,0.201502,0.632371,0.791244,1.219704,2.690438,0.926186,0.461449,0.22539,0.215442,0.210886,0.041422,26295.145828,0.026493,0.528362,0.247578,0.406767,0.543589,1.686814,0.091074,0.094121,0.063678,0.061839,0.109362,0.30595,0.123871,0.037349,0.029914,0.052903,130,1.006311
0.128474,0.455931,3.706951,0.436336,0.229185,0.639469,0.796211,1.251168,2.683769,0.748276,0.483613,0.212721,0.226458,0.216303,0.045161,3783.490998,0.019277,0.298004,0.218105,0.317011,0.673892,1.174499,0.104419,0.104713,0.054074,0.062605,0.112275,0.305121,0.117553,0.029765,0.032625,0.056465,134.5,1.003421
0.088692,0.819341,3.648288,0.441747,0.277686,0.632049,0.778532,1.2433,2.706699,0.933499,0.487605,0.235574,0.224694,0.222775,0.068813,49740.813202,0.013991,0.301186,0.276536,0.406271,0.808953,1.758558,0.091114,0.124492,0.057118,0.062596,0.110827,0.307166,0.099847,0.032233,0.033871,0.054923,126,1.016391
0.140049,0.518209,3.570515,0.473964,0.273144,0.649068,0.800729,1.260345,2.694143,0.762976,0.383505,0.228468,0.224062,0.214711,0.048164,3631.635678,0.039197,0.370164,0.230056,0.462108,0.559637,1.080493,0.096608,0.108562,0.057051,0.061021,0.114416,0.306767,0.139361,0.030187,0.040064,0.055844,144.5,1.005328
0.081165,0.620077,3.347134,0.49178,0.320282,0.645071,0.798954,1.227554,2.68924,0.645133,0.454856,0.240646,0.236632,0.211919,0.040083,42514.268157,0.017924,0.412366,0.267419,0.415403,0.544089,1.366466,0.093902,0.100629,0.064043,0.057876,0.107488,0.307656,0.148628,0.033849,0.032235,0.059672,136.5,1.004933
