@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_linregc1 numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[9]_linregc2 numeric
@attribute mfcc_sma[10]_linregc2 numeric
@attribute mfcc_sma[11]_kurtosis numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_max numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_linregerrQ numeric
@attribute voiceProb_sma_amean numeric
@attribute F0_sma_amean numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[4]_maxPos numeric
@attribute mfcc_sma_de[4]_linregc1 numeric
@attribute mfcc_sma_de[5]_amean numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {funny,notfunny}

@data
1.537513,-9.488311,-10.47977,-0.001661,0.728824,3.144844,-0.815439,-3.831272,1.764522,5.487034,26.18209,0.61101,0.101011,0.1006,0.00245,0.423609,75.4654,0.274072,6.82051,-0.676477,5.379083,-0.002061,4.980513,2047,-0.000001,0.001557,0.837471,0.10991,2425,0.92965,14.86768,funny
0.683096,-12.58983,-14.32279,-0.000911,-0.733305,4.358253,-1.38242,-0.885618,-1.373432,3.666005,17.7389,0.584392,0.137203,0.146744,0.003991,0.352606,34.43361,0.839862,5.42665,-0.299068,3.916272,-0.000353,4.088365,346,-0.000001,-0.000185,1.446026,0.150272,1201,1.581781,8.955204,funny
0.252482,-9.597957,-8.355045,0.001033,-3.48054,3.280649,-4.610103,-6.233042,-5.292589,2.929496,20.75981,0.443436,0.090882,0.089707,0.00235,0.370811,64.36931,1.008065,5.922044,-0.748374,4.332194,-0.0026,4.576905,905,-0.000003,0.000499,1.104086,-0.442713,107,1.0449,13.38046,funny
2.522443,-9.501867,-7.346231,-0.001319,-1.87499,2.938368,0.261497,-0.974231,-0.425832,4.066329,19.20531,0.490623,0.097373,0.053101,0.006118,0.348409,53.28622,0.705368,16.87405,-0.582877,8.283252,-0.001304,5.576058,1891,-0.000011,0.002253,1.19881,-0.03285,681,1.417476,11.58409,funny
1.553767,-11.2797,-11.8761,-0.001476,1.795328,3.096562,-1.291946,0.384904,0.965237,3.900262,24.16167,0.397459,0.087453,0.087403,0.003476,0.428045,92.71378,1.175146,7.429142,-0.662002,4.63676,-0.008595,3.979781,2101,-0.000005,0.001829,1.736753,-0.14768,374,1.724985,6.689675,funny
1.04856,-11.57477,-12.10602,-0.001188,-2.551716,2.867611,-2.022822,-3.298292,-4.303521,3.240242,13.65487,0.45977,0.108388,0.104408,0.003159,0.339658,26.77158,0.309479,8.079376,0.182712,5.131845,-0.002183,4.130617,2108,-0.000006,0.000048,1.415241,0.028701,2557,1.207906,10.10262,funny
0.871488,-10.23656,-10.04726,-0.002093,-0.935448,3.271626,1.627437,3.264705,-1.577051,3.141154,25.33891,0.594676,0.099689,0.086302,0.004568,0.355168,32.2377,0.641433,8.598334,-0.584132,9.515001,-0.002268,4.737571,2766,-0.000001,-0.001304,1.080402,-0.309594,2430,1.253476,18.51394,funny
0.48427,-8.447979,-8.694938,0.000383,-3.838753,3.364455,-2.562849,-1.994043,-2.514521,2.839056,17.72061,0.429522,0.12154,0.126292,0.00231,0.436147,50.76488,1.181543,6.702452,-0.698613,5.798213,0.001871,4.706272,2384,0,-0.001731,0.843721,0.136304,815,1.010593,11.66963,funny
2.414979,-9.679444,-8.036318,0.002097,-8.34483,2.980949,-1.099669,3.693189,-2.740112,3.172406,27.83568,0.274652,0.084218,0.074818,0.001549,0.349274,22.86761,1.193336,8.763379,-0.862892,5.138803,0.002567,3.220017,591,0.000001,0.003867,1.272124,0.343576,952,2.426305,4.739088,funny
2.023119,-8.896103,-8.371836,-0.000211,-1.410841,3.356572,0.479235,1.187809,-0.617361,3.016205,21.46979,0.558984,0.079779,0.076801,0.003932,0.359425,31.03666,0.016959,8.730695,-0.417215,3.920484,-0.001765,4.175094,1838,0.000008,0.003476,0.977424,-0.214919,834,1.154683,10.90139,funny
1.364354,-8.510078,-8.990432,0.000886,2.994132,3.404742,3.466882,3.880399,1.688828,3.241306,17.14107,0.54386,0.056191,0.054734,0.002933,0.357354,48.20409,2.000711,13.85308,-1.575777,7.396439,0.002497,4.836469,705,-0.000002,-0.00301,0.986433,0.081533,243,1.14602,19.17001,funny
0.547237,-10.13919,-8.822466,0.000361,3.02323,4.251383,2.046005,1.740321,-2.25327,5.477288,30.01458,0.632184,0.095364,0.085782,0.003431,0.386959,74.03526,0.794834,6.715893,-0.508622,5.508863,-0.003843,5.310809,1144,0.000001,-0.00225,1.615812,0.726029,1432,1.776178,19.99261,funny
1.131257,-5.55642,-5.780313,0.000605,-2.904056,2.595453,-1.031809,-1.495781,-3.689526,3.13615,13.43475,0.305505,0.064104,0.069519,0.000794,0.32752,33.87511,1.590668,8.381548,-0.311106,4.38379,0.001782,3.777994,1215,0.000003,0.000432,0.724363,0.239788,1215,0.852504,12.34295,funny
1.415982,-11.86957,-15.58131,-0.000971,2.642755,3.504608,2.083057,3.156475,-0.142089,2.838669,11.6971,0.233515,0.077757,0.093221,0.002312,0.272095,3.143003,0.802381,5.514991,-1.033513,4.939152,0.000233,3.519196,1128,-0.000008,0.001786,1.266001,0.894268,601,1.245486,5.586748,funny
0.254479,-11.14157,-11.05709,0.000823,-3.190873,3.07467,1.300523,1.250272,1.759379,3.057661,21.16824,0.38173,0.117487,0.118445,0.002379,0.297682,21.73524,0.753778,6.354254,-1.08681,7.470551,-0.001644,4.209992,662,0,-0.000317,1.065491,-0.294092,1747,1.004968,6.77,funny
0.856161,-12.95982,-13.86754,-0.001402,-1.40566,3.015932,0.857684,0.377627,-3.998997,3.313267,11.63565,0.344828,0.150291,0.161803,0.001265,0.289102,2.969974,1.218181,6.221543,-0.660774,6.910149,-0.001826,4.043224,1080,0.000001,-0.00142,0.917799,0.167457,5,1.020011,5.227686,funny
1.594934,-11.64552,-11.38763,0.000165,0.123128,3.208292,0.337592,0.474574,2.01559,3.031886,12.00233,0.363581,0.129711,0.125956,0.000981,0.313311,17.49541,1.081313,10.63782,0.32401,4.953334,-0.00117,4.532247,708,0,0.002448,0.586658,0.144088,1277,0.747959,9.50532,funny
0.985684,-11.96774,-9.077394,-0.000368,-3.23667,2.971384,-6.53914,-9.838382,-1.681861,3.433224,32.23531,0.603146,0.118416,0.089304,0.004823,0.452765,113.2906,1.046041,5.459776,-0.440841,6.472954,-0.003278,4.568644,484,0.000003,0.001737,1.48167,0.165845,1636,1.480581,16.75686,funny
0.487427,-8.991894,-7.295101,-0.000134,-1.920594,2.898346,-0.585678,0.630708,-1.265155,2.908973,13.41201,0.358742,0.086104,0.073526,0.001006,0.393179,64.91796,0.244605,10.40187,-0.847733,7.694032,0.001131,5.095202,565,0.000002,-0.001406,0.937391,-0.074366,279,0.991921,11.23729,funny
0.642079,-10.74541,-9.626737,0.002039,2.235193,4.033388,1.357947,1.316539,-4.855677,4.05842,24.48545,0.419238,0.100671,0.100406,0.004055,0.354994,48.49727,0.751627,5.919878,0.03042,5.229888,0.000192,4.345694,1893,0.000009,0.0003,1.232491,0.213994,1714,1.658923,9.94956,funny
0.715563,-11.41882,-11.01809,-0.001061,0.508537,3.040195,0.882985,0.483989,2.351266,3.084064,11.45405,0.317604,0.10499,0.104225,0.001201,0.279304,7.375849,0.967815,7.690996,-0.732988,4.948459,-0.001232,3.260449,2105,0.000001,0.00033,0.697768,0.035053,1993,0.900249,6.625298,funny
1.31846,-12.33522,-12.87577,-0.000292,-1.916166,3.223468,1.038896,1.106161,0.729605,3.056566,20.08256,0.466425,0.096895,0.091485,0.0028,0.331204,21.72816,0.973871,6.242232,-0.217348,3.801054,-0.001265,4.366355,195,-0.000001,0.003454,1.223012,-0.101138,2158,1.331082,6.657933,funny
0.537315,-11.76535,-11.62418,0.000052,0.276272,4.503657,3.581041,3.179459,2.753521,4.772262,26.45685,0.593466,0.095032,0.095771,0.009263,0.33453,40.45237,1.047616,6.302107,0.120273,6.531496,0.002854,4.143102,1067,0.000006,0.000576,1.874517,-0.072958,1282,1.603088,10.6521,funny
0.542135,-12.32308,-10.64308,-0.000346,-1.270789,3.363838,-1.598684,-1.376518,1.029713,2.845294,16.91105,0.4634,0.144504,0.118679,0.002694,0.440485,89.95825,0.476816,4.577149,-0.751006,4.403461,0.003511,4.360251,1504,0.000006,0.000409,1.177761,-0.16761,1284,1.254049,6.035799,funny
0.631619,-10.60056,-9.944086,-0.000188,0.007152,4.537316,-0.362873,-0.609918,-3.219264,3.051253,21.98811,0.551119,0.112528,0.119724,0.006482,0.370328,41.89999,1.147355,5.636414,-0.702544,4.942064,-0.000185,4.029078,1664,0.000003,-0.001279,1.117564,0.014665,607,1.393624,12.15506,funny
1.011467,-12.39816,-12.11747,-0.000282,-0.235053,3.21393,-1.34312,-2.870243,-2.197621,3.330036,12.76511,0.581972,0.13549,0.143462,0.005395,0.285826,17.16706,0.296732,8.26278,0.460455,6.572475,-0.00032,4.336926,2056,-0.000005,-0.000567,0.973003,-0.509999,1913,1.231823,12.18864,funny
