@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_stddev numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[8]_amean numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[5]_linregc1 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_skewness numeric
@attribute mfcc_sma_de[7]_amean numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_amean numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute output {romantic,notromantic}

@data
0.019982,3.03553,-6.605051,-0.311496,-1.090615,3.178872,0.00486,0.804402,7.329237,2463,0.049625,0.000006,0.885091,-0.299442,-0.000082,0.955371,-0.000043,-0.000043,-0.487429,romantic
0.005597,1.658473,-6.11431,-0.228624,-6.627307,3.500715,0.000767,0.659061,5.236484,514,-0.278509,-0.000003,0.030228,0.200606,-0.002796,1.345432,-0.000007,0.000017,-0.231589,romantic
0.006676,2.362528,-7.270039,-0.3981,-5.455297,2.452355,0.000852,0.5363,5.137674,1743,-0.016206,0.000005,0.195104,0.226451,-0.001201,1.134542,-0.000046,0.000075,0.142378,romantic
0.019496,3.533615,-7.169191,-1.28198,-1.156796,3.179127,0.00378,0.737238,4.824302,1507,-0.462479,-0.000007,0.074109,0.008351,-0.00222,0.95698,-0.000026,-0.000067,0.218123,romantic
0.009915,2.245033,-1.360643,-0.954529,-2.666475,4.482613,0.001393,0.44445,5.456107,466,-0.111915,0.000001,0.138945,-0.185085,0.00027,0.908059,0.000026,-0.000069,0.64491,romantic
0.008302,2.700471,-5.609444,-0.487915,0.915939,2.788048,0.001517,0.699407,4.595136,142,0.679986,0.000006,0.286912,-0.033871,-0.000952,1.048229,-0.00005,0.000035,-0.577662,romantic
0.017734,2.092402,-5.789108,-0.387052,2.863401,1.779061,0.004015,1.134565,4.384099,998,0.774151,0.000003,-0.359029,0.04456,-0.001891,1.076779,-0.000007,-0.000002,-0.318647,romantic
0.008788,1.299826,-8.215707,-0.253873,1.345655,2.045217,0.002355,1.556583,4.992023,523,0.165211,0.000009,0.169661,0.028125,0.004801,1.78177,0.000046,-0.000025,-0.602369,romantic
0.014572,0.868709,-7.212779,0.267982,-1.650142,1.067536,0.003359,0.48206,3.76467,175,0.722533,-0.000004,0.209242,0.090074,0.003497,0.940957,0.000049,-0.000003,-0.598537,romantic
0.007148,1.466397,-0.135523,-0.39515,-3.582534,2.435171,0.000797,0.38705,5.031977,2519,-0.174133,-0.000006,0.00704,-0.141721,-0.003551,0.778383,-0.000033,-0.000001,0.158068,romantic
0.001323,0.650876,-1.227151,0.039771,-3.831366,0.488125,0.000276,0.344076,3.162323,538,-0.077695,-0.000003,0.114281,0.023749,-0.001005,1.050228,-0.000007,0.000027,0.09169,romantic
0.003851,1.373153,-3.420697,-0.607811,-0.938766,5.16699,0.000397,0.341986,6.033816,403,-0.060761,0.000004,0.288725,0.016236,0.006198,0.755722,-0.000022,0.000013,0.319241,romantic
0.008392,2.140526,-10.52734,-0.353116,4.519634,2.913753,0.001382,0.468851,4.374395,2839,0.085457,0.000002,0.237478,-0.029357,-0.000622,1.129487,-0.000402,-0.000015,0.154326,romantic
0.030725,1.789724,-12.5448,-0.612438,-2.77794,1.2529,0.00743,0.854251,4.719787,381,0.220481,0.000004,0.41156,0.202144,-0.001089,1.272781,0.000084,-0.000103,-0.652398,romantic
0.009472,2.588984,1.041837,-0.777448,1.158564,4.589689,0.001607,0.869581,4.453335,853,-0.228036,0.000013,0.104221,-0.025179,-0.006427,2.238276,-0.000012,-0.000139,0.183963,romantic
0.009164,1.224867,-3.821532,-0.222614,-6.913758,2.620175,0.001818,0.926842,5.882425,2484,-0.24964,0.000008,0.150553,-0.142886,0.002297,1.308914,0.000029,0.000022,0.178477,romantic
0.015623,2.89674,-5.285053,-0.284308,-1.967995,2.851269,0.003151,0.459362,4.057818,2418,0.042241,-0.000001,0.079401,0.123718,0.002755,1.207564,0.000047,-0.000036,-0.316509,romantic
0.002886,1.282025,-0.521248,-0.08422,-2.849043,3.415999,0.000591,0.462962,4.138225,560,0.043,-0.000002,-0.132093,-0.03384,0.000622,1.071616,-0.000007,-0.000012,-0.407114,romantic
0.019849,3.731101,-3.538811,-0.87711,0.642174,3.325393,0.005608,0.625913,4.890889,2917,-0.199418,-0.000009,-0.057431,0.108156,-0.004908,1.025392,-0.000064,0.000092,-0.34421,romantic
0.013242,1.413524,-9.075797,-0.068016,2.284997,0.821163,0.002442,0.852557,5.067388,2829,0.909932,-0.000001,-0.176991,0.256411,-0.004434,0.855436,-0.000013,-0.000009,-0.390947,romantic
0.01084,1.951113,-1.341807,-1.047868,-0.833894,3.441254,0.002376,0.506981,3.896165,2225,0.204296,0.000002,0.045791,0.013436,-0.000044,1.095006,0.00003,-0.000025,-0.179403,romantic
0.017545,1.62658,-6.864682,-0.455773,2.037781,1.933193,0.001732,0.421618,3.727625,1589,0.076829,0.000008,-0.110042,0.227564,0.004985,1.013208,-0.000221,-0.000206,-0.16522,romantic
0.013309,1.718837,-4.265511,-1.15373,-4.986379,2.101467,0.001527,0.562845,4.714664,726,-0.045272,-0.000005,-0.093815,0.297179,0.000941,1.120301,-0.000056,0.000003,-0.310846,romantic
0.018295,1.32155,-11.78542,-0.701893,-0.744791,2.252489,0.004199,0.486616,4.030658,501,0.162297,-0.000004,-0.118821,0.009691,-0.000758,1.156298,0.000015,0.000009,-0.316624,romantic
0.005652,2.545834,5.698926,-0.267816,-3.798614,7.465896,0.000566,0.626697,4.157561,1447,0.139696,-0.000021,0.114972,-0.174642,-0.001058,1.199259,-0.000036,-0.000033,0.239818,romantic
0.010986,4.548757,-1.072738,-1.123973,0.501822,5.763223,0.001617,0.708414,5.322741,2296,0.084158,-0.000003,0.016068,-0.01647,-0.000954,0.779697,-0.000002,-0.000005,-0.565499,romantic
0.009549,3.058536,8.188938,-0.900219,4.282959,4.823334,0.001538,0.522717,5.225481,1953,0.367245,-0.000007,0.507013,0.043065,-0.001742,1.062726,-0.000145,-0.000112,0.066651,romantic
0.001803,1.118837,4.253268,-0.529614,-0.944366,1.431736,0.000291,2.19137,3.601189,1278,0.117055,0.000004,-0.007061,0.062452,-0.001874,3.369671,0.000018,-0.000031,0.032564,romantic
0.019131,2.114807,-1.285901,-0.101348,-5.329839,3.046985,0.002954,0.791073,4.339165,2198,0.035143,-0.000004,0.385359,0.120095,0.008474,1.314975,0.000013,-0.000089,-0.333562,romantic
0.017323,1.768309,0.157275,-0.269983,-6.090103,3.666407,0.004443,0.842302,5.368101,1642,-0.007568,-0.000001,0.981204,0.26769,0.001252,0.972864,-0.000021,-0.000189,-0.723844,romantic
0.018695,2.401131,-8.571368,-0.814588,-4.83359,2.828887,0.004075,0.824688,4.523787,2827,-0.226537,-0.000006,-0.405573,0.076832,-0.003129,1.26278,0.000015,-0.000001,0.21659,romantic
0.013895,1.97494,-2.721908,-0.146,0.663384,3.652634,0.002985,0.930466,5.48874,448,0.341581,-0.000009,-0.088,0.180478,-0.000737,1.498581,-0.000033,-0.00008,-0.042988,romantic
0.010066,1.532736,-5.328749,-0.133206,-1.042642,2.892905,0.001777,0.680262,5.930357,2387,0.034955,0.000002,-0.011358,-0.069851,0.000433,0.843566,-0.000024,0.000057,-0.448246,romantic
0.0121,1.389615,2.435804,0.622536,0.02411,1.796335,0.002119,0.760135,6.024088,2623,-0.214987,-0.00001,-0.246908,0.285449,0.000003,1.014219,-0.000085,-0.000023,-0.474051,romantic
0.01483,0.421442,-7.580949,-0.636067,-2.016859,1.940335,0.002395,0.482897,4.122115,816,0.203271,0.000004,0.0399,-0.054876,0.000814,1.195687,0.000011,-0.000005,-0.088062,romantic
0.014564,1.050726,-2.13432,-0.719826,-1.589227,3.866763,0.002132,0.578163,6.443457,2623,-0.11653,-0.000016,-0.31825,-0.195546,0.004472,0.928031,0.000028,-0.000035,0.436061,romantic
