@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_19 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_C# numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_17 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute output {romantic,notromantic}

@data

0.082554,0.97131,1.543622,2.244606,0.454936,0.1758,0.053622,0.000514,0.420406,0.204585,0.209525,0.071749,0.560104,0.59212,0.355653,0.109266,0.128313,0.098257,0.124571,0.041126,0.241911,64.784498,97.651906,romantic
0.038044,1.261043,1.578716,2.249547,0.315424,0.1319,0.01199,0.000165,0.427078,0.210453,0.200668,0.093034,0.92249,0.876899,0.36891,0.132865,0.126978,0.132484,0.141693,0.128402,0.344934,12.208211,17.982886,romantic
0.060059,1.289815,1.491135,2.630821,0.310405,0.169477,0.017037,0.000099,0.446517,0.200651,0.149285,0.090859,0.328503,0.285926,0.540166,0.133321,0.128957,0.139482,0.128521,0.208517,0.216115,18.217378,19.189091,romantic
0.031982,1.400807,1.485306,2.275057,0.349977,0.130369,0.01861,0.000432,0.417874,0.21245,0.172512,0.078914,0.282837,0.275524,0.35419,0.133811,0.110873,0.112519,0.118917,0.091411,0.199848,19.714493,23.685348,romantic
0.016786,2.092676,1.630335,2.272354,0.416578,0.072738,0.00359,0.000166,0.37015,0.199873,0.176027,0.087886,0.306607,0.263636,0.346059,0.140342,0.096833,0.121324,0.127652,0.136419,0.271169,22.931748,22.533238,romantic
0.021227,1.030633,1.484717,2.391625,0.48258,0.1033,0.014296,0.001012,0.373429,0.209802,0.210773,0.080258,0.310209,0.487339,0.399489,0.107168,0.096288,0.100381,0.144991,0.059467,0.154681,33.262033,44.888939,romantic
0.054479,0.646188,1.469314,2.416433,0.438668,0.182441,0.027184,0.000613,0.410174,0.20425,0.192575,0.090999,0.453186,0.36833,0.39052,0.109512,0.083646,0.088282,0.079913,0.070677,0.170424,27.392742,27.466432,romantic
0.023802,1.836395,1.47052,2.250356,0.430208,0.105029,0.013934,0.000336,0.4406,0.221029,0.1802,0.082788,0.449487,0.390643,0.301181,0.104834,0.109371,0.114885,0.116571,0.08755,0.197893,23.140785,27.146194,romantic
0.064294,1.60595,1.473527,2.422724,0.3107,0.166462,0.021968,0.000108,0.432456,0.221225,0.181474,0.078321,0.601089,0.385448,0.45875,0.125033,0.116905,0.14928,0.125466,0.093447,0.229852,14.724732,16.857065,romantic
0.050091,1.313565,1.507963,2.585463,0.451405,0.157564,0.019163,0.000051,0.423572,0.208232,0.192705,0.075279,0.571885,0.335876,0.405286,0.130579,0.112227,0.111539,0.102532,0.09268,0.383579,7.392117,10.906158,romantic
