@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute output {romantic,notromantic}

@data
1.382722,195.4057,0.030302,0.014487,notromantic
1.201325,171.5949,0.02015,0.01475,notromantic
1.657787,34.08581,0.004934,0.026335,notromantic
1.657787,34.08581,0.004934,0.026335,notromantic
1.626831,17.39616,0.15457,0.016072,notromantic
1.365756,29.51966,0.069601,0.009549,notromantic
1.365756,29.51966,0.069601,0.009549,notromantic
1.365756,29.51966,0.069601,0.009549,notromantic
1.365756,29.51966,0.069601,0.009549,notromantic
1.365756,29.51966,0.069601,0.009549,notromantic
1.365756,29.51966,0.069601,0.009549,notromantic
1.46808,142.103,0.008734,0.006613,notromantic
1.081868,94.16735,0.111548,0.002455,notromantic
1.25143,132.6651,0.040297,0.009621,notromantic
1.194821,77.99895,0.097604,0.003696,notromantic
1.327829,12.68016,0.295373,0.002992,notromantic
1.306466,79.19437,0.159283,0.008813,notromantic
1.532172,172.2256,0.051681,0.041973,notromantic
1.149181,41.36333,0.0959,0.005095,notromantic
1.313819,77.54994,0.018597,0.007889,notromantic
1.313819,77.54994,0.018597,0.007889,notromantic
1.313819,77.54994,0.018597,0.007889,notromantic
1.313819,77.54994,0.018597,0.007889,notromantic
1.378115,40.60153,0.095138,0.00266,notromantic
1.415947,67.55399,0.102335,0.011894,notromantic
1.415947,67.55399,0.102335,0.011894,notromantic
1.583378,62.03051,0.005728,0.014032,notromantic
1.326209,55.35361,0.04866,0.011051,notromantic
1.326209,55.35361,0.04866,0.011051,notromantic
1.326209,55.35361,0.04866,0.011051,notromantic
1.289969,73.61492,0.089866,0.006659,notromantic
1.547568,64.9726,0.009297,0.014,notromantic
1.551302,48.23045,0.008451,0.016664,notromantic
1.551302,48.23045,0.008451,0.016664,notromantic
1.418599,45.15431,0.051688,0.011878,notromantic
1.480062,73.48238,0.03535,0.008014,notromantic
1.112845,57.72443,0.158804,0.009442,notromantic
1.258108,144.2679,0.074714,0.006552,notromantic
1.258108,144.2679,0.074714,0.006552,notromantic
1.496602,23.00051,0.014359,0.010914,notromantic
1.496602,23.00051,0.014359,0.010914,notromantic
1.415325,161.7206,0.007638,0.012453,notromantic
1.324362,102.8876,0.143394,0.005078,notromantic
1.324362,102.8876,0.143394,0.005078,notromantic
1.324362,102.8876,0.143394,0.005078,notromantic
1.324362,102.8876,0.143394,0.005078,notromantic
1.34154,23.59494,0.076413,0.011997,notromantic
1.498299,90.71054,0.00613,0.010332,notromantic
1.408869,37.09585,0.024695,0.012625,notromantic
1.225945,83.60551,0.384701,0.005139,notromantic
1.178889,124.2569,0.092319,0.001976,notromantic
1.178889,124.2569,0.092319,0.001976,notromantic
1.178889,124.2569,0.092319,0.001976,notromantic
1.331247,73.08117,0.014403,0.004154,notromantic
1.331247,73.08117,0.014403,0.004154,notromantic
1.241637,76.5001,0.060114,0.008136,notromantic
1.457576,59.89294,0.047436,0.005312,notromantic
1.409377,52.8291,0.052892,0.014345,notromantic
1.383939,40.87735,0.064136,0.006694,notromantic
1.29824,64.41986,0.074028,0.004551,notromantic
1.29824,64.41986,0.074028,0.004551,notromantic
1.547735,28.48885,0.040368,0.020097,notromantic
1.547735,28.48885,0.040368,0.020097,notromantic
1.547735,28.48885,0.040368,0.020097,notromantic
1.284124,150.9444,0.012848,0.010227,notromantic
1.44101,21.19357,0.154294,0.004502,notromantic
1.443833,19.31623,0.105,0.004983,notromantic
1.389359,30.31725,0.027819,0.011861,notromantic
1.389359,30.31725,0.027819,0.011861,notromantic
1.11924,94.91699,0.104756,0.004364,notromantic
1.26586,72.56228,0.047749,0.009541,notromantic
1.26586,72.56228,0.047749,0.009541,notromantic
1.26586,72.56228,0.047749,0.009541,notromantic
1.374076,65.37017,0.071995,0.006374,notromantic
1.374076,65.37017,0.071995,0.006374,notromantic
1.374076,65.37017,0.071995,0.006374,notromantic
1.605879,33.91592,0.037008,0.008598,notromantic
1.671952,13.7937,0.021162,0.015705,notromantic
1.503647,46.08124,0.013438,0.012192,notromantic
1.503647,46.08124,0.013438,0.012192,notromantic
1.488937,156.5869,0.044767,0.010535,notromantic
1.527104,26.48163,0.013894,0.01402,notromantic
1.258266,152.3726,0.068053,0.006589,notromantic
1.425692,52.70387,0.015127,0.009308,notromantic
1.407111,100.0234,0.051519,0.017786,notromantic
1.521852,54.9183,0.019222,0.01337,notromantic
1.399224,73.58806,0.055443,0.013023,notromantic
1.399224,73.58806,0.055443,0.013023,notromantic
1.399224,73.58806,0.055443,0.013023,notromantic
1.399224,73.58806,0.055443,0.013023,notromantic
1.259842,117.8099,0.041752,0.003987,notromantic
1.259842,117.8099,0.041752,0.003987,notromantic
1.498627,18.96289,0.030966,0.016139,notromantic
1.225658,46.29536,0.125693,0.002836,notromantic
1.335947,168.8532,0.052334,0.011921,notromantic
