@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute output {lonely,notlonely}

@data
63.12495,1.29824,0.536782,0.868633,64.41986,5.742696,0.000606,0.004551,1.590794,lonely
75.5924,1.16762,0.712205,0.877837,124.7243,7.543893,0.000438,0.008143,3.450292,lonely
68.24344,1.290594,0.755746,0.884435,49.92555,6.02628,0.000444,0.008547,0.991029,lonely
58.70961,1.144556,0.581023,0.86612,57.1634,6.170451,0.000534,0.008008,0.570134,lonely
98.4587,1.369092,0.696202,0.899442,66.94953,6.597616,0.000237,0.008027,0.617236,lonely
87.75625,1.400256,0.588951,0.897085,94.98354,5.796193,0.000105,0.012641,0.312312,lonely
67.94062,1.347301,0.836511,0.89722,93.82027,5.904164,0.000188,0.006393,0.732759,lonely
35.14821,1.171583,0.782015,0.853278,91.84317,4.92648,0.001294,0.026856,6.080771,lonely
80.53015,1.502641,0.533284,0.895497,85.84662,5.073515,0.000127,0.012253,0.296442,lonely
82.6866,1.295503,0.71972,0.899945,204.832,6.631096,0.00017,0.009482,0.452915,lonely
79.01523,1.346119,0.711021,0.896505,97.47243,5.933679,0.000242,0.011161,0.636489,lonely
80.41062,1.387245,0.71469,0.892812,91.90988,5.758114,0.000132,0.008869,0.582676,lonely
72.23859,1.174402,0.722457,0.889546,389.1488,6.901945,0.000241,0.023908,0.882446,lonely
80.29394,1.232452,0.85527,0.886174,125.6861,7.177057,0.000361,0.006159,2.311722,lonely
84.07944,1.395554,0.627294,0.892109,55.94243,5.921847,0.000259,0.005251,1.003448,lonely
88.31348,1.451324,0.560093,0.902964,126.9785,5.541205,0.000097,0.011661,0.173622,lonely
82.36292,1.406358,0.654998,0.885521,41.1044,5.400087,0.000555,0.007406,2.546806,lonely
72.73536,1.349085,0.688325,0.886193,32.13752,5.431404,0.000294,0.010954,0.796292,lonely
46.95811,1.054712,1.455246,0.859824,104.4768,7.349464,0.000514,0.003885,1.732963,lonely
48.98578,1.079154,0.83485,0.861318,92.27989,7.025686,0.000806,0.0053,4.491799,lonely
57.50239,1.201984,0.991807,0.887524,62.10265,6.130651,0.000217,0.006017,0.987838,lonely
57.84272,1.324617,0.724364,0.866712,16.35354,5.26688,0.000568,0.002284,1.612219,lonely
84.60637,1.522879,0.543351,0.893623,48.09163,5.046587,0.000157,0.007361,0.49495,lonely
