@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHistoHighBPM numeric
@attribute BeatHisto_MaxHPS numeric

@data

0.079311,0.000065,2.143953,2.773369,0.786474,0.416161,0.126922,0.45807,0.638201,1.947324,0.020051,0.000102,0.281189,0.384214,0.119136,0.029475,0.015425,0.806705,0.548786,0.307648,0.000043,0.18861,0.467918,1.605519,0.098291,0.10855,0.267937,1.483422,0.385664,0.098294,0.135339,0.177327,0.143919,0.048203,0.029448,0.038666,0.036295,0.023404,0.074656,14.833545,156.25,1.003993
0.066475,0.000106,2.335394,3.33899,0.796688,0.355002,0.132919,0.345623,0.521706,2.00781,0.014897,0.000065,0.28311,0.423029,0.153455,0.024119,0.012031,1.728208,0.655644,0.350834,0.000084,0.189896,0.642964,1.141838,0.110223,0.109998,0.260829,1.430989,0.820912,0.108279,0.155042,0.254315,0.2676,0.055507,0.047718,0.037173,0.042997,0.047287,0.066299,15.063458,142.5,1.00259
0.179933,0.000643,2.407017,3.079188,0.777549,0.417704,0.177835,0.493036,0.624397,1.951365,0.027998,0.000425,0.283984,0.428903,0.127399,0.027938,0.024925,1.064644,0.789261,0.388177,0.000209,0.198099,0.714653,2.087174,0.083283,0.102845,0.255242,0.554176,0.473034,0.101334,0.114981,0.21913,0.225128,0.053086,0.043791,0.051065,0.038294,0.032115,0.083822,43.752782,158.5,1.004114
0.152982,0.000195,2.273556,3.133891,0.75216,0.493186,0.154555,0.453419,0.617216,1.905968,0.03669,0.000382,0.292141,0.460032,0.162584,0.048487,0.030258,1.186502,0.532348,0.328104,0.000069,0.192752,0.613745,2.430689,0.113522,0.123113,0.253806,0.939548,0.582443,0.108875,0.146328,0.254032,0.310836,0.039668,0.045386,0.042843,0.039799,0.023558,0.07212,30.037978,131.75,1.005459
0.108377,0.000237,2.659246,3.128242,0.758078,0.479283,0.144167,0.445262,0.576391,1.998931,0.040567,0.000116,0.289297,0.409164,0.125673,0.039438,0.02708,0.96558,0.447092,0.292088,0.000054,0.193127,0.847308,1.588855,0.11299,0.099242,0.260252,0.469919,0.352591,0.105835,0.154897,0.163904,0.382777,0.048587,0.046295,0.041663,0.036879,0.031798,0.081196,18.831533,120.5,1.002625
0.093094,0.000112,2.296228,2.943029,0.906571,0.552219,0.162957,0.417249,0.533609,1.943403,0.01293,0.000059,0.218829,0.384955,0.138816,0.023325,0.010194,1.136371,0.366939,0.246697,0.000061,0.166767,0.565231,1.667788,0.136325,0.08634,0.254776,1.66517,0.789259,0.103067,0.120297,0.234616,0.262855,0.070863,0.039751,0.033446,0.026822,0.031216,0.078488,19.384527,140.5,1.002615
0.225718,0.000418,2.225596,3.020072,0.745881,0.377261,0.177201,0.486974,0.627757,1.911863,0.051925,0.00035,0.274308,0.468068,0.158366,0.042537,0.023542,0.631683,0.709722,0.309834,0.000153,0.200791,0.525167,1.615023,0.12377,0.105088,0.253275,0.46202,0.390856,0.131637,0.134736,0.177648,0.218751,0.048397,0.02842,0.040257,0.034337,0.023572,0.074944,56.466771,128.5,1.004254
0.065857,0.000118,2.380285,3.2032,0.789801,0.426887,0.124078,0.420275,0.53571,1.966979,0.018504,0.000152,0.281868,0.290435,0.142619,0.02279,0.014473,1.158514,0.730487,0.273231,0.000065,0.198434,0.535251,1.519121,0.114993,0.131323,0.261801,0.668723,0.607308,0.094009,0.266984,0.171333,0.252133,0.060542,0.033158,0.039472,0.04339,0.029336,0.080908,11.093772,134.25,1.003424
0.02832,0.000024,2.663726,3.319809,0.724891,0.444694,0.089496,0.341625,0.448402,1.969759,0.003559,0.000024,0.273321,0.420891,0.206981,0.010901,0.005402,1.343528,0.655608,0.598546,0.000015,0.245466,0.847968,1.487966,0.182523,0.161344,0.263662,1.527467,0.731748,0.161887,0.158994,0.327771,0.399839,0.083668,0.075723,0.063715,0.068109,0.060961,0.064383,8.198226,154.25,1.003278
0.06322,0.000172,2.204417,2.857678,0.807164,0.518609,0.146494,0.427263,0.572093,1.988789,0.008537,0.000109,0.286858,0.411458,0.143087,0.019336,0.012472,0.858298,0.446146,0.222441,0.000105,0.168482,0.450501,1.785961,0.092945,0.111271,0.258931,0.692859,0.460694,0.098595,0.162864,0.162421,0.169097,0.047135,0.034998,0.043428,0.03767,0.028227,0.075689,42.043971,152,1.004532
0.054145,0.000146,2.395503,2.980325,0.73253,0.381008,0.125823,0.360045,0.466926,2.046039,0.010479,0.000083,0.262501,0.427131,0.178576,0.022947,0.010667,1.836096,0.419526,0.465429,0.000137,0.264742,0.620991,2.093181,0.163039,0.094463,0.26123,1.612416,0.64781,0.19425,0.171574,0.208271,0.244617,0.081137,0.059152,0.054694,0.043428,0.036034,0.07511,18.139911,143.5,1.003032
0.070102,0.000173,2.373371,2.885016,0.669224,0.487582,0.093166,0.456191,0.596355,2.013605,0.016418,0.000106,0.196752,0.481547,0.117918,0.025014,0.012718,1.446633,0.550082,0.384164,0.000037,0.21075,0.553191,1.673154,0.112855,0.14965,0.262789,0.51928,0.554213,0.151097,0.135909,0.266225,0.237768,0.062075,0.043878,0.045832,0.042494,0.032562,0.080197,20.552737,159.5,1.003674
0.151044,0.000247,2.217023,2.946929,0.776385,0.476376,0.168919,0.486915,0.610548,1.959977,0.028446,0.000226,0.280158,0.430947,0.127072,0.033752,0.018885,0.624651,0.359677,0.365283,0.000144,0.217188,0.563087,1.101404,0.169429,0.087136,0.258612,0.578385,0.278452,0.155566,0.147178,0.182041,0.228157,0.075161,0.051783,0.045232,0.038438,0.02541,0.076101,37.564107,156.5,1.003245
0.116522,0.00032,2.384013,3.020506,0.779709,0.432166,0.131591,0.47227,0.611648,1.991899,0.042374,0.00032,0.296069,0.459086,0.143047,0.039195,0.029114,1.21606,0.637262,0.52074,0.000246,0.187506,0.69591,1.431143,0.116989,0.123959,0.258451,1.325456,0.822512,0.095301,0.148436,0.187079,0.230744,0.056786,0.04372,0.048684,0.039203,0.04186,0.08005,38.506217,130.75,1.008176
0.055625,0.000044,2.206244,3.074483,0.741271,0.43276,0.100476,0.433277,0.537318,1.959975,0.022238,0.000035,0.191679,0.365591,0.145486,0.024368,0.020341,1.540512,0.566307,0.61132,0.000085,0.229191,0.628709,2.354486,0.132866,0.116918,0.259721,1.456741,0.802986,0.142234,0.19798,0.215136,0.201486,0.101777,0.054932,0.052603,0.057015,0.036408,0.078774,8.838752,136,1.004924
0.04879,0.000304,2.073813,3.207821,0.700525,0.485685,0.115236,0.461195,0.578048,1.991359,0.011774,0.000223,0.274936,0.453943,0.116343,0.019685,0.00554,0.931816,0.461601,0.270211,0.000102,0.216775,0.492523,0.904646,0.104325,0.151418,0.260169,0.602191,0.390398,0.117405,0.161865,0.201811,0.206342,0.046401,0.041575,0.03963,0.030282,0.023232,0.07264,22.973105,145,1.005047
0.101835,0.000222,2.395367,3.221529,0.591284,0.482738,0.134958,0.434761,0.582123,1.985381,0.022938,0.00031,0.209686,0.399253,0.123918,0.027206,0.024154,1.225685,0.783418,0.347656,0.000182,0.260626,0.769678,1.533611,0.131865,0.144686,0.26451,0.516536,0.386541,0.122158,0.159921,0.256061,0.257689,0.063597,0.037973,0.047377,0.036416,0.023175,0.079864,28.139984,156.75,1.004044
0.17426,0.000311,2.046528,2.730149,0.816634,0.467956,0.177445,0.480704,0.613245,1.985307,0.035621,0.000253,0.266442,0.423033,0.129365,0.026695,0.01539,0.714044,0.388102,0.29136,0.00021,0.168014,0.502903,0.938456,0.098094,0.101893,0.259366,0.535805,0.314066,0.104677,0.139777,0.167936,0.167747,0.051751,0.039574,0.034198,0.038648,0.022658,0.076406,73.386639,132,1.005246
0.152221,0.000087,2.060159,3.050427,0.618689,0.205895,0.125332,0.454731,0.639894,2.015949,0.059188,0.000127,0.267314,0.350718,0.114874,0.026067,0.030415,1.635554,0.999987,1.077665,0.000023,0.2252,0.73749,0.886228,0.197721,0.18572,0.259425,0.508356,0.757606,0.149766,0.178905,0.44013,0.222578,0.061955,0.045952,0.049139,0.063321,0.033697,0.087515,44.999569,116.25,1.00938
0.121441,0.000143,2.371498,3.05638,0.753931,0.41578,0.154202,0.467122,0.584448,1.987562,0.05319,0.000176,0.308227,0.460408,0.149646,0.039984,0.029955,1.395843,0.58175,0.370754,0.000142,0.180659,0.730758,1.263736,0.148815,0.11373,0.25804,0.826383,0.663136,0.123795,0.160363,0.199037,0.231413,0.040982,0.041766,0.039687,0.036882,0.026365,0.087064,28.14752,123,1.003822
0.167448,0.000175,2.404413,3.770902,0.791801,0.452729,0.162211,0.501403,0.599508,1.950403,0.026812,0.000131,0.269063,0.436,0.100408,0.02834,0.014029,0.648219,0.667757,0.298096,0.000094,0.173984,0.624943,0.998343,0.11495,0.117819,0.257479,0.666325,0.323632,0.107824,0.193726,0.322344,0.251684,0.057987,0.040723,0.044148,0.047826,0.017814,0.069429,22.740884,147.75,1.003397
0.182508,0.000113,2.348108,2.92879,0.687283,0.467911,0.192266,0.478269,0.590676,1.97476,0.045763,0.000085,0.290927,0.467788,0.130776,0.036589,0.023197,0.754682,0.723833,0.225316,0.000095,0.20689,0.558224,1.181765,0.12302,0.130806,0.258492,0.618206,0.431637,0.15856,0.169669,0.206608,0.215317,0.047633,0.039055,0.032698,0.042385,0.027366,0.076031,29.629647,137.75,1.003303
0.307171,0.000772,2.78268,3.357729,0.620759,0.391103,0.108244,0.42024,0.572303,2.001536,0.010132,0.000204,0.241427,0.435722,0.132584,0.030453,0.010059,1.575051,0.85569,0.499222,0.000116,0.252637,1.124451,1.286118,0.185095,0.150971,0.260215,0.948004,0.578364,0.151727,0.195693,0.206254,0.324113,0.071028,0.067969,0.075012,0.061708,0.028823,0.088849,16.298033,131,1.003387
0.063438,0.000055,3.037429,2.764286,0.765752,0.419494,0.13477,0.371111,0.494302,1.900708,0.009438,0.000053,0.258796,0.398658,0.191364,0.019336,0.007585,1.448742,0.601877,0.391825,0.000013,0.249443,0.761177,1.985171,0.120434,0.106981,0.255627,1.270158,0.714328,0.121836,0.148731,0.198161,0.341891,0.074877,0.037088,0.042104,0.047795,0.052727,0.072554,16.073922,139.75,1.003767
