@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_max numeric
@attribute mfcc_sma[1]_max numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[3]_linregerrQ numeric
@attribute mfcc_sma[5]_linregc2 numeric
@attribute mfcc_sma[6]_min numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[9]_minPos numeric
@attribute mfcc_sma[9]_linregc2 numeric
@attribute mfcc_sma[9]_stddev numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute pcm_zcr_sma_max numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc1 numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_max numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute mfcc_sma_de[1]_linregc1 numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[7]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[8]_kurtosis numeric
@attribute mfcc_sma_de[9]_min numeric
@attribute mfcc_sma_de[9]_skewness numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute pcm_zcr_sma_de_max numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute output {lonely,notlonely}

@data
0.100591,0.23012,-8.970465,30.70813,-8.411662,-25.65804,-6.323676,1963,-0.45584,4.854157,-9.373413,0.410163,0.079438,0.000013,0.420214,0.787343,0.013812,0.002144,0,-0.479337,4.099415,1968,1.003532,-0.006648,3.9224,-3.382118,0.065151,1.196507,4.213325,0.049607,0.000074,12.52507,-0.303077,lonely
0.122516,-0.527032,-9.495715,10.33002,-3.549888,-18.9223,-2.032217,515,-3.499112,5.126113,-2.465586,0.291591,0.099776,-0.000007,0.295355,1.02792,0.021428,0.003666,0,-1.269102,3.984903,1709,1.081718,-0.001905,3.275772,-3.834541,0.474675,0.913663,3.464739,0.043013,0.000089,5.092563,-0.380756,lonely
0.038192,11.33836,-10.03749,40.79719,-10.07659,-31.26491,-6.80786,2300,-0.27684,9.737493,4.352965,0.38052,0.088985,0.000003,0.373839,0.881687,0.006787,0.001395,-0.000008,-2.414041,10.787,2519,1.109752,0.004481,4.413015,-5.427987,0.092462,1.381651,5.954935,0.077737,0.000188,9.834666,-1.497524,lonely
0.082385,5.997916,-6.796661,32.64491,-2.832095,-29.44254,-5.902245,1124,-5.936814,5.773746,-5.008937,0.586812,0.080603,-0.000008,0.505204,0.221786,0.016644,0.002297,-0.000001,-0.246492,4.912986,53,1.645007,-0.004304,4.867085,-4.816068,-0.007838,1.632478,4.578789,0.108046,0.000231,24.15787,0.217109,lonely
0.087548,-1.080938,-8.174158,15.60001,-15.28331,-23.31838,-6.889116,1622,-4.420445,4.863116,-2.324703,0.330309,0.10265,-0.000005,0.579736,-0.204082,0.015238,0.002479,-0.000004,-0.629064,6.523757,1233,1.00583,-0.002296,3.93097,-4.238938,-0.017082,0.806758,4.460134,0.05245,0.000054,11.52303,-0.039613,lonely
0.09715,0.391987,-9.719025,25.7629,-3.828666,-17.0895,-1.017555,1809,-4.980477,4.441968,-7.395942,0.490018,0.107069,-0.00001,0.473966,0.203622,0.015124,0.002651,0.000002,-0.817162,4.287621,2852,1.433174,0.004615,3.971301,-3.632101,0.226585,1.097757,3.82737,0.089776,0.00015,14.89933,-0.153356,lonely
0.094789,8.610455,-3.134843,38.8583,-1.638972,-20.26299,-0.241167,1533,1.482061,6.237545,-5.45149,0.217181,0.026824,0.000005,0.599161,-0.399489,0.014978,0.002042,-0.000009,-1.405817,4.781822,217,1.174035,-0.002609,3.502504,-4.729291,-0.064922,1.036713,3.857875,0.032002,0.000023,13.7063,-0.519178,lonely
0.024668,12.28061,1.559162,16.3737,-12.68829,-26.21909,-9.006432,2919,-5.614814,5.431797,-6.356479,0.217181,0.049515,-0.000003,0.556049,0.165301,0.00424,0.000493,-0.000006,-0.920205,3.550197,2533,1.044858,0.003177,3.973608,-3.647514,0.257207,1.145105,5.286615,0.029704,0.000011,17.37697,-0.03443,lonely
0.055588,6.15188,-5.617869,18.83479,-3.391254,-16.19392,-2.567227,2640,0.224403,4.58216,-2.051571,0.269813,0.048414,-0.000001,0.370376,1.18654,0.008851,0.001758,-0.000001,-1.169897,4.408388,104,1.097583,0.003665,4.466238,-4.205926,0.26582,1.028389,3.546233,0.049002,0.000052,10.26498,-0.639007,lonely
0.090084,0.435308,-7.475313,21.87073,-7.217828,-18.11943,-6.096753,2776,-0.258355,4.606816,0.325461,0.274652,0.077719,0.000001,0.489688,-0.127492,0.013082,0.002412,0,-0.206559,3.487734,2962,1.317159,-0.002425,3.543102,-5.301001,0.082243,1.52789,3.820591,0.050333,0.000048,10.01978,0.03959,lonely
