@attribute mfcc_sma_de[1]_linregc2 numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[9]_skewness numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {lonely,notlonely}

@data

-0.000001,2.113093,4.264884,-2.353541,-0.453532,19.79774,29.88907,14.6424,3.977768,-25.73898,-5.514153,-3.772218,0.001139,-5.473529,-1.41344,-20.90345,-3.068265,-1.642959,-3.203664,11.9235,0.363581,0.356322,0.457867,0.492193,0.462883,0.012972,0.001204,0.000002,-0.004848,-0.645883,5.328414,4.574382,0.730762,0.238607,3.540392,0.00003,26.13081,lonely
-0.000003,1.281512,6.707033,-4.534038,-4.245117,26.22917,40.3077,38.72229,5.392408,-26.35313,-6.441629,-5.549395,-0.000549,-4.729195,-0.765643,-24.94909,-6.242222,-4.320184,-3.664172,5.026786,0.38899,0.3781,0.592296,0.548126,-0.518517,0.011961,0.00159,0,0.0006,-0.765863,4.516056,4.413233,1.180429,0.014773,4.089523,0.000036,15.42983,lonely
0.000002,0.418209,0.812734,-9.823784,-9.2463,5.29463,20.67328,11.5516,3.344532,-15.03939,-1.43034,0.249347,-0.000406,0.855503,3.510384,-18.52893,-2.351163,-1.86355,-2.325357,15.15395,0.329099,0.318209,0.364411,0.365835,1.004201,0.009639,0.001673,-0.000001,0.003175,-1.012057,3.404731,3.010097,0.988054,0.120413,3.339259,0.000087,5.491252,lonely
0,1.271623,20.74873,5.800787,2.913881,18.30477,28.03647,27.08847,4.69292,-21.64725,-8.495885,2.849967,0.000325,2.364494,-4.781,-21.53181,-3.992376,-8.983627,-9.460018,7.362807,0.105263,0.097399,0.438108,0.429865,0.256478,0.001043,0.000177,0.000009,-0.009025,-1.604956,3.600602,3.516005,0.952567,0.012694,3.167652,0.000006,7.617226,lonely
-0.000004,0.991762,9.322739,1.777345,2.07406,13.85921,29.13421,25.25778,5.499475,-26.60354,-6.167798,-2.200301,0.002081,-5.30871,-8.126715,-27.89567,-3.445972,-3.689519,-4.395944,24.17073,0.210526,0.196612,0.695034,0.676093,-0.898733,0.00875,0.001223,0.000003,-0.004954,-0.78916,4.623676,4.097902,1.045562,0.060775,4.056107,0.000017,18.233,lonely
0.000002,1.422579,6.91733,-1.260655,-0.97914,18.64299,32.14785,31.44449,4.551704,-25.19122,-3.615331,-5.525482,0.000326,-6.012515,-1.533341,-22.79041,-5.081712,-3.723011,-3.227973,12.06906,0.271022,0.262553,0.43379,0.462179,0.169185,0.007591,0.001161,0.000003,-0.004965,-0.688048,3.93409,3.679339,0.991972,0.08227,3.290977,0.000034,28.71783,lonely
-0.000001,1.232427,6.683428,-5.96367,-10.56763,11.42357,32.39129,41.13321,7.535231,-31.76232,-20.13975,-6.467523,0.007691,-17.95437,-6.496326,-28.89152,-5.63317,-3.235995,-2.205995,12.8577,0.514217,0.504537,0.437838,0.425262,0.690244,0.001628,0.000188,0.000006,-0.009337,0.064079,5.320757,4.45713,1.113397,-0.045535,3.789578,0.00012,29.20864,lonely
0.000001,2.10614,1.321921,-7.35732,-6.717189,17.22987,25.82087,23.28355,4.914705,-18.9023,-0.488018,-4.455033,0.000851,-5.725604,1.132917,-16.13471,-0.068182,-2.479617,-2.456303,10.64906,0.38657,0.38294,0.35869,0.310022,1.017103,0.008919,0.001499,0.000001,-0.001475,-2.058866,4.814694,4.724,1.027959,0.337251,3.576058,0.000136,12.77391,lonely
0.000003,1.30719,9.571316,-5.099055,-3.775693,15.09784,30.13314,18.24052,3.873857,-19.69885,-2.027328,-2.482169,-0.000361,-1.942762,-2.573175,-12.8923,0.614093,-0.814043,-0.443634,15.16334,0.306715,0.300061,0.347759,0.353147,0.706311,0.03184,0.004288,0.000007,-0.01285,-1.638364,3.398471,4.656449,0.926559,0.13915,3.044169,0.000064,11.43846,lonely
0.000001,0.947735,-0.160242,-7.882525,-7.755269,-3.740153,17.30084,8.498775,3.150191,-12.36388,0.745057,-2.642828,0.000433,-3.28888,-8.10435,-17.22039,-3.948659,-0.865353,-2.013052,11.07796,0.180883,0.134906,0.4956,0.459233,0.052461,0.014741,0.003132,-0.000005,0.008031,-1.423156,4.569128,3.464967,1.058893,0.156088,3.404945,0.000032,4.476551,lonely
0,1.411915,9.275521,-2.557127,-3.503954,11.34182,31.29346,26.00814,5.014944,-22.46135,-3.446534,-1.541188,0.001442,-3.695045,-2.144905,-19.8324,0.51559,-3.64825,-3.300977,15.88097,0.352087,0.346038,0.501217,0.488952,0.240378,0.016348,0.002344,0.000004,-0.00766,-0.715526,3.949249,4.570411,1.157803,0.082586,4.202635,0.000054,12.83684,lonely
0.000005,1.933262,6.871958,-4.524383,-2.098414,14.94598,28.73604,26.72222,4.706826,-17.78581,-2.649031,-1.211946,0.000759,-2.34577,0.070685,-25.76695,-1.148155,-3.861285,-2.930544,8.899411,0.543255,0.534785,0.509332,0.524118,0.213305,0.011944,0.001332,-0.000001,0.00076,-1.299895,4.598527,4.72892,0.989337,0.153091,4.654126,0.000067,36.49575,lonely
-0.000003,1.952834,4.056077,-7.170456,-8.895002,20.49729,28.32183,19.05077,6.195969,-13.07326,-0.064276,-1.206149,-0.000056,-1.122053,0.55765,-20.87305,-1.274392,1.656422,1.762718,15.43814,0.31337,0.30853,0.303254,0.272974,0.944156,0.024408,0.005698,-0.000003,0.00251,-0.635758,4.156695,3.723551,1.090234,0.136001,3.325734,0.00016,10.05778,lonely
-0.000001,1.239833,3.527992,-7.44335,-8.183222,7.901722,27.06418,22.44843,4.079196,-27.14067,-7.904809,-1.560098,0.000828,-2.796466,-4.028455,-15.68969,1.484558,-1.829182,-1.714078,16.4964,0.431942,0.422868,0.536686,0.516677,-0.081157,0.008679,0.001253,0,-0.003987,-1.395598,4.171584,3.531743,0.898901,-0.054363,3.979579,0.000071,8.557521,lonely
-0.000004,2.796309,0.649262,-9.562224,-10.08118,16.34648,32.40674,36.49921,5.216892,-35.16656,-5.784636,-4.909154,-0.000019,-4.880562,-6.273501,-21.56238,-2.675646,-4.63353,-1.254988,11.20077,0.560194,0.555959,0.391586,0.289909,0.761011,0.051034,0.007133,-0.000004,0.004104,-0.258695,4.848496,3.657874,1.870382,-0.097528,3.430412,0.000448,8.558971,lonely
0.000001,1.97494,9.441593,-4.271469,-2.721908,16.53874,34.33035,37.27936,7.677378,-21.85585,-1.899349,2.135883,0.00081,0.925788,4.53848,-19.17885,-2.211345,0.18587,1.370155,19.27222,0.470055,0.4634,0.478767,0.525981,0.216114,0.022841,0.002985,0.000001,-0.000799,-0.886147,4.627439,4.498818,1.467109,0.093192,4.541709,0.000149,21.94561,lonely
-0.000003,0.548266,-3.585077,-11.95224,-12.44828,-0.23523,19.2599,16.13628,3.923843,-16.21855,0.729002,3.421756,0.000079,3.303374,2.787043,-15.55287,0.405684,-0.614887,0.074003,18.7325,0.369631,0.333333,0.374065,0.371305,0.832937,0.017409,0.00384,0,-0.001359,-0.703295,5.044101,3.54,0.76468,0.088201,3.550999,0.000055,5.381669,lonely
0.000004,1.26635,5.341986,-9.131256,-7.511559,9.737673,32.55112,13.28303,4.569397,-16.47515,0.199299,-1.095516,-0.000593,-0.209883,-2.450998,-15.90165,-1.614888,0.130102,-1.318146,13.01841,0.397459,0.38536,0.319103,0.297387,1.140461,0.023323,0.004735,0.000002,-0.008779,-1.132697,3.649554,3.558884,1.24503,0.28067,3.190048,0.000134,7.825699,lonely
0.000004,1.482648,16.18921,-6.763606,-5.741529,23.57356,51.64018,31.74907,6.294725,-23.60475,-7.263769,-2.293726,0.000702,-3.342106,-0.911052,-25.6401,-2.307823,-1.151121,-1.684254,16.41921,0.406534,0.398669,0.407939,0.434931,0.715232,0.044704,0.005632,-0.000004,0.005682,-1.468105,5.678869,5.455279,1.544739,-0.031561,3.785384,0.000179,7.780673,lonely
