@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute std_Timbral_Width numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {energetic,notenergetic}

@data
102.7671,6.503449,1.526943,1.771507,0.899202,21.43261,341.2464,0.020411,0.697025,0.008556,0.891854,803.3931,energetic
93.04119,6.099823,1.507408,1.316748,0.904741,30.69666,159.0704,0.010967,0.193663,0.008909,0.232682,804.2494,energetic
98.61143,7.133543,1.69729,0.931265,0.878468,56.37871,287.287,0.011215,0.102551,0.02265,0.245319,1811.176,energetic
92.76739,6.140027,1.513167,1.373229,0.898306,23.97994,76.28503,0.013967,0.154818,0.009519,0.257708,776.5012,energetic
92.62443,6.115779,1.515087,1.374551,0.908322,38.54484,145.3173,0.008659,0.229958,0.010727,0.188363,827.0041,energetic
67.25811,4.364431,1.292812,1.143149,0.902043,23.50406,117.1361,0.010984,0.446784,0.00542,0.51175,305.9323,energetic
83.34773,5.47019,1.445343,1.206012,0.888368,66.92909,111.4265,0.0083,0.158018,0.018823,0.153983,742.4523,energetic
76.90855,5.230909,1.42457,0.957577,0.895443,69.33648,156.5406,0.010627,0.192555,0.014534,0.210748,486.0323,energetic
106.2832,7.217857,1.631662,1.692769,0.898838,15.99134,529.5147,0.017423,0.646896,0.007415,0.443617,927.5588,energetic
152.5245,9.174748,1.716793,2.508464,0.881776,54.16325,7941.926,0.033661,3.425955,0.018956,3.982684,1125.405,energetic
91.34583,5.941724,1.493781,1.16472,0.903929,43.70292,127.2796,0.011404,0.087382,0.014368,0.209655,854.9031,energetic
82.37929,5.180287,1.39944,0.924761,0.89905,43.52642,113.136,0.013805,0.17228,0.010991,0.343616,579.4466,energetic
92.04896,6.281073,1.576622,0.893018,0.885996,42.31462,132.5744,0.0224,0.077503,0.011563,0.578374,1205.211,energetic
90.11193,6.254735,1.563698,1.178364,0.911735,31.79943,47.15435,0.006527,0.07142,0.009432,0.176664,820.6728,energetic
73.66248,5.372675,1.491367,0.819114,0.899096,35.98299,252.1681,0.019772,0.205901,0.013999,0.780226,768.7504,energetic
88.67005,5.803545,1.475527,1.244281,0.900944,63.9214,89.97396,0.007441,0.161151,0.011243,0.350247,660.5425,energetic
89.24773,5.988419,1.507359,1.366558,0.897745,35.98466,131.1557,0.008306,0.144231,0.010952,0.256515,709.4472,energetic
76.24618,5.189254,1.415054,1.089063,0.897107,26.76499,166.9575,0.019819,0.179238,0.009931,0.343141,414.7458,energetic
62.24695,4.590745,1.38534,0.671853,0.896215,40.57313,190.7823,0.021923,0.148525,0.006899,0.436552,389.2992,energetic
67.65857,4.515067,1.326209,0.803162,0.899233,55.35361,314.5376,0.042844,0.234826,0.011051,1.828601,437.6289,energetic
83.51854,6.176132,1.584337,1.099776,0.886079,30.60083,395.5394,0.023354,0.476467,0.016809,0.698129,1158.885,energetic
94.50351,5.779297,1.446368,1.380373,0.896357,25.12664,222.0149,0.016033,0.288767,0.010887,0.56333,846.1993,energetic
79.58706,5.003584,1.358427,1.106867,0.89533,32.18106,215.7468,0.022029,0.181136,0.012883,0.686912,502.7812,energetic
71.20936,5.137099,1.437595,0.997664,0.896969,29.12942,112.6297,0.023341,0.370116,0.008593,0.486924,494.5001,energetic
94.26603,6.629521,1.592125,1.239226,0.892991,46.72142,805.0984,0.026395,0.40725,0.012148,0.272523,967.2645,energetic
77.02777,5.49451,1.474647,1.002476,0.893533,21.32817,348.1952,0.031441,0.243521,0.006111,0.844195,545.6905,energetic
98.1866,6.339528,1.538082,1.098391,0.897738,62.80763,88.47658,0.005899,0.118852,0.03413,0.163362,1139.978,energetic
80.68755,4.982453,1.368687,1.101382,0.89002,56.25025,326.3804,0.017641,0.359341,0.010337,0.825481,623.3481,energetic
82.87465,5.204191,1.391384,1.15292,0.906212,66.90185,79.49234,0.012913,0.212236,0.00764,0.223743,442.2269,energetic
75.85362,4.913577,1.386295,0.783861,0.893738,18.42734,225.5847,0.010378,0.101833,0.009879,0.245492,634.0655,energetic
87.58586,5.894352,1.502684,1.260831,0.901423,33.84635,189.5127,0.013824,0.160278,0.006951,0.265183,751.1321,energetic
93.075,5.744122,1.442679,1.345326,0.905242,85.87582,52.68217,0.006294,0.140084,0.024582,0.20646,685.4043,energetic
85.44584,6.116892,1.561552,1.114946,0.898873,40.37747,156.2621,0.012568,0.132546,0.008219,0.321183,762.6552,energetic
95.19699,6.240503,1.535129,1.311702,0.897778,54.77978,103.3747,0.005388,0.138919,0.027953,0.192156,1017.656,energetic
112.5406,7.618882,1.678526,1.49653,0.900352,32.65887,220.8394,0.008655,0.308276,0.007847,0.27572,1213.14,energetic
