@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[7]_minPos numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[10]_skewness numeric
@attribute mfcc_sma_de[10]_kurtosis numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute mfcc_sma_de[12]_linregc1 numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {energetic,notenergetic}

@data

0.026228,0.000004,0.020152,2.078643,7.581402,14.92852,-4.567912,2.422336,-2.178392,-18.70356,3.309826,-2.147994,-24.97486,-2.4105,-2.191795,-21.76737,32.30859,-3.665116,12.07265,13.12662,0.00484,0.063602,0.118559,0.312234,1.136953,21.61923,6.423999,-0.40206,-0.002397,6.028558,1.034701,1.333911,1459,-0.000978,0.174097,4.843994,0.001141,0,7.656411,energetic
0.058248,-0.000008,0.070385,0.246492,2.572217,0.481581,-13.12746,-14.76826,-0.902278,-5.9457,2.870235,3.866932,-13.49347,3.019927,4.992684,-25.50442,22.11842,1.099706,19.1777,16.3121,0.005445,0.092073,0.13437,0.303141,1.416946,14.71797,5.340696,-0.768969,-0.001896,4.268442,1.445151,1.465061,2057,0.004776,-0.066483,4.152982,-0.000554,-0.000004,4.871568,energetic
0.035201,0.000003,0.030262,0.449621,2.690392,-3.706023,-14.77687,-15.11227,-5.491439,-25.4249,2.523555,-2.461806,-16.66068,-1.785868,-3.847904,-18.67082,20.80709,2.836957,26.33208,22.72816,0.010284,0.148336,0.134628,0.297173,1.588547,18.49292,5.718816,-0.237005,0.000224,4.615898,1.321856,1.346695,2686,0.005028,-0.045623,3.191732,0.000157,0.000007,5.911903,energetic
0.008697,0.000002,0.00508,1.666251,5.681322,9.629811,-5.263729,-5.116683,2.757214,-26.37392,2.98419,1.065589,-27.98516,0.013413,1.037128,-16.75228,32.41435,0.626654,19.80258,30.1481,0.00363,0.046655,0.14216,0.385659,0.857807,5.841595,7.41674,-0.760656,0.00104,4.042599,1.693279,1.732419,2958,0.004501,-0.018913,3.44237,-0.001015,0.000001,10.51197,energetic
0.032412,0.000001,0.031445,0.839476,2.818421,-0.055734,-13.81163,-12.55785,-0.6196,-16.05257,2.987195,1.771005,-13.3826,2.401018,-0.468208,-8.742136,10.01196,0.767225,7.981328,8.277722,0.005445,0.100652,0.129543,0.409013,0.64868,2.379013,3.698954,0.010646,0.001832,3.580658,1.682775,1.224386,5,-0.008533,-0.243706,3.043075,0.000015,-0.000003,5.020058,energetic
0.033499,0.000009,0.020624,0.527611,2.673975,8.030995,-6.643298,-5.559745,-4.208451,-23.42919,3.825285,-2.499,-19.49726,-1.226626,-2.592141,-21.47578,24.47038,-0.278712,20.97612,32.07673,0.00726,0.080315,0.139797,0.498268,0.098583,1.47436,7.73777,-0.50033,-0.005593,5.116382,1.197982,1.464553,1325,0.007093,0.007978,3.512373,-0.002697,-0.000001,14.03832,energetic
0.011251,0.000002,0.008894,1.157404,4.578672,8.880549,-2.273781,-0.216224,0.907675,-18.3166,3.450933,-0.608538,-16.38411,-2.502462,-2.510745,-18.23144,15.83428,-5.390402,10.34894,15.41029,0.011494,0.044677,0.149059,0.454113,0.497298,2.215291,11.16889,-1.373769,-0.001811,4.517774,0.696682,0.878524,2461,0.00494,0.211005,3.664365,-0.002304,0,5.040093,energetic
0.029082,-0.000001,0.030009,2.169695,9.729561,12.61321,-5.727335,-5.387691,5.096101,-15.05199,2.913553,2.863924,-35.08329,-7.854295,2.844417,-23.02706,31.69699,-4.197078,16.22342,25.19337,0.004235,0.060529,0.140668,0.411659,0.597515,3.205994,8.363413,-0.596648,0.001661,4.253269,2.013972,2.102722,1973,-0.002556,0.036761,3.042633,0.004257,-0.000006,17.71038,energetic
0.034288,0.000002,0.031152,0.891664,2.910142,1.595033,-8.408419,-8.882887,-2.981217,-11.08182,3.071652,1.691188,-22.14097,-1.917058,1.973186,-16.17588,25.6417,-1.171331,19.33007,23.19042,0.009074,0.083757,0.120109,0.426378,0.787756,3.29146,6.739951,-1.444346,0.001701,4.358927,1.123782,1.098132,771,-0.005242,-0.083837,3.92996,-0.002369,-0.000002,5.611467,energetic
0.045767,0,0.045077,0.532283,4.969916,-11.05879,-14.98998,-14.96234,-5.92519,-10.51527,2.882138,1.329244,-7.656538,2.45318,1.970403,-12.24233,10.05423,-3.900714,8.276046,11.42628,0.054446,0.156254,0.138357,0.218594,1.808522,0,10.29041,-0.277126,-0.001377,3.664274,0.753653,0.871794,1373,0.002777,0.141418,3.057602,-0.001235,0.000005,3.964943,energetic
