@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute F0_sma_de_max numeric
@attribute F0_sma_de_amean numeric
@attribute F0_sma_de_linregc1 numeric
@attribute output {energetic,notenergetic}

@data

0.004026,0.045056,0,0.045798,0.891128,3.717458,-12.66031,-12.79207,3.538464,-6.850102,-19.96309,3.899645,0.164235,-0.303141,-17.01174,-0.930366,-1.095817,29.40867,-15.12763,20.82517,4.453465,0.129307,0.145482,0.333675,1.302347,3.932333,0.000045,1.260666,7.355465,0.941802,0.983004,-0.002903,0.00199,0.010888,8.879603,112.5843,0,-0.00005,energetic
0.003129,0.038788,0.000007,0.027879,0.30759,3.959194,-10.01724,-9.31117,3.091885,-2.489818,-24.46158,4.504835,-0.69019,-6.436077,-16.70568,2.058975,1.217279,24.07993,-15.17443,10.9041,3.717987,0.087821,0.138925,0.331072,1.278706,3.858102,0.000036,0.983907,9.921669,0.916029,1.05493,0.009894,-0.001406,0.010362,14.08844,125.0496,0,-0.000049,energetic
0.01636,0.049444,-0.000002,0.052922,0.67693,2.884065,-11.02654,-11.50669,2.30192,-4.775448,-8.881522,7.968643,-2.781712,-1.046729,-10.76915,3.215615,-0.025975,12.16646,-17.4102,13.50591,3.596447,0.112782,0.142412,0.334757,1.078428,2.967406,0.000041,0.46762,6.512681,0.804938,0.856705,0.004813,-0.002251,0.008663,4.502644,114.2209,0,-0.000063,energetic
0.000596,0.073301,0.000005,0.065256,-0.402202,2.911269,-15.94738,-17.33549,2.622093,-5.187166,-11.88321,3.018763,-0.632193,-4.256137,-16.98193,0.677136,2.605996,17.298,-15.42905,13.68042,4.257968,0.152172,0.134879,0.365787,0.72113,2.778682,-0.000037,0.782779,7.514555,1.056207,1.285049,0.001761,-0.000526,0.008632,7.11067,112.6258,0,-0.000058,energetic
0.013122,0.070067,0.000004,0.06428,0.21672,3.530714,-12.6941,-12.60555,2.631099,-7.843205,-10.31477,3.444329,1.28846,0.339057,-10.36362,4.174316,-0.488355,22.34774,-18.23115,11.91938,4.32204,0.137393,0.144868,0.335008,0.907174,3.531803,0.000006,0.867512,5.027129,0.926164,0.98121,0.000101,0.002693,0.010025,6.19466,122.5854,0,-0.000025,energetic
0.017041,0.039436,-0.000001,0.040511,0.427173,2.755198,-8.801954,-9.015392,2.599953,-5.163249,-9.837016,3.430031,3.81789,5.814984,-8.698846,4.34218,2.25984,10.46529,-10.80616,12.13438,3.381744,0.060562,0.146245,0.256839,1.721335,8.468872,0.000001,0.822797,4.364008,0.930372,0.83421,-0.001593,0.001059,0.006073,4.874416,90.88021,0,-0.000002,energetic
0.000323,0.078306,0.000006,0.069595,0.718333,10.25281,-13.19674,-13.98574,2.015232,0.421409,-25.05942,3.926274,3.576649,3.727107,-11.09307,3.047478,1.838573,15.13018,-14.13777,14.58756,4.391436,0.131997,0.141312,0.238341,2.020998,8.864835,0.000027,0.784746,10.42877,0.823212,0.901662,0.001482,-0.001293,0.010223,7.90909,103.1111,0,-0.000002,energetic
0.019153,0.069389,0.000011,0.053285,0.362378,2.989861,-12.4066,-9.580165,2.509683,-2.844767,-11.54657,3.028913,2.600336,2.146619,-10.23038,2.856382,1.295619,16.43665,-10.49234,11.37218,4.612564,0.112716,0.134613,0.285547,1.060743,4.254766,-0.000072,0.663366,6.22714,0.909106,0.940468,-0.002291,0.003534,0.009421,4.026713,110.8931,0,-0.000007,energetic
0.003851,0.018557,0.00001,0.004066,1.415253,4.302475,-4.095891,5.432595,8.493876,-8.324956,-23.2344,2.546899,-4.372016,-11.92682,-25.33051,-2.023521,-4.726024,16.7592,-20.17149,10.83726,4.051193,0.082722,0.125304,0.538464,-0.364875,1.540778,0.000008,1.430056,9.239063,0.801708,0.959754,-0.003981,0.001341,0.008283,9.319965,123.1611,-0.049174,-0.000148,energetic
0.03209,0.056586,-0.000002,0.059749,0.356229,2.916357,-17.06938,-17.29637,1.319596,-3.028265,-6.886163,3.094542,0.26254,0.188337,-8.243589,4.638401,-0.393018,16.06596,-9.288132,12.54591,3.590656,0.191796,0.143191,0.252912,1.367767,4.699887,0.000014,0.557165,3.545466,1.250157,1.288284,0.010546,0.003252,0.012857,3.936812,89.79319,0,-0.000001,energetic
