@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_LowMidBPMRatio numeric
@attribute BeatHisto_MeanACR numeric
@attribute output {sleepy,notsleepy}

@data

0.033583,0.025572,-58.195855,7.017787,1.704141,1.185972,0.387671,0.000116,0.490852,0.45862,0.097191,0.458063,0.458722,0.393764,0.400147,0.025466,0.017939,0.213422,0.352488,0.335776,0.514027,0.134253,5.08319,0.128897,0.05025,0.052255,0.159881,11.670082,0.643541,0.484894,sleepy
0.055807,0.033846,-50.031337,5.618071,1.861889,1.242536,0.457401,0.000293,0.551205,0.353436,0.129592,0.603847,0.501293,0.407605,0.42561,0.026483,0.015042,0.240291,0.397078,0.349526,0.589425,0.116955,3.751867,0.210092,0.055035,0.075706,0.150062,66.958679,0.665158,0.566986,sleepy
0.057366,0.037114,-51.657412,5.346864,1.30045,0.734344,0.523367,0.000192,0.58692,0.411945,0.133473,0.593619,0.524863,0.439321,0.462208,0.044162,0.022408,0.19413,0.242026,0.310296,0.399464,0.086788,3.742579,0.098763,0.03284,0.029349,0.154755,23.612623,0.798544,0.56904,sleepy
0.027164,0.019131,-58.924961,6.582102,1.281991,0.591934,0.349667,0.00014,0.575109,0.501234,0.08401,0.486315,0.376441,0.450817,0.457937,0.030857,0.014871,0.196263,0.392682,0.297899,0.605256,0.170465,4.528144,0.14152,0.048062,0.045753,0.160489,10.938208,0.518265,0.576902,sleepy
0.040123,0.024853,-47.219347,6.305322,0.95524,0.474715,0.132675,0.000797,0.691353,0.48315,0.133126,0.444992,0.385527,0.428626,0.369465,0.02368,0.010831,0.18522,0.224412,0.246348,0.406531,0.086029,3.676691,0.100048,0.040895,0.037258,0.152689,33.265823,0.802575,0.552656,sleepy
0.027358,0.019768,-59.124602,7.92461,0.771195,0.224381,0.033553,0.000052,0.548657,0.515518,0.104616,0.542317,0.389793,0.35131,0.40238,0.021502,0.012448,0.169707,0.389607,0.371346,0.674807,0.176703,4.521207,0.178117,0.04453,0.037642,0.155682,6.243497,0.788462,0.59857,sleepy
0.0368,0.028665,-59.108407,7.703262,1.60561,0.398556,0.139431,0.000068,0.452457,0.430971,0.111495,0.524357,0.472261,0.427943,0.431745,0.026693,0.016723,0.204398,0.30985,0.386332,0.493699,0.102783,4.432509,0.135698,0.042233,0.049806,0.152014,9.629969,0.753138,0.620136,sleepy
0.047625,0.034592,-49.520222,7.891571,2.744092,1.078904,0.27668,0.000339,0.663739,0.355426,0.121515,0.384174,0.400624,0.401029,0.354792,0.015141,0.013448,0.192192,0.294548,0.313349,0.398764,0.146515,3.868961,0.123006,0.041904,0.05042,0.158696,23.291831,0.694656,0.586738,sleepy
0.073955,0.043101,-48.874375,4.233385,1.770299,0.477668,-0.012376,0.000107,0.636733,0.459928,0.142986,0.410537,0.407135,0.423572,0.491809,0.02359,0.011744,0.180777,0.250261,0.277112,0.434951,0.098822,3.871181,0.101544,0.032339,0.038195,0.155711,18.000568,0.5,0.571089,sleepy
0.05106,0.029026,-56.144089,4.412462,2.030317,0.889619,-0.075759,0.000055,0.605317,0.335044,0.097576,0.482373,0.427482,0.394698,0.384257,0.020047,0.016662,0.194198,0.315335,0.31237,0.714781,0.213148,4.230922,0.124188,0.052968,0.054929,0.160864,19.175275,0.990798,0.535295,sleepy
