@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute mfcc_sma_de[12]_stddev numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_skewness numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_maxPos numeric
@attribute output {sleepy,notsleepy}

@data

0.03504,0.037922,-10.26484,-10.9508,0.286449,0.258173,2.574003,1.048921,0.092857,6.868952,0.010866,0.000003,6.693576,0.000001,0.320757,3.927925,3.26581,4.184098,0.935643,0.183972,3.337158,-2.908715,2227,3.217389,3.489143,2187,0.754512,0.868635,-0.00034,0.000085,0.0092,-1.098002,0.07913,0.000372,1026,sleepy
0.017403,0.016042,-9.35095,-9.491166,5.572158,7.82316,3.054098,-0.914042,0.075017,15.38687,0.016016,0.000005,14.92407,-0.000007,0.358672,5.279963,6.060931,3.574937,0.841152,0.310167,4.363677,-3.202782,1823,3.493644,2.980687,1680,0.761855,0.872848,0.000036,0.00017,0.013026,-0.138828,0.121774,0.00041,2624,sleepy
0.016276,0.012174,-9.277068,-5.820325,-2.064258,-2.067326,3.2138,0.397732,0.090614,9.87484,0.012493,0.000003,17.08996,-0.000002,0.330353,3.912049,3.518528,3.264419,0.80139,-0.035779,3.959658,-4.538615,1261,3.938672,3.249527,1250,0.664507,0.815173,0.000033,0.000073,0.008536,0.899425,0.125453,0.000571,832,sleepy
0.014974,0.01028,0.955989,2.10655,-6.850577,-5.1617,2.644862,-4.7406,0.05037,5.432616,0.007274,0.000002,20.37536,0.000002,0.455275,4.53689,4.196797,4.763063,1.0517,-0.105633,4.463776,-3.018061,817,3.927807,4.15719,979,0.670623,0.818924,0.000029,0.000017,0.004169,-0.177036,0.125057,0.00073,2003,sleepy
0.003612,0.003626,-0.183482,-0.654608,8.171105,9.708262,4.191429,-2.060065,0.023522,15.37109,0.013391,0.000001,49.29497,-0.000005,0.610965,7.935418,4.780279,4.779419,1.140683,-0.198358,4.921342,-3.41437,2325,4.185329,2.946051,2693,0.748771,0.865329,-0.000047,0.000033,0.005772,1.558381,0.138674,0.00066,1705,sleepy
0.014407,0.015022,-4.307635,-4.67594,-2.473686,-3.083026,3.258904,-3.861345,0.056825,47.64222,0.025949,0.000007,33.87527,0,0.484605,5.777019,4.24317,4.17291,0.929965,0.203492,3.940303,-3.639312,1418,3.549418,4.279225,1445,0.649179,0.805724,-0.000003,0.000069,0.008333,-0.176455,0.107892,0.000595,464,sleepy
0.01177,0.014378,-0.23175,-2.7391,-1.436276,-1.119102,3.510094,-4.072558,0.04108,9.32832,0.014825,0.000001,41.56955,-0.000001,0.378996,5.242077,4.457523,3.564645,0.869995,0.243641,4.276931,-4.678682,2120,4.908091,4.166173,2648,0.787849,0.887632,0.00001,0.00002,0.004502,0.370613,0.148589,0.000578,1248,sleepy
0.010263,0.008812,-2.853263,-1.299974,3.537974,4.539646,2.852477,0.679538,0.026128,7.911772,0.014377,0.000007,10.88169,-0.000004,0.833651,3.606246,3.456032,4.749479,1.323478,0.167504,3.411835,-4.379235,772,3.668168,3.712268,1060,1.181576,1.087005,-0.000023,0.000027,0.005165,-0.309763,0.140473,0.001272,469,sleepy
0.013588,0.013253,-3.004698,-2.926067,0.869242,0.973891,2.8448,2.448501,0.034305,7.986772,0.013179,0.000004,12.38366,0.000008,0.823551,5.306283,4.928164,4.13507,1.044198,0.158129,3.335457,-4.391689,620,3.401381,4.608294,1191,1.312751,1.145759,0.000029,0.000035,0.005938,0.457534,0.178912,0.000862,1325,sleepy
0.01166,0.006598,5.346399,7.453408,-6.426241,-0.873381,2.987849,-3.372844,0.049541,1.864516,0.002359,0,6.024241,-0.000001,0.215986,2.941953,3.400369,2.853791,0.821109,0.063004,2.889673,-3.007215,625,3.157339,2.736554,1839,0.604278,0.777354,0.000013,0.000004,0.001872,0.115063,0.125148,0.000608,1528,sleepy
