@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {sleepy,notsleepy}

@data
5.364002,1.472095,0.524865,0.787024,42.70353,5.029482,0.000264,2206.586,0.783191,0.005191,842.9282,289864.6,notsleepy
5.364002,1.472095,0.524865,0.787024,42.70353,5.029482,0.000264,2206.586,0.783191,0.005191,842.9282,289864.6,notsleepy
4.024121,1.167944,0.81673,1.36981,102.7687,7.477823,0.000968,4490.405,2.918893,0.004503,347.982,10173.53,notsleepy
3.759377,1.206695,0.677861,0.524207,79.75022,6.262537,0.000753,6387.762,0.94771,0.006096,411.5353,17845.65,notsleepy
3.347186,1.141491,0.65412,0.442562,148.7198,6.77677,0.000304,9590.944,1.117186,0.003277,404.5552,57251.79,notsleepy
6.165501,1.566753,0.541677,1.019839,70.85562,4.938409,0.000074,4154.553,0.195466,0.005926,732.5132,80617.39,notsleepy
3.371314,1.117917,0.732322,0.463141,170.6964,7.304286,0.000795,23654.32,3.506694,0.002356,419.0627,208592.8,notsleepy
3.371314,1.117917,0.732322,0.463141,170.6964,7.304286,0.000795,23654.32,3.506694,0.002356,419.0627,208592.8,notsleepy
3.371314,1.117917,0.732322,0.463141,170.6964,7.304286,0.000795,23654.32,3.506694,0.002356,419.0627,208592.8,notsleepy
5.627212,1.467258,0.611456,1.037122,48.97509,5.407805,0.000166,2434.871,0.487598,0.003051,701.7576,322991.8,notsleepy
5.613026,1.530552,0.634031,0.970271,22.26867,4.65158,0.000189,860.4766,0.368771,0.005771,848.7159,295425.4,notsleepy
3.939501,1.19045,0.525862,0.696922,84.52229,7.026138,0.000233,3388.85,0.857318,0.001606,316.2226,29129.09,notsleepy
3.939501,1.19045,0.525862,0.696922,84.52229,7.026138,0.000233,3388.85,0.857318,0.001606,316.2226,29129.09,notsleepy
4.960308,1.393443,0.64882,0.900108,34.56361,5.513985,0.000246,1527.758,0.744573,0.003462,706.9303,187035.1,notsleepy
3.520835,1.148567,0.602024,0.510025,101.0439,6.840905,0.000342,3377.186,1.467545,0.002952,415.737,60490.74,notsleepy
3.520835,1.148567,0.602024,0.510025,101.0439,6.840905,0.000342,3377.186,1.467545,0.002952,415.737,60490.74,notsleepy
3.520835,1.148567,0.602024,0.510025,101.0439,6.840905,0.000342,3377.186,1.467545,0.002952,415.737,60490.74,notsleepy
4.736278,1.334113,0.669986,1.032055,39.45985,5.954416,0.000162,2284.232,1.426797,0.003847,642.0856,134177.3,notsleepy
4.736278,1.334113,0.669986,1.032055,39.45985,5.954416,0.000162,2284.232,1.426797,0.003847,642.0856,134177.3,notsleepy
4.736278,1.334113,0.669986,1.032055,39.45985,5.954416,0.000162,2284.232,1.426797,0.003847,642.0856,134177.3,notsleepy
