@attribute mfcc_sma_de[12]_range numeric
@attribute mfcc_sma_de[12]_minPos numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute mfcc_sma_de[12]_stddev numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_stddev numeric
@attribute output {sleepy,notsleepy}

@data

0.01166,0.006598,0.005157,0.509552,5.346399,0.264689,1911,-0.873381,299,2928,315,0.031465,-5.335457,-5.564319,-3.372844,0.049541,0.033077,1530,0.002359,0,5.217818,-0.000001,-0.036561,2.941953,-0.062097,0.584314,2.853791,0.063004,2.889673,2.999449,625,3.157339,5.431389,1839,0.604278,0.777354,0.000013,0.000004,0.125148,0.000608,0.02465,sleepy
0.01166,0.006598,0.005157,0.509552,5.346399,0.264689,1911,-0.873381,299,2928,315,0.031465,-5.335457,-5.564319,-3.372844,0.049541,0.033077,1530,0.002359,0,5.217818,-0.000001,-0.036561,2.941953,-0.062097,0.584314,2.853791,0.063004,2.889673,2.999449,625,3.157339,5.431389,1839,0.604278,0.777354,0.000013,0.000004,0.125148,0.000608,0.02465,sleepy
0.014126,0.011512,0.007192,1.850385,5.777703,-0.748236,172,1.352046,143,2422,2955,-0.396732,-5.767657,-0.321597,2.857053,0.032884,0.030909,2871,0.011703,0.000007,7.159316,-0.000006,0.613223,6.558116,0.686073,0.755481,4.763528,0.850399,6.37741,4.823144,271,5.831439,8.233002,1808,0.730666,0.854793,-0.000037,0.000007,0.094948,0.000731,0.027035,sleepy
0.008302,0.006901,0.005423,2.886499,-1.681701,-1.437244,203,-1.884844,215,1385,1814,0.814028,-0.600869,-4.65519,-3.623368,0.037546,0.035884,1752,0.01377,0.000001,6.49028,-0.000003,-0.099725,4.308883,-0.110042,0.664515,4.88603,0.000653,3.345146,3.520127,1314,4.315751,7.045824,119,0.697604,0.835227,0.000029,0.000025,0.083361,0.000389,0.019715,sleepy
0.016083,0.014717,0.010684,2.162887,7.208194,-1.027809,848,-1.054506,2454,1013,358,0.043573,5.919268,-3.896066,0.294462,0.027901,0.02409,19,0.011193,0.000004,10.70064,-0.000003,-0.022612,5.057015,-0.370235,0.693551,5.860461,0.182476,5.540975,3.987841,1113,4.519556,7.581875,1327,0.646703,0.80418,0.000004,0.000008,0.164249,0.000617,0.024844,sleepy
0.013541,0.011887,0.007615,1.602922,1.86374,-0.511417,154,-10.41462,1071,1896,2524,0.223671,-10.77593,-4.96207,-5.24775,0.055422,0.053282,1014,0.011465,-0.000002,7.621744,-0.000002,-0.080827,3.630501,0.009321,0.751866,4.002147,-0.020022,3.596868,4.057945,1722,4.738805,8.769068,2587,0.80362,0.896449,0.000008,0.000034,0.137245,0.000693,0.026323,sleepy
0.018198,0.014071,0.010309,1.392987,-7.444642,-0.26098,2784,-6.017409,1598,831,1896,0.346196,-13.12257,-12.15684,-6.215981,0.05792,0.043575,2697,0.015041,0.000001,7.652707,0.000001,0.178757,4.935994,0.032327,0.681107,5.412259,-0.023504,4.835554,4.215049,125,5.677809,8.739574,1367,0.742033,0.861503,-0.00001,0.000032,0.121214,0.000358,0.018917,sleepy
0.021688,0.021414,0.010477,4.134811,-3.322296,-0.884971,2612,0.346416,2414,1788,1759,-0.159098,1.675358,1.506764,-0.792942,0.039555,0.036837,1072,0.01809,0.000004,5.285662,0.000002,-0.000039,3.079791,-0.096256,0.876741,3.214113,-0.05018,3.081063,3.411519,943,3.006905,7.485965,357,0.807255,0.898474,0.000034,0.000035,0.088647,0.000462,0.021489,sleepy
0.017228,0.017854,0.010864,0.699213,-1.225308,-0.179604,1073,-9.838346,2159,2801,147,0.086877,-0.91226,-8.181655,-4.632519,0.066959,0.07436,2981,0.007621,0.000003,7.861088,-0.000005,0.091364,6.041569,0.341574,0.842266,4.659261,0.13831,4.511022,4.461349,351,3.727964,8.843567,1451,0.755421,0.869166,0.000048,0.000031,0.177039,0.000944,0.030725,sleepy
0.019506,0.017203,0.014368,4.728629,-2.513368,-1.065854,685,0.100993,2767,2642,1285,-0.215709,0.86132,-4.096134,0.517904,0.038801,0.039138,2770,0.024482,0.000001,4.654101,0,-0.295609,4.235085,0.116609,1.067492,4.069167,0.022356,3.551904,4.750207,2339,3.969506,10.02681,2987,1.10768,1.052522,0.000018,0.000061,0.109099,0.000911,0.030183,sleepy
0.00524,0.002663,0.004136,3.612197,1.195223,-0.452597,907,-6.115634,1049,1337,2539,0.190587,1.815247,-6.158596,3.757487,0.045198,0.038299,641,0.008119,0.000004,7.901086,-0.000003,-0.771747,7.075503,-0.045743,0.744045,3.896262,-0.065015,5.519225,3.535567,2036,6.299598,6.496233,40,0.634274,0.796423,-0.000005,0.000041,0.133141,0.000534,0.023105,sleepy
0.004791,0.003268,0.004852,1.935878,1.824503,-1.180263,2494,0.375384,1757,583,2538,-0.080354,-4.088086,-5.0085,-5.645274,0.033828,0.027372,439,0.0041,0,9.003811,0.000009,-0.185547,4.354432,0.010239,0.879715,4.449698,-0.043737,4.754684,4.4499,949,4.64076,8.610359,1426,0.853731,0.923978,0.000032,0.000013,0.156159,0.000859,0.029303,sleepy
0.014953,0.011559,0.010144,1.789095,-5.00271,-0.62541,1199,-1.931181,2148,2355,1843,-0.371786,-2.152909,-2.656173,-4.322478,0.054483,0.054577,1698,0.019776,0.000004,6.050211,-0.000003,-0.448501,6.030873,0.119877,1.158127,4.709704,0.116655,4.665382,4.895862,1877,3.737163,8.845501,1873,1.058156,1.028668,0.000059,0.000054,0.14685,0.000654,0.025569,sleepy
0.014974,0.01028,0.012296,1.937076,0.955989,-0.271782,1983,-5.1617,107,1546,445,-0.149094,-4.511049,-6.872389,-4.7406,0.05037,0.035926,1242,0.007274,-0.000001,5.77953,0.000002,-0.137661,4.53689,0.117268,0.706528,4.763063,-0.105633,4.463776,4.017298,817,3.927807,8.414935,979,0.670623,0.818924,0.000029,0.000017,0.125057,0.00073,0.027025,sleepy
0.00877,0.008641,0.008292,2.295855,-3.463773,-0.989744,2094,1.148045,736,146,1447,-0.301185,6.412531,5.938256,-4.202303,0.047276,0.039684,1195,0.014387,0,8.364415,0,0.328058,4.654918,0.409206,0.759109,4.041346,-0.062972,3.350395,6.198847,2019,5.328321,7.839232,2102,0.691474,0.831554,0.000028,0.000038,0.113183,0.000696,0.026379,sleepy
0.018843,0.026862,0.010416,1.866919,-9.690033,0.563639,2612,0.711871,298,2158,1263,-0.853848,8.251051,4.633216,9.677763,0.043072,0.038626,594,0.022104,0,8.597863,0.000002,0.363684,4.407879,0.121287,0.839167,4.755034,-0.218261,4.340129,5.624059,1057,4.446075,12.25801,2466,1.080438,1.039442,0.000025,0.000051,0.132665,0.000711,0.026672,sleepy
0.018843,0.026862,0.010416,1.866919,-9.690033,0.563639,2612,0.711871,298,2158,1263,-0.853848,8.251051,4.633216,9.677763,0.043072,0.038626,594,0.022104,0,8.597863,0.000002,0.363684,4.407879,0.121287,0.839167,4.755034,-0.218261,4.340129,5.624059,1057,4.446075,12.25801,2466,1.080438,1.039442,0.000025,0.000051,0.132665,0.000711,0.026672,sleepy
0.011323,0.012031,0.011356,1.35138,-7.867083,0.534085,367,-3.576762,574,336,974,-0.15703,-3.61027,-3.779054,-5.215858,0.093182,0.098992,825,0.006364,0,8.184265,0.000004,-0.071428,3.982917,-0.454867,0.633432,3.036829,0.157869,3.975083,3.045936,952,3.653431,7.125838,1270,0.713161,0.84449,0.000122,0.000045,0.100948,0.000554,0.023532,sleepy
0.019322,0.023037,0.013073,2.636578,-5.170151,-0.492497,394,2.257981,2850,630,2978,0.341854,0.001038,-0.346282,1.464393,0.048916,0.060902,2776,0.015499,-0.000002,5.679139,-0.000001,0.118259,3.370868,0.226266,0.730882,3.460383,0.047919,3.242796,3.222445,258,3.499163,5.984131,434,0.691187,0.831404,0.000051,0.00005,0.088679,0.000411,0.020264,sleepy
0.009421,0.008818,0.003546,0.677812,1.52098,-0.471932,2820,-2.26957,2455,1053,1941,-0.301837,-12.02412,-11.2102,-7.79364,0.040189,0.040675,1495,0.003246,0,2.988465,-0.000004,-0.152673,3.465246,0.062378,0.873669,3.929652,-0.20151,3.898233,3.916783,220,3.265387,6.068087,623,0.748952,0.865426,0.000016,0.000007,0.093694,0.000645,0.02539,sleepy
0.020984,0.017778,0.010809,0.598446,-4.033612,-0.257961,555,1.534562,2427,557,1090,0.024235,-0.150359,-2.665226,0.352558,0.05822,0.052012,43,0.012506,-0.000002,3.93628,0.000002,0.518331,4.180742,-0.479521,1.025367,3.885256,0.11678,3.714149,3.873325,344,3.80143,8.669188,344,0.966862,0.983292,0.000028,0.000043,0.150759,0.001776,0.042143,sleepy
0.016011,0.011545,0.010262,1.689792,-5.593403,-0.695963,808,-2.625869,570,187,2873,-0.309599,2.33683,-4.585965,-6.879263,0.064113,0.068572,2701,0.013147,0.000007,6.747938,-0.000003,0.711899,4.411867,0.040498,1.309936,4.663379,0.201462,3.397719,4.763023,552,3.716604,8.005165,2750,1.014987,1.007474,-0.000018,0.000063,0.147196,0.001122,0.033497,sleepy
0.013378,0.0175,0.013842,3.353959,-7.734107,-0.39712,593,-3.429255,2830,1280,1855,-0.071231,-4.994701,-7.882602,-11.26125,0.069234,0.087686,407,0.023577,-0.000002,6.329678,0.000007,-0.267958,4.767235,0.374445,0.959287,4.750267,0.160335,3.954856,4.196771,951,4.191001,9.587612,2902,1.027224,1.013525,0.000004,0.000173,0.134921,0.000922,0.030369,sleepy
0.01281,0.011483,0.008264,0.895074,-5.515939,0.288395,566,-3.72908,2610,2489,2401,0.068981,-0.76477,-0.645068,0.818098,0.064166,0.053666,71,0.006002,0.000007,6.71724,-0.000001,0.502461,5.149979,0.322679,0.893794,5.205303,0.550149,5.253419,4.421931,1823,5.508424,8.882141,2037,0.819658,0.905357,0.000013,0.000026,0.128349,0.000814,0.028539,sleepy
0.010451,0.006833,0.005888,4.690181,2.903564,-1.221481,1910,-10.66925,2319,2872,2551,0.435148,-0.590712,-0.887563,-5.360193,0.049073,0.047328,1388,0.009976,0.000002,7.697446,0.000001,0.527166,6.809039,0.678867,0.582088,4.21562,-0.04828,4.832624,3.712194,1335,3.623394,5.65084,2919,0.457389,0.676324,0.000012,0.000012,0.081408,0.000374,0.019342,sleepy
0.01177,0.014378,0.007972,2.141291,-0.23175,-0.599175,1007,-1.119102,2515,906,2202,-0.568185,-4.503186,-0.837374,-4.072558,0.04108,0.050788,1263,0.014825,-0.000004,9.438744,-0.000001,-0.260514,5.242077,0.011563,0.713737,3.564645,0.243641,4.276931,4.35479,2120,4.908091,7.916722,2648,0.787849,0.887632,0.00001,0.00002,0.148589,0.000578,0.024045,sleepy
0.008139,0.005322,0.002592,0.094865,-0.268331,0.520225,708,-11.40368,1599,2394,2350,-0.214098,-2.003507,-0.155097,-0.427583,0.05702,0.056237,1084,0.001221,0.000002,3.070652,0.000002,0.027271,3.119865,-0.070142,0.616442,2.958424,-0.120124,3.019959,3.233857,2943,2.809888,5.507377,603,0.618161,0.786235,0.000043,0.000007,0.075778,0.000382,0.019555,sleepy
0.008139,0.005322,0.002592,0.094865,-0.268331,0.520225,708,-11.40368,1599,2394,2350,-0.214098,-2.003507,-0.155097,-0.427583,0.05702,0.056237,1084,0.001221,0.000002,3.070652,0.000002,0.027271,3.119865,-0.070142,0.616442,2.958424,-0.120124,3.019959,3.233857,2943,2.809888,5.507377,603,0.618161,0.786235,0.000043,0.000007,0.075778,0.000382,0.019555,sleepy
0.006177,0.007923,0.003006,2.991744,-3.854789,-0.47814,276,0.440405,2912,806,1259,0.352874,7.169481,8.99268,4.135372,0.033478,0.048226,362,0.006777,0,6.894114,-0.000001,-0.073051,3.948378,0.055358,0.604394,4.431185,0.251771,5.447084,4.050236,267,4.154691,7.84082,862,0.6714,0.819394,0.000013,0.000011,0.116433,0.000536,0.023155,sleepy
0.020889,0.021291,0.009633,0.877882,-4.400516,0.065313,152,-0.882144,2271,253,2414,0.144532,-0.252265,-0.163087,-0.569703,0.052143,0.05204,66,0.012284,-0.000001,4.936161,0.000003,-0.344352,4.155154,0.094187,1.205907,4.779202,-0.051104,3.493275,4.532103,2526,3.848037,7.591062,745,0.965693,0.982704,-0.000011,0.000029,0.098587,0.000478,0.021871,sleepy
0.008993,0.010423,0.007291,2.023334,-3.665466,-0.464446,1021,-3.098185,2682,2910,2967,0.504902,-3.255858,-1.032648,-5.21082,0.063198,0.084537,2410,0.009183,0,6.471718,0.000002,0.143314,4.17573,-0.07406,1.06962,4.074305,0.272126,4.527739,5.197198,556,4.222217,7.943354,2116,0.814886,0.902725,-0.000151,0.000127,0.112126,0.000734,0.02709,sleepy
