@attribute Std_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_9 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_PeriodicCentroid1 numeric

@data

0.07344,0.052957,0.111671,1.167847,0.072063,1.393325,0.674762,0.000094,1.406541,2.101225,6.278387,0.466871,0.122153,0.524113,0.740313,2.688916,0.455544,0.147,0.031003,0.104272,0.016371,0.562844,0.313321,0.273234,1.394536,0.076882,0.092882,0.022495,0.024092,4.113396,0.585934,0.078885,0.116251,0.176726,0.208516,0.203501,0.043493,0.006918,0.019157,0.030081,0.099871,0.213674,17.515351,0.503711
0.095509,0.069813,0.140801,-0.26426,0.353807,0.300128,-0.570616,0.000361,1.462704,1.863646,9.890617,0.447046,0.166409,0.525062,0.712986,2.68961,0.395635,0.093971,0.024142,0.04296,0.033893,0.730211,0.257023,0.27266,4.522891,0.105284,0.10018,0.026467,0.026434,3.436239,0.635819,0.076351,0.112519,0.111942,0.188482,0.278147,0.040386,0.011565,0.021194,0.045131,0.106461,0.212787,31.355968,0.503875
0.036549,0.026408,0.043186,1.747092,2.109544,0.999077,0.359806,0.0001,1.593879,1.862137,6.237409,0.48911,0.088101,0.565855,0.764975,2.708354,0.365678,0.175769,0.028937,0.069911,0.015634,0.52569,0.267923,0.449157,1.34962,0.097314,0.124578,0.024641,0.01919,4.208215,0.405893,0.09534,0.115411,0.201099,0.165752,0.218987,0.029998,0.008185,0.012822,0.036227,0.100881,0.215967,36.82705,0.540814
0.056951,0.043185,0.083201,-1.271691,0.585855,0.008598,-0.36454,0.00002,1.510069,1.920063,7.415933,0.428388,0.160677,0.488373,0.609983,2.704773,0.446289,0.135843,0.022303,0.036215,0.00978,0.245709,0.266847,0.373512,1.614106,0.104195,0.126352,0.022939,0.004256,4.490444,0.774271,0.098919,0.112635,0.170432,0.195494,0.203219,0.033091,0.009216,0.016288,0.033997,0.096969,0.213019,10.33913,0.5106
0.061628,0.050243,0.083314,0.312037,0.700668,0.389359,0.535304,0.000064,1.531739,1.977485,7.152798,0.34619,0.146099,0.5247,0.698276,2.710808,0.434571,0.133289,0.020195,0.069801,0.014774,0.307457,0.377917,0.452784,2.12962,0.193271,0.123216,0.026204,0.022036,3.930748,0.837458,0.135104,0.19424,0.20042,0.198988,0.321456,0.052829,0.011766,0.01861,0.045173,0.108644,0.214647,11.930819,0.533247
0.088205,0.066036,0.134572,-0.679078,0.809388,-1.04244,0.15971,0.000398,1.491143,1.928813,7.412446,0.397785,0.190287,0.596579,0.7557,2.679101,0.420622,0.144262,0.029702,0.050025,0.019659,0.395353,0.306978,0.403339,1.524081,0.124714,0.125007,0.030589,0.013287,3.967568,0.43541,0.093134,0.122808,0.170109,0.311769,0.231877,0.043101,0.01179,0.017819,0.042365,0.097458,0.214528,65.532919,0.530779
0.051889,0.039878,0.167813,0.029193,1.597733,0.416525,-0.152415,0.000093,1.483437,2.026441,6.373345,0.410848,0.129061,0.556327,0.721131,2.701371,0.486385,0.152865,0.045065,0.060694,0.01743,0.40667,0.344423,0.367842,1.174713,0.146199,0.113854,0.042478,0.020709,4.667226,0.583807,0.108336,0.128068,0.148462,0.188246,0.254859,0.038063,0.016468,0.037088,0.045167,0.103045,0.215113,39.186555,0.484067
0.035103,0.028141,0.039236,1.8045,2.431531,0.962632,0.474026,0.000277,1.504751,2.0298,7.57066,0.397401,0.091109,0.532452,0.725581,2.747508,0.448672,0.16552,0.017087,0.06254,0.01239,0.172176,0.276479,0.30408,2.392756,0.128313,0.112194,0.013294,0.0277,4.534702,0.607456,0.083214,0.128969,0.165741,0.218461,0.32554,0.041893,0.007497,0.014895,0.034153,0.095554,0.217328,24.32965,0.444745
0.055379,0.042318,0.081403,1.235921,1.231039,0.923262,0.422284,0.000272,1.556144,1.973364,6.91593,0.362886,0.117382,0.540795,0.722374,2.681944,0.448721,0.139004,0.030089,0.082049,0.022271,0.312752,0.329483,0.385294,1.172436,0.106259,0.094612,0.01894,0.034213,3.606583,0.867527,0.085565,0.091727,0.145432,0.193314,0.253598,0.049004,0.010665,0.023186,0.038859,0.104821,0.210811,25.689512,0.505268
0.050852,0.042569,0.063438,-0.075803,1.763393,0.071018,-0.000804,0.000036,1.462355,1.802533,6.309812,0.294264,0.13477,0.494302,0.666815,2.768498,0.398658,0.159319,0.019336,0.049925,0.007585,0.391825,0.267874,0.390795,1.985171,0.120434,0.107364,0.018581,0.008216,4.135188,0.714328,0.078196,0.121836,0.148731,0.198161,0.341891,0.042104,0.009328,0.014772,0.035914,0.098338,0.21276,16.073922,0.497323
