@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {calm,notcalm}

@data
93.5182,4.857494,0.880303,111.928,7.689543,0.004874,1.611993,406.0387,calm
73.54925,5.244412,0.894927,51.01553,5.488026,0.01208,1.196249,384.6033,calm
56.19776,3.469495,0.879465,63.49095,6.928069,0.001493,1.391506,249.082,calm
49.56072,3.557288,0.87496,27.14939,5.633022,0.005942,2.133864,338.266,calm
67.1531,3.692267,0.879818,80.68019,7.305895,0.006929,1.134772,306.6061,calm
61.25741,3.371314,0.853981,170.6964,7.304286,0.013489,3.506694,419.0627,calm
50.36423,3.655264,0.879635,63.91687,5.922287,0.003713,0.767898,208.9211,calm
73.40571,4.931948,0.890481,35.9064,5.498555,0.008571,1.168789,592.9365,calm
79.784,5.555161,0.900696,61.48941,5.177511,0.005721,0.289839,601.5523,calm
48.69996,2.871711,0.86011,125.3044,8.179341,0.007669,4.730718,240.0841,calm
68.31126,3.867821,0.872964,131.5488,7.050657,0.007219,0.986205,392.8195,calm
55.63099,4.149692,0.893195,102.8876,5.557161,0.005078,0.856001,286.565,calm
58.37353,4.241707,0.884982,54.6558,5.416322,0.003017,2.013377,428.2147,calm
61.43262,3.770498,0.886455,49.76922,6.764481,0.003531,1.831772,240.7529,calm
75.5924,3.889619,0.877837,124.7243,7.543893,0.008143,3.450292,445.2987,calm
75.69239,4.923649,0.893799,67.50518,5.525184,0.012678,0.737424,604.7489,calm
68.61156,4.093466,0.881081,69.87748,5.983111,0.009007,0.642256,518.1952,calm
56.9153,3.778506,0.891427,153.7661,6.180615,0.007408,1.035428,248.9566,calm
55.18809,3.123169,0.874136,69.83909,8.086623,0.002514,5.498868,253.749,calm
79.08421,4.859878,0.899529,88.03274,6.008478,0.006358,0.415266,436.4619,calm
54.38723,3.390566,0.882941,26.0264,6.913611,0.007172,0.770679,241.516,calm
71.59939,4.033675,0.867451,76.70727,6.880129,0.011503,1.546846,428.9848,calm
76.45585,4.623536,0.891927,98.1832,6.05868,0.003182,0.713503,405.3238,calm
103.9278,6.688516,0.897203,32.80141,5.638134,0.008051,1.604256,896.3665,calm
65.16256,4.269051,0.88008,84.65503,5.527645,0.004585,1.377458,690.9038,calm
69.1866,4.429964,0.894317,90.08653,6.136477,0.008366,0.638865,366.5995,calm
74.24215,4.400262,0.896506,119.223,6.45701,0.020737,0.361788,387.4467,calm
95.96818,5.397415,0.887998,158.9579,6.658392,0.007606,0.41712,593.6802,calm
58.42889,3.488466,0.87156,119.9462,6.728576,0.010115,0.864773,375.2849,calm
41.51008,2.611963,0.859669,32.47776,5.863909,0.003363,1.498094,369.3924,calm
52.63709,4.016548,0.88517,77.19077,5.386122,0.004888,1.237318,281.0201,calm
56.93677,2.921466,0.855234,190.6958,8.17858,0.012626,2.598141,374.7656,calm
55.54987,4.057206,0.883331,29.55309,5.505519,0.006102,2.883567,359.3637,calm
64.3835,2.984852,0.8785,43.99398,8.243007,0.009194,0.368921,338.095,calm
50.95894,3.349862,0.87612,71.79997,6.744048,0.002705,2.314763,244.1164,calm
57.97261,3.185564,0.870487,86.15623,6.678225,0.004836,0.997668,416.6789,calm
70.35708,5.069639,0.898036,19.31623,5.260877,0.004983,1.080512,623.8671,calm
87.27332,5.547895,0.886953,69.91798,5.640191,0.007223,1.203625,762.8577,calm
60.35212,4.03589,0.896628,133.5562,5.863801,0.007697,0.570898,282.964,calm
111.3198,6.888316,0.887881,50.40662,5.48372,0.00953,0.390098,1145.916,calm
68.95502,3.56955,0.880164,152.0887,6.846398,0.006389,0.718819,496.3403,calm
51.73104,3.151563,0.87569,155.2047,7.080297,0.012046,2.504889,326.354,calm
60.77913,3.749048,0.887496,94.32553,6.93287,0.003971,1.870077,255.933,calm
46.95811,2.973008,0.859824,104.4768,7.349464,0.003885,1.732963,186.485,calm
79.38972,4.698762,0.890433,118.7359,6.620364,0.008057,1.021183,497.7503,calm
69.86428,4.364539,0.895014,99.69335,6.329473,0.00732,0.955412,409.8957,calm
67.07986,4.487959,0.896216,184.3897,5.768758,0.007837,0.262181,311.2188,calm
74.21168,5.534936,0.898887,20.70731,4.925577,0.006425,0.611044,658.347,calm
83.79874,4.821504,0.886294,67.38227,5.971929,0.004891,0.64829,698.4833,calm
90.96143,5.377394,0.885243,134.6845,6.455841,0.006685,1.611374,454.3884,calm
64.59402,4.303833,0.897446,96.20198,5.833249,0.006612,0.659201,316.5465,calm
78.43793,4.993219,0.896079,56.57391,5.669087,0.010849,0.807286,553.1441,calm
47.54517,3.938195,0.884072,38.78767,4.450454,0.002597,0.670619,382.278,calm
80.82133,5.303341,0.901045,97.10513,5.605656,0.013442,0.467017,544.632,calm
67.44593,3.31403,0.849301,63.33875,7.693424,0.003092,2.144374,426.1031,calm
47.20625,2.860168,0.851168,108.0408,7.869172,0.005094,2.522869,196.3471,calm
69.41359,3.939501,0.886827,84.52229,7.026138,0.003565,0.857318,316.2226,calm
85.38426,5.561731,0.889588,19.91731,5.430321,0.009386,0.671886,834.0644,calm
73.30917,4.054419,0.889525,97.2943,6.738718,0.011746,0.241757,444.2423,calm
74.78931,4.614956,0.905698,99.33734,6.191357,0.01239,0.280198,364.6798,calm
54.67244,3.516683,0.876677,103.0054,6.218816,0.006621,1.725868,388.3999,calm
51.35318,3.321109,0.865371,146.5111,6.727421,0.005508,0.969247,231.7343,calm
63.12561,4.131831,0.884883,62.60399,5.744202,0.006887,0.769488,515.8002,calm
73.66357,4.759394,0.897638,75.19478,5.980263,0.012096,0.797642,456.8805,calm
59.55272,5.289105,0.89522,28.31942,4.583896,0.009148,1.621472,649.9367,calm
76.34156,4.513758,0.890333,83.77773,6.212875,0.00895,0.45156,544.0419,calm
68.13174,4.418307,0.893781,165.4781,5.748399,0.010622,0.933525,438.3566,calm
57.73223,3.994681,0.874294,23.8622,5.448826,0.001498,1.708702,606.5364,calm
59.70812,3.937046,0.869163,72.56228,5.612521,0.009541,1.383981,496.2645,calm
92.17507,5.652517,0.902084,87.00302,5.649336,0.009746,0.26129,810.7583,calm
63.65951,4.089286,0.885568,42.52417,5.973718,0.003788,1.058227,365.1284,calm
59.58588,3.806905,0.873301,42.91168,5.61071,0.004138,0.779687,491.8223,calm
63.70865,4.788817,0.88276,140.1274,5.248175,0.01404,0.809056,366.7589,calm
61.631,4.332186,0.887478,79.63881,5.910367,0.006212,1.215834,415.5815,calm
72.63937,4.143903,0.887527,67.52903,6.491189,0.007145,0.958454,430.8336,calm
55.57001,3.095615,0.86667,98.48123,7.68924,0.011324,1.795646,255.5503,calm
72.17335,4.880401,0.902716,65.37017,5.808719,0.006374,0.556235,366.7553,calm
63.18002,3.520835,0.8664,101.0439,6.840905,0.002331,1.467545,415.737,calm
93.97978,5.842485,0.895833,70.37472,5.559383,0.012753,0.898885,912.1929,calm
75.46785,4.431549,0.888372,209.1661,6.378878,0.014287,0.889136,601.1416,calm
97.45518,6.605201,0.858301,58.09771,4.8229,0.003887,1.142628,1272.514,calm
55.55565,3.947788,0.876117,32.6795,6.016758,0.001848,2.325371,364.9553,calm
68.83919,4.645512,0.882032,39.63381,5.857059,0.005358,2.437757,482.3776,calm
75.87171,4.964804,0.899553,147.7588,5.741253,0.010648,0.594443,549.3704,calm
68.76226,4.420442,0.897534,98.63019,6.045561,0.00693,0.884693,401.9571,calm
73.67857,3.817027,0.870861,117.4049,6.953131,0.009692,1.410826,512.3695,calm
62.04201,3.958583,0.889074,95.89836,6.293137,0.006627,0.602821,250.3828,calm
102.464,5.283702,0.891482,42.33851,6.760915,0.004197,1.374761,634.0728,calm
52.84185,3.784572,0.853759,43.24081,5.54542,0.005527,2.437568,380.8691,calm
71.41877,4.351764,0.87798,86.9198,6.507377,0.002848,1.220503,348.5447,calm
42.03392,2.58739,0.851858,12.23867,7.711397,0.001221,2.047812,159.4484,calm
67.31939,4.802739,0.883862,33.4244,5.103879,0.003001,0.991382,580.0123,calm
87.92983,5.081141,0.904532,217.7163,6.698074,0.021834,0.92467,416.2759,calm
59.76837,3.963875,0.868896,83.60551,6.68761,0.005139,2.545901,397.1667,calm
66.33845,3.853012,0.872969,147.6992,6.824826,0.00627,1.658257,343.0368,calm
66.2847,4.693882,0.877881,19.5705,4.676042,0.006734,0.673055,757.5792,calm
58.77866,3.457176,0.884159,101.5083,6.917989,0.008973,0.869865,287.2372,calm
64.38128,4.246872,0.885606,49.54053,6.048489,0.008544,1.724254,467.5887,calm
57.27806,3.843224,0.87511,98.95017,5.619822,0.006917,2.344329,575.5093,calm
74.91119,4.593162,0.885774,73.5312,6.105125,0.007532,1.005976,559.4667,calm
68.76289,4.486715,0.898486,49.9832,5.87824,0.007115,1.498479,509.8681,calm
53.09016,4.535868,0.8704,65.53266,3.839292,0.003312,0.346651,853.1522,calm
88.26042,5.771839,0.893182,62.01995,5.379165,0.006339,0.634344,695.1059,calm
57.43307,3.53637,0.862097,86.66085,6.362109,0.004029,1.844336,401.4795,calm
52.56149,3.410799,0.876222,111.1545,6.112182,0.005291,1.829609,435.9925,calm
56.33608,2.784726,0.869427,117.4241,8.058047,0.002566,1.238882,366.512,calm
77.14972,4.83655,0.889605,110.5758,5.862444,0.003893,0.76884,547.6121,calm
49.75036,3.090056,0.869397,69.36561,6.55092,0.006882,2.578801,343.4257,calm
71.47594,3.963185,0.888535,157.799,6.867117,0.007062,0.955187,376.663,calm
54.13029,3.290994,0.868898,126.4441,6.310636,0.009679,1.298179,432.0898,calm
41.67106,2.905369,0.845872,68.15953,6.599806,0.003158,2.45387,263.0871,calm
58.58407,4.09906,0.892279,108.9898,5.572866,0.008184,1.245717,425.9031,calm
57.50239,3.704311,0.887524,62.10265,6.130651,0.006017,0.987838,324.7134,calm
50.80761,2.674689,0.863655,122.998,8.037422,0.004467,2.115238,262.8429,calm
102.2827,6.745529,0.894539,37.66644,5.247164,0.026436,0.169982,1169.098,notcalm
96.91132,6.372011,0.893295,44.15475,5.22884,0.010084,0.463364,1016.725,notcalm
62.79319,4.586298,0.894943,14.96793,5.231251,0.012619,1.310367,496.1106,notcalm
51.76452,3.989058,0.880362,33.43679,5.362283,0.007876,1.698128,317.1322,notcalm
93.45463,5.991272,0.903073,19.76825,5.64449,0.006762,0.555626,717.5693,notcalm
86.48917,5.178074,0.901192,96.6728,6.030396,0.018079,0.213035,573.112,notcalm
55.34539,3.938178,0.884163,24.13971,5.105354,0.010967,1.388688,553.2341,notcalm
65.35186,4.15669,0.893843,21.97851,6.114048,0.005223,0.882444,345.7262,notcalm
90.77695,5.969514,0.898451,50.13089,5.390502,0.014337,0.910102,754.8105,notcalm
90.77695,5.969514,0.898451,50.13089,5.390502,0.014337,0.910102,754.8105,notcalm
67.73019,4.460188,0.885763,62.36436,5.408779,0.0069,0.923805,630.7932,notcalm
76.04378,5.081059,0.895956,15.54126,5.212549,0.010108,0.419894,740.4802,notcalm
65.33331,4.528807,0.893491,28.58048,5.697819,0.008007,0.44745,246.7887,notcalm
86.65456,5.823932,0.903362,134.4754,5.265652,0.019914,0.540236,833.7963,notcalm
86.65456,5.823932,0.903362,134.4754,5.265652,0.019914,0.540236,833.7963,notcalm
74.92481,4.898048,0.90106,91.45646,5.811602,0.007189,0.667146,442.5963,notcalm
72.37757,6.124872,0.888046,16.89071,4.003211,0.013553,1.125897,1599.696,notcalm
72.37757,6.124872,0.888046,16.89071,4.003211,0.013553,1.125897,1599.696,notcalm
64.21316,4.201738,0.889071,194.6522,5.47068,0.033205,0.840753,590.5922,notcalm
84.60171,5.876019,0.901034,72.52674,5.261323,0.010039,0.401306,728.8981,notcalm
84.60171,5.876019,0.901034,72.52674,5.261323,0.010039,0.401306,728.8981,notcalm
78.05248,5.364002,0.887452,42.70353,5.029482,0.004816,0.783191,842.9282,notcalm
78.05248,5.364002,0.887452,42.70353,5.029482,0.004816,0.783191,842.9282,notcalm
78.05248,5.364002,0.887452,42.70353,5.029482,0.004816,0.783191,842.9282,notcalm
77.80429,4.024121,0.872514,102.7687,7.477823,0.008833,2.918893,347.982,notcalm
62.61242,3.759377,0.869605,79.75022,6.262537,0.003182,0.94771,411.5353,notcalm
57.02025,3.347186,0.870555,148.7198,6.77677,0.007761,1.117186,404.5552,notcalm
88.35477,6.165501,0.901047,70.85562,4.938409,0.01857,0.195466,732.5132,notcalm
61.25741,3.371314,0.853981,170.6964,7.304286,0.013489,3.506694,419.0627,notcalm
61.25741,3.371314,0.853981,170.6964,7.304286,0.013489,3.506694,419.0627,notcalm
