@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_max numeric
@attribute pcm_RMSenergy_sma_amean numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[8]_linregc2 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_range numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_stddev numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute voiceProb_sma_skewness numeric
@attribute voiceProb_sma_kurtosis numeric
@attribute F0_sma_minPos numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_linregerrQ numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute output {calm,notcalm}

@data
0.100284,0.012897,-4.791303,-1.040449,18.41583,0.642051,0.352665,0.161326,-1.362362,0.005445,0.574108,0.046091,0.05125,0.057652,0.568387,0.554767,-0.106354,1.952926,0,24.36565,-0.589957,43,0.766352,7.673626,-0.003635,0.000006,4.69485,calm
0.028974,0.00536,8.778628,-1.498857,10.60629,-11.98857,-11.83684,-9.543387,-4.072544,0.013914,0.113128,0.030737,0.027607,0.011743,0.504815,0.607671,-0.08729,2.569392,44,24.51109,-2.205782,1041,0.585875,7.372203,0.000292,0.000004,4.314049,calm
0.052049,0.013389,0.576637,-1.031524,17.78404,-1.530697,-7.063608,-4.675131,-4.599063,0.010889,0.281912,0.045185,0.040866,0.029676,0.599086,0.657075,-0.14592,2.058732,0,14.55786,0.350666,1515,1.306025,4.266965,0.001724,0.000002,4.185865,calm
0.064347,0.018526,-3.86112,-0.216348,16.8717,-2.764224,-9.68914,-1.144006,-6.179551,0.012704,0.369026,0.076429,0.068055,0.052624,0.602012,0.566729,-0.338923,2.308473,0,8.885566,-1.149287,1428,0.861402,5.00876,0.008063,-0.000006,5.617455,calm
0.08302,0.012055,-4.02877,-0.964214,20.41176,-1.15972,-6.221542,-2.803374,-3.30273,0.019359,0.438597,0.059659,0.051425,0.049241,0.325712,0.323236,0.535201,2.796091,0,17.23261,-0.271892,2948,0.674892,3.804773,-0.004727,-0.000001,3.589396,calm
0.048559,0.010073,-2.202702,-1.214724,10.74518,-6.529197,-9.341393,-9.766256,-4.533047,0.013309,0.350272,0.059728,0.068208,0.037786,0.558555,0.694983,0.046489,1.778131,0,11.93171,-1.094886,1288,0.594837,4.822787,0.001066,0,3.873767,calm
0.082903,0.018198,-7.444642,-0.26098,3.598993,-6.017409,-18.29762,-13.72068,-5.112994,0.021779,0.46824,0.05792,0.043575,0.03673,0.480826,0.462181,0.660176,3.14193,0,29.2199,-0.934538,2206,0.525225,4.53758,0.003734,0.000006,5.677809,calm
0.040642,0.011527,1.421692,-1.164517,10.71165,-6.791483,-16.04065,-9.072882,-7.753353,0.017544,0.283122,0.042101,0.049203,0.020935,0.583421,0.62084,0.173696,2.219165,6,8.515566,-0.330058,411,0.806503,6.183747,0.005014,-0.000001,4.456669,calm
0.074168,0.009519,-2.209802,-1.148769,21.3788,-1.74299,-3.506718,1.779738,1.046167,0.003025,0.501512,0.048351,0.043812,0.053307,0.451742,0.499092,0.606764,2.146692,0,23.31259,-0.555232,1526,0.848949,4.503996,-0.002197,-0.000005,3.381714,calm
0.09779,0.016922,-0.680861,-1.360401,23.21409,1.335884,-7.355927,1.129046,-2.372237,0.012099,0.528131,0.059261,0.049388,0.078128,0.429252,0.439003,0.33181,2.386894,0,19.65593,-0.749148,130,0.637241,5.965712,-0.003823,-0.000004,3.857502,calm
