@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_max numeric
@attribute pcm_RMSenergy_sma_amean numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[11]_amean numeric
@attribute pcm_zcr_sma_range numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc1 numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_linregerrQ numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute voiceProb_sma_skewness numeric
@attribute voiceProb_sma_kurtosis numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_linregerrQ numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute F0_sma_de_maxPos numeric
@attribute output {calm,notcalm}

@data
0.014448,0.002392,-2.00071,-0.396852,21.77963,-1.964461,-5.479274,-5.878789,-6.237141,0.573503,0.053209,0.000014,0.031641,0.003042,5.231376,0.649944,-0.418287,2.158473,22.56355,0.654315,2942,0.622996,4.814737,4.542289,0.001911,-0.000004,3.800041,0.912163,0.000055,1553,calm
0.135907,0.021711,-5.169049,-0.816966,19.18051,-6.260094,1.261922,-3.937893,-0.57815,0.46703,0.071021,0.000007,0.060256,0.003512,3.327127,0.433304,0.430903,2.236612,23.42018,-0.521865,2823,0.628979,3.352157,3.776894,0.00288,0.000003,3.503913,0.851683,0.000068,1292,calm
0.085022,0.026096,-5.870307,-0.684516,4.537781,-9.0075,-12.36995,-4.686447,-7.276175,0.292196,0.078991,0.000005,0.071854,0.001064,2.151649,0.483614,0.16807,2.681878,7.627637,-0.61789,936,0.761374,3.757895,3.716913,0.00469,0.000009,3.12283,1.183013,0.000013,1678,calm
0.08064,0.007603,5.911315,-2.841222,17.53861,-10.44624,-0.782733,-5.072644,-5.569812,0.128252,0.040305,0,0.039618,0.000144,2.518537,0.390008,0.857175,5.067516,170.9769,-2.391108,1456,0.379042,2.962626,3.03358,0.003353,-0.000001,2.770479,1.001546,-0.000013,2336,calm
0.058115,0.012393,-5.743386,-0.278358,24.7526,5.368331,-3.92889,-2.034926,-0.277071,0.22686,0.038765,-0.000005,0.046358,0.001136,2.493909,0.429094,0.577572,2.760973,14.14296,-1.138863,1033,0.598124,5.11665,3.927965,0.001519,-0.000006,3.954744,0.833761,0.000014,1149,calm
0.088251,0.028698,-7.160958,-0.680604,10.58252,-0.861828,2.66476,1.475279,-0.957752,0.281307,0.062918,0.000005,0.054783,0.000752,1.766346,0.383161,0.589689,2.948723,9.004518,0.365051,914,0.61267,4.46913,4.184392,-0.000168,0.000003,3.833011,0.860681,0.000053,455,calm
0.071357,0.014449,-3.322385,0.363643,15.09519,-10.84802,-17.52882,-0.548847,-3.622265,0.310345,0.073668,0.000004,0.06707,0.001305,1.612661,0.47953,0.586014,2.243225,14.21537,-1.557313,2359,0.61459,4.340249,4.576378,0.002488,0.000002,3.726933,0.887119,0.000045,851,calm
0.071101,0.022378,-3.732529,-0.200844,12.47925,-3.885641,-0.040866,0.017976,2.004941,0.275257,0.052084,-0.000007,0.062195,0.001156,1.805899,0.496026,0.296255,2.386976,7.207432,-2.649309,296,0.607897,4.343277,3.958249,-0.002889,-0.000002,3.937193,0.895939,0.00007,2371,calm
0.144979,0.01605,-1.742025,-1.196012,14.63786,-0.359149,-4.787153,-2.442764,-0.572687,0.442831,0.056738,0.000004,0.050903,0.003271,4.660984,0.429672,0.345422,2.441334,39.08403,-1.329002,1158,0.526414,3.903435,3.891133,-0.000797,0.000007,4.156416,0.82663,-0.000094,2377,calm
0.142849,0.02588,-8.565042,-0.336806,18.28383,0.963922,-5.967769,-9.989184,-4.736373,0.424682,0.072377,0.000004,0.065892,0.004549,2.319381,0.448076,0.580029,2.466301,8.125055,-0.695213,2161,1.37152,5.662559,3.852404,0.001328,-0.000005,4.362222,1.161002,0.000017,2926,calm
