@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute output {happy,nothappy}

@data
1.375569,1.001608,0.903184,135.1243,0.019165,0.042975,0.007235,0.994017,0.006217,480.7959,happy
1.442776,0.919823,0.902368,190.9374,0.0163,0.020613,0.00555,0.507908,0.004152,755.488,happy
1.639197,1.378778,0.89596,252.98,0.010474,0.009915,0.021952,0.31138,0.003786,979.7769,happy
1.192601,0.456415,0.874396,184.7913,0.020663,0.086693,0.003738,1.784429,0.002254,310.133,happy
1.308005,0.941088,0.895701,398.7906,0.014528,0.100204,0.012217,0.701277,0.002794,345.5998,happy
1.525503,1.340681,0.897832,84.294,0.007035,0.012573,0.020158,0.192377,0.004133,1015.086,happy
1.313819,0.535759,0.869448,192.6394,0.019413,0.018597,0.007889,0.559305,0.005808,667.0574,happy
1.43301,0.827507,0.889999,334.258,0.02251,0.025959,0.011958,0.527093,0.006439,901.7237,happy
1.366838,0.585145,0.88463,220.3271,0.033591,0.03884,0.007028,1.149586,0.002918,545.7889,happy
1.551302,1.168921,0.898289,84.62841,0.003237,0.008451,0.016664,0.202513,0.002784,1120.158,happy
1.320645,1.068876,0.898568,225.1298,0.034527,0.068313,0.012555,1.259107,0.004046,534.8967,happy
1.499705,0.909571,0.892616,507.1465,0.046998,0.065014,0.023476,0.771196,0.004161,754.9798,happy
1.327304,0.43183,0.884982,278.3496,0.055415,0.096726,0.003017,2.013377,0.003556,428.2147,happy
1.386589,1.107753,0.906916,123.5188,0.015392,0.017313,0.014463,0.402087,0.003911,521.2403,happy
1.338135,0.963291,0.894654,232.4342,0.026569,0.023174,0.010542,0.679187,0.003861,613.8049,happy
1.508415,1.095575,0.901262,287.3521,0.022451,0.092864,0.014094,0.977999,0.004361,852.3464,happy
1.52051,3.036085,0.884619,5975.598,0.079583,0.195109,0.006288,5.581272,0.003647,598.2125,happy
1.487868,0.860858,0.88401,183.8068,0.007834,0.019875,0.004603,0.172649,0.002847,588.7673,happy
1.553661,1.072927,0.900785,238.2951,0.011667,0.009531,0.016375,0.271971,0.005496,1034.975,happy
1.410839,0.904136,0.892182,272.3863,0.02026,0.024103,0.008937,0.477384,0.002105,691.5155,happy
1.279891,1.005153,0.895385,189.1122,0.014775,0.058055,0.006824,0.822515,0.003218,398.4011,happy
1.455674,0.9597,0.895407,267.8645,0.013768,0.024866,0.014239,0.328188,0.00454,863.007,happy
1.375578,1.009742,0.90012,176.9989,0.010696,0.037976,0.006578,0.529794,0.00371,567.0941,happy
1.394494,1.397682,0.897749,297.8134,0.009992,0.015966,0.022874,0.264924,0.00497,757.9335,happy
1.45179,0.932037,0.877848,901.8508,0.024907,0.035728,0.004799,0.483726,0.006071,919.7138,happy
1.41932,0.823913,0.898807,232.8508,0.016895,0.03156,0.006903,1.043909,0.002567,595.9513,happy
1.441402,0.914192,0.896138,461.7908,0.026456,0.021261,0.008332,0.717655,0.003741,789.9421,happy
1.454228,1.169044,0.891808,141.2926,0.008576,0.022838,0.006649,0.228138,0.004512,801.1561,happy
1.591898,0.849186,0.899192,239.501,0.014861,0.036092,0.009177,0.546606,0.003907,848.6676,happy
1.613668,1.074196,0.897936,596.2243,0.023301,0.028,0.012687,0.235694,0.00499,1311.835,happy
1.481278,1.219121,0.902606,65.28521,0.010651,0.030659,0.006194,0.265979,0.003781,560.2491,happy
1.506876,1.231561,0.897876,75.24989,0.008887,0.019782,0.014924,0.309477,0.003798,975.1722,happy
1.543334,0.676657,0.892718,132.5788,0.022568,0.015552,0.003158,0.540951,0.00322,810.7038,happy
1.461502,1.355123,0.901082,281.3519,0.02158,0.017797,0.011455,0.473318,0.00358,751.5439,happy
1.606559,1.311318,0.895955,118.7166,0.005944,0.003448,0.030644,0.144233,0.002347,873.6125,happy
1.527104,1.226191,0.902236,154.2237,0.007951,0.013894,0.01402,0.258662,0.003097,961.3209,happy
1.449458,1.042487,0.897047,200.4148,0.022541,0.121855,0.007052,0.628737,0.003923,410.1531,happy
1.456486,1.194371,0.901287,102.5775,0.013126,0.013697,0.015779,0.341144,0.00518,531.6707,happy
1.463128,0.987032,0.895066,193.6866,0.013893,0.042792,0.005051,0.409983,0.002874,628.0969,happy
1.491569,1.118519,0.895326,194.3996,0.045574,0.05638,0.006829,1.02055,0.002056,933.9475,happy
1.620233,1.224084,0.899699,140.4393,0.002881,0.004458,0.008824,0.205747,0.002776,1112.227,happy
1.406307,1.043674,0.901033,324.5884,0.029901,0.039712,0.011563,0.561358,0.003999,570.3126,happy
1.393402,1.284144,0.894773,362.2334,0.024766,0.130562,0.007301,0.990205,0.00251,465.9434,happy
1.496584,1.281994,0.905033,68.49512,0.009131,0.007471,0.013596,0.259479,0.004929,874.3248,happy
1.504573,1.412861,0.90501,166.6543,0.012965,0.019802,0.018361,0.25608,0.003039,723.2601,happy
