@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_D numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_19 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric

@data

0.038986,-48.083898,0.287166,0.343682,1.849232,0.386579,0.206741,0.151784,0.453927,1.066493,2.54202,0.513309,0.887607,0.208433,0.212763,0.194739,0.184311,6.106774,0.571747,0.269556,0.000068,0.000078,0.299452,0.558801,0.557293,0.811077,1.663421,0.113949,0.127518,0.09984,0.083398,0.072506,0.071251,0.0874,0.00009,0.102517,0.040443,0.033023,0.021567,0.209537,36.28992,46.722809,51.563729,1.004658
0.077757,-50.305285,0.158338,0.267204,1.925262,0.419525,0.204979,0.157789,0.491445,1.048291,2.520176,0.521521,0.728622,0.206297,0.189465,0.163341,0.168322,5.893665,0.569754,0.266385,0.000023,0.000015,0.340511,0.447021,0.696853,0.83762,2.087007,0.104658,0.114275,0.095983,0.085194,0.089354,0.075735,0.094057,0.000048,0.132674,0.028748,0.03222,0.022613,0.209686,15.599209,14.400682,13.545344,1.003052
0.037064,-48.788916,0.224413,0.279283,1.989629,0.440068,0.305946,0.133406,0.42289,1.072382,2.547597,0.441159,0.849825,0.223893,0.221993,0.200068,0.182913,5.896761,0.58006,0.2525,0.000139,0.000171,0.288243,0.501216,0.686021,0.825062,1.629518,0.110927,0.112419,0.142438,0.114849,0.106432,0.070757,0.086303,0.000174,0.100238,0.043874,0.021333,0.040678,0.209459,51.611372,74.121386,42.57569,1.007269
0.033006,-55.541472,0.540411,0.3939,1.944142,0.405345,0.340959,0.113931,0.434453,1.047473,2.589921,0.42726,0.828243,0.210238,0.199025,0.158296,0.163891,6.632998,0.453427,0.308174,0.000036,0.000041,0.505215,0.463005,0.571868,0.779746,2.4684,0.131649,0.09631,0.085912,0.080595,0.069238,0.067681,0.087285,0.00002,0.109029,0.036186,0.027315,0.026588,0.213629,12.203589,11.811967,16.482425,1.003322
0.04819,-49.334957,0.506888,0.431306,2.049823,0.415854,0.272682,0.124796,0.47627,1.106146,2.565028,0.473314,0.773198,0.249166,0.217232,0.197653,0.184584,6.788725,0.761441,0.236575,0.000199,0.000187,0.269757,0.502766,0.640204,0.920861,2.424748,0.126755,0.129307,0.119677,0.111131,0.101672,0.079976,0.097552,0.000123,0.102739,0.041135,0.036532,0.024962,0.21113,40.598298,54.818836,53.188226,1.005083
0.0366,-52.225911,0.35475,0.698385,1.735855,0.422374,0.273733,0.152593,0.450316,1.095817,2.590461,0.431094,0.727271,0.208991,0.196255,0.173518,0.167419,5.978653,0.68595,0.228626,0.000026,0.000029,0.448421,0.450138,0.514026,1.058938,1.633813,0.117293,0.114014,0.13408,0.06673,0.07789,0.074349,0.090848,0.000019,0.111167,0.037653,0.031216,0.022095,0.217101,15.962639,17.87405,18.301363,1.002945
0.077252,-47.340893,0.301212,-0.016205,1.806117,0.396669,0.512495,0.202684,0.389129,0.90377,2.562569,0.471395,0.736986,0.213087,0.201965,0.175796,0.167512,5.34793,0.331443,0.189903,0.000125,0.000144,0.437216,0.438857,0.496819,0.630415,1.439152,0.107831,0.076576,0.082003,0.06495,0.07517,0.056804,0.075,0.000277,0.103242,0.035734,0.03771,0.034481,0.216403,24.290768,31.577045,37.13934,1.003202
0.038833,-55.917466,0.620832,0.601885,2.237324,0.37346,0.359243,0.113008,0.41551,1.053758,2.575268,0.5053,0.614469,0.225796,0.182174,0.166448,0.170353,6.961831,0.600741,0.238185,0.000031,0.000031,0.245525,0.356592,0.556559,1.200047,4.846045,0.108834,0.144021,0.096812,0.103357,0.104641,0.08398,0.094033,0.000017,0.085488,0.055333,0.028982,0.031967,0.214428,7.970594,9.458149,9.396578,1.002947
0.071355,-49.720848,0.339616,0.031788,1.909491,0.412246,0.210019,0.183457,0.466543,1.059589,2.538869,0.446664,0.780094,0.219479,0.20315,0.184177,0.170089,5.797626,0.698166,0.313532,0.000054,0.00005,0.44491,0.572338,0.626823,0.828071,1.951662,0.106818,0.120663,0.091496,0.069737,0.065263,0.071568,0.087447,0.000057,0.091843,0.03193,0.034523,0.024316,0.214688,25.485636,41.423879,33.918734,1.005181
0.056981,-50.857482,0.338636,0.131988,1.920823,0.332228,0.300917,0.143742,0.424997,1.047794,2.591037,0.497787,0.77831,0.243932,0.21684,0.179723,0.183504,5.9847,0.733796,0.295465,0.000078,0.000062,0.494202,0.45998,0.715708,0.918157,1.74985,0.126573,0.12045,0.111238,0.103895,0.094676,0.081748,0.089886,0.000064,0.110345,0.052991,0.041557,0.029434,0.211512,29.8723,40.871765,43.075259,1.0054
0.065617,-54.610391,0.106358,-0.067395,1.847741,0.434067,0.305282,0.1556,0.505622,1.111432,2.591302,0.555997,0.828579,0.241715,0.218728,0.1932,0.191901,6.976265,0.372062,0.271521,0.000017,0.000019,0.320223,0.435461,0.53502,0.691116,1.157104,0.107084,0.09078,0.073134,0.075117,0.060592,0.073747,0.092209,0.000016,0.092669,0.037155,0.034654,0.023374,0.217498,58.238645,26.97772,44.759143,1.008552
0.030136,-49.067716,1.253885,0.812912,1.920728,0.50734,0.240958,0.131871,0.446648,1.097737,2.584785,0.393625,0.735276,0.2249,0.19608,0.162892,0.153729,5.886569,0.426796,0.173954,0.000085,0.000088,0.179869,0.486439,0.668515,0.686827,1.440203,0.133921,0.098429,0.087043,0.066809,0.064762,0.075039,0.096248,0.000037,0.10001,0.031342,0.036117,0.018379,0.216802,16.872483,19.553722,19.491079,1.002229
0.039227,-48.731672,0.578319,-0.23866,1.937992,0.581134,0.247088,0.151213,0.452944,1.076977,2.548052,0.325377,0.880716,0.230332,0.199585,0.160995,0.148912,5.78368,0.263986,0.108271,0.000073,0.000084,0.214814,0.352754,0.336447,0.645571,1.178951,0.08734,0.077144,0.073151,0.064447,0.060635,0.071365,0.090234,0.00016,0.100964,0.032396,0.031255,0.029984,0.218063,43.288971,32.862398,66.187468,1.006675
