@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_linregc1 numeric
@attribute mfcc_sma[5]_min numeric
@attribute mfcc_sma[9]_linregerrQ numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_max numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_linregc1 numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[9]_kurtosis numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {happy,nothappy}

@data
0.025871,2.138669,0.000385,-15.71879,43.01268,31.94291,0,0.076843,16.59218,0.889799,1.065548,0.006716,8.11604,6.82723,0.000011,4.589329,3.669826,3.232408,3.757241,3.13747,1.829659,0.000014,14.17356,4.982784,happy
0.046837,1.32155,0.000477,-15.34973,26.11736,13.66057,0.033878,0.100696,12.07788,0.756609,1.183641,0.004199,9.174715,5.570185,-0.000004,3.908982,4.030658,3.289071,3.502749,3.841703,0.942589,0,12.64904,4.725057,happy
0.035009,1.786552,-0.000297,-30.30045,42.10517,47.50861,0.00363,0.095567,11.20308,0.893736,0.7603,0.006409,7.728285,5.597039,-0.000006,4.520245,3.642501,3.855048,4.455429,3.294153,2.114276,0.000002,10.46454,4.884243,happy
0.032196,0.871488,-0.000127,-15.9351,28.27663,25.33891,0.009679,0.099689,21.01377,0.854588,1.258292,0.003445,8.598334,9.515001,0.000004,4.965919,4.737571,4.129106,3.312868,3.630964,1.217273,-0.000047,18.51394,4.936277,happy
0.045038,0.960637,-0.000619,-13.23129,25.38953,18.26191,0.013309,0.129924,3.692199,0.801341,1.359843,0.005203,10.27695,5.24858,0.000006,4.631232,3.519431,3.309607,3.221442,3.212815,1.011344,0.000003,6.577822,4.90287,happy
0.049647,0.509359,-0.000094,-23.05851,32.05381,30.29232,0.00484,0.11222,14.85512,0.92752,0.527361,0.005614,7.383476,6.720538,0.000003,7.255394,5.864775,5.133357,5.013894,4.054485,1.451023,0.000014,15.15799,5.403259,happy
0.005537,1.460185,0.000084,-27.43279,24.88465,27.18378,0.00605,0.047895,41.901,0.922192,0.787111,0.000515,8.736862,5.978796,-0.000003,4.315616,3.691427,3.857502,3.642545,3.008538,1.185395,0.000003,27.64999,4.098132,happy
0.045628,0.015161,-0.00056,-24.09838,25.58794,17.09012,0.016334,0.094329,11.20263,0.797325,0.836515,0.003295,5.260396,13.57402,0.000001,4.843524,4.293144,4.680128,4.107214,4.320333,0.915963,-0.000034,17.57978,5.142026,happy
0.011289,1.40016,-0.002191,-28.50828,30.56795,20.10443,0.003025,0.038636,8.019202,0.925519,0.725269,0.001466,7.273751,5.151367,-0.000003,5.401384,4.069964,4.181054,3.634346,3.745842,1.144397,0.000022,9.92818,4.998043,happy
0.026988,1.37954,-0.000397,-19.46046,19.69796,16.60473,0.016939,0.083365,7.053819,0.819731,0.925488,0.0032,9.712382,7.414555,-0.000003,7.615284,5.005877,3.558602,3.920502,3.613942,0.828925,-0.000014,11.83468,6.630688,happy
0.044986,0.039063,0.000104,-20.41319,25.89527,23.90982,0.005445,0.080647,3.248899,0.833311,0.918856,0.003906,5.777754,4.731301,-0.000003,6.06556,4.923086,4.025318,3.693418,3.359896,1.237609,0.000006,6.806902,4.291718,happy
