@attribute mfcc_sma_de[12]_maxPos numeric
@attribute mfcc_sma_de[12]_kurtosis numeric
@attribute pcm_zcr_sma_de_max numeric
@attribute pcm_zcr_sma_de_min numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute F0_sma_de_maxPos numeric
@attribute output {high,nothigh}

@data

0.005836,1.715423,3.776539,-16.31206,-2.632324,29.00611,-12.67656,3.310776,20.21533,31.07303,26.8793,-10.87022,-14.35333,0.00726,0,0.034955,3.290135,20.15817,0.679351,853,9.122622,-4.468917,0.001361,0.573251,4.026442,7.271893,3.812979,244,3.254418,4.439012,3.483878,4.099663,7.833669,3.454644,1039,3.028867,0.040895,-0.037689,0.00001,13.74012,0.145202,4.788327,2591,high
0.041045,0.340263,-3.537802,-9.674682,2.859234,25.73099,-15.18493,0.582296,16.07187,33.77135,26.44234,-14.01936,-16.04951,0.00484,0.000013,0.095981,0.850371,3.282101,0.622256,1996,7.950408,-2.764713,0.000891,0.455425,5.270419,7.215935,5.391987,2341,3.401093,4.275983,3.428982,3.709203,7.700181,3.500355,1565,2.970361,0.062311,-0.058681,0.000005,6.574735,0.115882,5.805895,2566,high
0.029639,-6.698117,-10.24786,-14.3471,-1.500205,32.82204,-14.93198,0.176032,19.69592,36.97092,42.0983,-13.64474,-13.81331,0.028433,0,0.112094,0.493277,3.284959,0.70731,1795,4.508595,-3.07736,0.005722,0.876568,4.655915,6.564037,3.890188,1764,3.950679,4.794678,3.881456,4.399086,9.595956,3.529995,2667,3.400541,0.042347,-0.046884,-0.000029,5.760722,0.134274,4.285538,1430,high
0.026226,-3.107628,-1.419663,-15.76103,2.872405,36.42329,-16.45275,-0.791977,23.49373,30.643,33.59991,-18.0183,-26.41353,0.012704,0.000002,0.107041,2.301617,9.127458,0.70845,2290,14.90644,-4.046603,-0.002415,0.741549,7.132909,8.071081,4.563092,2972,4.129892,4.486471,4.38675,3.758309,7.382555,3.340946,326,3.29194,0.081367,-0.086388,0.000008,11.96483,0.137346,5.314528,1182,high
0.053609,-0.183649,-1.29902,-14.53969,-3.403713,25.94909,-8.565633,2.04571,12.46352,26.62261,22.67993,-12.36632,-9.875115,0.041742,0.000003,0.119812,0.906105,3.999095,0.595091,51,4.708027,-2.824951,-0.000956,0.291895,3.386617,5.264888,3.897851,1003,3.162398,3.60392,3.258708,3.604104,6.956709,3.262381,487,3.187986,0.058137,-0.052934,0.000007,4.434546,0.15226,7.111064,1027,high
0.037069,-0.009245,-0.797832,-16.90019,7.357297,44.28055,-21.51651,4.804821,46.00363,44.46834,35.17789,-22.35564,-22.30235,0.005445,0.000018,0.089716,0.543872,2.586704,0.744658,1898,5.403112,-4.909238,-0.000681,1.11286,6.588574,12.14443,5.775759,450,3.410039,5.128611,3.758736,5.275594,9.873528,3.413642,1668,3.447001,0.054749,-0.068663,0.000036,4.335322,0.142704,4.434371,2466,high
0.026293,-2.163313,-2.566824,-21.13546,-6.267206,34.27653,-18.42114,-0.431732,24.09143,35.33019,31.79759,-17.16956,-18.22526,0.013309,-0.000005,0.113941,1.559651,7.162038,0.608692,2756,9.150742,-3.197456,0.001227,1.038927,5.929992,7.70763,4.129035,2895,4.954343,5.25365,3.475745,4.012951,8.77578,3.387456,623,3.048793,0.095402,-0.072232,-0.000068,8.549294,0.093776,3.80432,1756,high
0.020076,-5.115705,-2.50536,-21.56453,-1.077892,38.98317,-20.20249,-1.692646,32.63071,35.88165,34.65923,-19.93816,-14.8599,0.012704,0.000003,0.059877,2.401493,17.52724,0.678609,4,6.725145,-2.663328,-0.000317,0.422208,4.499269,8.290842,5.257243,2117,3.606056,4.640918,3.495185,4.880209,10.34566,4.178754,2043,3.932585,0.039504,-0.075499,-0.000001,22.17186,0.144013,5.623208,1289,high
0.007936,-0.124894,0.987603,-10.19974,2.898798,29.8793,-18.75978,-3.40144,37.7292,37.97404,24.47457,-17.98381,-25.68128,0.009679,0.000003,0.054257,3.052195,20.59909,0.683929,2743,11.47133,-2.683708,-0.00196,0.299623,3.945837,6.955438,4.80178,654,3.637885,4.630648,3.842114,4.410213,7.69521,3.311407,1018,3.510021,0.050333,-0.054265,0.000018,16.44322,0.098336,5.568731,2416,high
0.019165,-4.476845,-4.435915,-28.35014,-11.35898,34.12135,-20.72008,-5.301007,19.37443,26.45266,25.46725,-16.41203,-15.49724,0.015124,0.000003,0.045836,2.102472,9.855276,0.682194,276,6.817735,-6.050994,-0.001598,1.297974,4.13741,10.36009,4.046298,81,3.381826,3.843894,3.463631,4.155175,8.721905,3.455848,233,3.206198,0.036177,-0.030067,0.000009,9.137083,0.117343,3.523667,1883,high
0.025814,-2.201092,-2.723195,-10.91469,0.564757,33.96573,-20.93943,-6.096753,21.78657,29.67572,31.98377,-22.40988,-16.89105,0.013309,0.000001,0.076258,1.437343,6.31914,0.743212,2876,6.832505,-2.724697,-0.001737,0.553691,4.446195,7.245871,4.156439,168,3.543102,5.358624,3.54928,4.2292,8.313623,3.260129,1929,3.279294,0.050333,-0.049607,-0.000003,10.01978,0.131149,3.242776,2922,high
0.039083,-7.145436,-7.650666,-12.70918,0.512223,30.87414,-15.53082,-1.606052,19.93758,32.44741,44.36596,-15.56054,-15.79055,0.016334,0,0.088029,1.149675,4.611455,0.767825,1980,5.252141,-2.868507,-0.000919,0.607429,7.539604,6.989258,4.511865,996,3.471466,4.426853,3.552101,3.902387,8.264611,3.390493,2265,4.289817,0.029038,-0.025045,0.000009,4.514317,0.14756,6.093041,1190,high
0.055012,-13.13321,-10.40102,-14.18364,-3.70803,24.33314,-17.29422,-1.481129,31.42395,43.6864,47.2434,-18.30143,-12.39879,0.032668,-0.000014,0.104613,0.378724,2.477413,0.674543,2926,10.55761,-4.687198,-0.000506,0.392743,7.098875,10.48609,8.066411,2129,3.795133,5.395309,4.581275,5.308208,9.404312,3.813389,2398,3.771694,0.027768,-0.021234,-0.000009,6.086988,0.105074,4.283571,2839,high
0.017437,0.488225,2.284823,-16.85652,-5.367176,25.88916,-13.25136,-0.652493,24.73569,27.18694,33.93214,-16.20484,-13.7057,0.011494,-0.000001,0.05151,3.342165,19.743,0.563755,814,20.60152,-5.143503,-0.000453,0.51152,5.63643,5.770764,4.242959,326,3.735972,3.612576,3.344332,4.023347,7.874688,3.549211,738,4.017182,0.070478,-0.050212,0.000002,20.24663,0.112671,4.850535,391,high
0.029869,-4.673405,-5.89728,-0.894075,7.907928,13.47752,-7.725876,-0.921394,6.943869,18.62528,23.28965,-14.87487,-9.159139,0.010284,0.000005,0.038959,0.623868,3.383416,0.259811,2358,7.657927,-1.488621,0.000809,0.161799,5.006855,4.464832,5.595931,2526,3.187061,3.013059,3.365961,2.748502,5.803679,3.346754,1571,3.316205,0.014096,-0.018693,0.000004,4.242621,0.042025,3.442908,0,high
0.076939,-4.515791,-3.172806,-18.64263,-5.541687,26.85166,-12.50196,1.488163,16.88932,26.32754,24.57945,-17.02344,-15.12525,0.054446,0.000016,0.123103,0.448493,3.320659,0.727285,1275,8.167562,-2.313163,-0.001069,0.282932,3.860279,4.123846,3.498143,261,3.690026,3.560785,3.209654,4.342084,8.138559,3.19147,564,3.338567,0.064368,-0.049546,0.00002,7.628158,0.106717,6.090185,1388,high
0.042937,-4.0107,-4.196511,-13.28205,-1.329976,18.67487,-9.825744,2.9571,12.2809,24.30766,28.28577,-12.72262,-18.5153,0.037508,0.000004,0.097006,2.100668,9.093206,0.655093,2419,8.907424,-2.334444,-0.001461,0.262025,3.82279,4.525355,3.599614,2473,3.015585,3.906186,3.117395,3.447133,7.056031,3.104158,141,2.979917,0.050635,-0.057048,-0.000015,9.728354,0.110557,5.030377,1200,high
0.047453,-5.025785,-4.630012,-11.73183,-3.817045,23.58308,-16.23579,-1.885794,17.32947,31.89873,31.97705,-14.25082,-15.07615,0.015124,0,0.066977,2.805028,20.17439,0.666196,1315,24.27291,-2.804543,-0.001233,0.206699,4.690872,4.775334,4.585516,1181,3.199878,3.087417,3.450387,3.786518,6.932769,3.694942,1609,3.396268,0.044283,-0.037266,-0.000003,16.37131,0.150854,6.85129,1131,high
0.06284,-2.344015,-3.344694,-12.48671,-2.246317,23.48545,-15.06089,-0.033365,11.09299,27.80154,23.89203,-7.669564,-9.435471,0.005445,-0.000008,0.102003,0.722886,3.521148,0.490601,1623,2.890953,-2.240825,0.000912,0.399291,5.429511,5.589309,3.55878,750,3.957751,4.225441,3.510818,4.435738,7.920284,3.95688,2105,3.367364,0.040895,-0.054325,-0.000007,3.41228,0.095792,6.478189,2782,high
0.004309,10.67792,12.11304,-7.055006,6.869761,33.36728,-31.26534,-6.110976,25.60874,32.97814,29.01309,-18.48551,-16.95131,0.005445,0.000003,0.023459,4.958612,33.50739,0.690648,2837,19.74237,-4.689414,-0.002915,0.571323,5.694772,6.173139,4.130121,795,3.971343,4.761969,3.712198,4.727107,9.154631,3.483944,1887,3.569788,0.059891,-0.063279,0,29.32587,0.102997,4.762864,1929,high
0.029597,-3.184983,-1.503602,-13.4556,-1.535681,34.14034,-20.17324,-0.53687,25.97326,38.51816,34.76256,-17.97358,-20.62357,0.019359,0.000012,0.100123,2.245317,10.78694,0.664747,755,10.34822,-3.322459,-0.004187,0.475456,5.79441,6.541929,4.307951,1378,4.263367,5.523207,3.803519,3.994638,7.159698,3.188204,774,3.427312,0.098488,-0.091349,0.000021,13.61569,0.14631,6.695552,1108,high
0.046045,-0.52154,-2.794674,-13.49423,1.593187,43.47046,-12.65931,4.54425,38.18425,59.75355,44.26003,-22.3277,-25.40765,0.00363,-0.000015,0.110698,1.951045,7.442523,0.750834,1085,6.682311,-6.05992,0.000242,1.597451,3.684965,9.566132,3.763423,2986,3.141093,5.346543,3.363735,5.054377,12.64824,4.075758,2738,3.415818,0.070841,-0.067332,-0.000006,6.412655,0.166553,5.56445,1545,high
