@attribute mfcc_sma_de[10]_max numeric
@attribute mfcc_sma_de[10]_range numeric
@attribute mfcc_sma_de[12]_max numeric
@attribute pcm_zcr_sma_de_min numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_range numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {high,nothigh}

@data

0.024098,0.061517,-17.45615,10.06928,1.367829,-17.76021,21.08003,0.847988,15.78269,-0.165223,-12.07544,4.775722,15.97159,0.042952,0.245009,2897,0.876254,4.301276,0.00737,1.09871,2899,3.43648,0.000002,0.322953,4.268338,4.974639,2754,3.688568,3.222665,2301,-0.025326,2.957979,4.526115,10.16098,3.463717,-0.047187,-0.000015,4.190017,0.09682,0.196905,4.906129,high
0.001903,0.019831,-21.43485,24.8372,3.601168,-17.49775,46.59826,-6.227041,38.91629,-0.007162,-16.20117,5.367036,17.88608,0.008469,0.372051,1906,1.83836,7.070967,0.017366,15.16189,1308,5.66316,-0.000004,2.934519,4.45702,9.885126,2151,4.882258,4.294756,1627,0.04366,4.617382,4.908084,9.759645,4.93258,-0.068179,-0.000027,7.14869,0.105635,0.261228,4.748055,high
0.004218,0.02202,-15.93938,9.569974,-2.793808,-13.31306,30.85752,-0.55645,16.20778,0.275059,-14.54246,4.118059,15.30415,0.012099,0.295826,1129,0.965524,6.448474,0.029189,55.89517,2926,6.480432,-0.000003,0.497951,5.595137,6.331775,911,3.584729,4.818923,2958,-0.216517,3.458905,4.350026,9.115376,4.274405,-0.063823,0.000003,12.85095,0.132741,0.288159,6.197163,high
0.000958,0.014925,-33.21373,22.23317,-19.49543,-11.64501,36.03025,0.552676,23.87953,-0.071055,-13.92061,4.918762,17.09876,0.00363,0.478524,2270,0.941052,3.397425,0.022954,157.6961,2155,5.859012,-0.000008,1.530606,6.280906,10.04434,2647,5.014005,4.242234,1367,-0.211845,3.535976,3.501996,8.105548,3.366276,-0.075076,-0.000063,8.159951,0.135166,0.263834,6.516786,high
0.007317,0.021279,-13.85499,5.714315,-4.18856,-11.98235,28.6397,0.046159,18.94567,-0.275117,-12.00266,3.910859,13.21223,0.019964,0.171809,767,0.561292,3.251887,0.037909,97.11665,798,5.706402,0.000005,0.329087,5.365401,5.044151,1694,3.718645,3.456737,2357,-0.028493,3.10049,4.139295,7.326534,3.155176,-0.0219,0.000002,3.833246,0.106759,0.249863,5.223749,high
0.001944,0.029394,-33.94174,8.130909,-10.1927,-20.95914,53.27669,-5.356965,38.16973,0.421857,-21.05756,5.390666,14.11808,0.006655,0.588627,329,0.965723,8.565852,0.018328,114.4998,475,10.75383,0.000015,0.526375,7.223835,7.523603,2624,5.692037,3.720168,453,0.094073,3.500458,4.204341,7.908845,4.199647,-0.119903,-0.00002,23.33939,0.117956,0.24032,4.66068,high
0.002798,0.010707,-27.46894,18.65842,3.232477,-9.622818,34.58362,-1.464225,33.22086,0.012424,-19.24223,6.759392,20.89307,0.00605,0.555959,123,3.518921,27.14028,0.019778,50.95759,125,8.271426,-0.000001,0.812458,5.549343,9.705896,1050,3.872185,4.178343,2469,-0.007534,3.948771,4.399766,10.6932,4.53465,-0.132547,0.000002,38.72394,0.147496,0.280956,4.534865,high
0.003068,0.005322,-5.742661,-2.708582,-11.40368,-5.78957,19.98728,-2.20359,12.84039,-0.220217,-11.98951,3.829708,11.41614,0.015124,0.087719,684,-0.164745,2.479876,0.010619,14.30487,2558,4.189164,0,0.121673,3.070652,3.044331,2161,3.119865,3.025976,2215,0.072832,2.935671,2.614017,5.643887,2.80101,-0.010284,0.000014,3.37631,0.075778,0.162936,3.506966,high
0.000708,0.027175,-19.52258,13.00485,-0.086501,-15.09938,23.35597,-4.02309,37.27003,0.630819,-22.82684,5.591585,17.21245,0.009679,0.337568,2365,2.036861,10.2603,0.011981,-20.14635,2367,8.186447,0.000004,0.28669,4.905998,4.759282,2377,4.159278,3.831438,2480,0.063956,3.950897,5.043431,9.403181,3.57428,-0.065517,-0.000012,15.32777,0.113539,0.218623,7.263953,high
0.007867,0.041045,-23.71922,20.43122,-3.537802,-9.674682,25.73099,0.582296,16.07187,-0.051812,-18.21509,4.951237,11.54669,0.00484,0.393224,2822,0.850371,3.282101,0.015671,50.68674,1996,5.664446,0.000006,0.455425,5.270419,7.215935,769,4.078907,3.82193,2341,0.190307,3.428982,3.709203,7.700181,3.568727,-0.058681,0.000005,6.574735,0.115882,0.224633,5.805895,high
