@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {high,nothigh}

@data
0.608859,0.914192,461.7908,1.336989,0.021261,0.717655,789.9421,high
0.589873,1.836696,858.4311,1.920547,0.046142,5.395804,522.9515,high
0.781216,0.658983,241.6088,0.998688,0.074119,0.934366,415.7357,high
0.633347,1.010992,174.6694,0.575113,0.02655,0.524304,595.1089,high
0.733802,0.957698,90.69685,0.360124,0.053922,0.428101,422.7319,high
0.648338,1.070233,176.352,1.171897,0.063194,1.057901,484.0746,high
0.659567,1.121129,134.2732,0.873702,0.047814,0.419263,608.5497,high
0.570687,0.427427,141.7665,0.452713,0.018691,0.655937,534.589,high
0.702022,0.989653,278.603,0.54695,0.061514,0.42129,509.6414,high
0.682301,0.904858,602.4802,1.633376,0.109748,0.371831,758.2099,high
0.667904,0.527723,400.9058,1.113901,0.030416,0.958157,459.6081,high
0.686566,0.665852,366.3472,0.843268,0.038432,2.530348,608.2863,high
0.631284,1.009063,61.95104,0.180481,0.004579,0.166044,779.2032,high
0.677765,1.366019,1024.201,2.953519,0.020459,0.877877,907.5685,high
0.483899,1.257316,261.8208,1.029862,0.019968,0.51687,1249.964,high
0.725467,0.992473,82.69455,0.150145,0.074548,0.439148,296.8389,high
0.489333,1.168443,36.25415,0.220773,0.018129,0.222807,711.5122,high
0.678013,1.2098,170.063,0.73299,0.041608,0.343504,547.35,high
0.742048,0.751611,254.3802,1.126295,0.042906,1.073035,507.4307,high
0.666335,0.435523,223.3167,0.364592,0.058779,1.692559,450.3094,high
0.65969,1.096317,167.4113,0.626842,0.048648,2.24827,386.3001,high
0.558885,1.019115,427.2048,1.300634,0.022327,0.437794,737.1394,high
0.56794,0.582799,938.6936,3.149831,0.022916,1.8635,901.9305,high
0.492536,0.969224,66.99298,0.425774,0.005571,0.186407,1310.579,high
0.94968,1.085796,221.1669,1.076531,0.13324,0.44745,246.7887,high
0.585558,1.03688,84.52825,0.432308,0.004051,0.145115,840.9945,high
0.484701,1.057076,155.4287,0.66456,0.006274,0.178829,1225.128,high
0.698106,0.294687,166.3495,0.843392,0.076702,2.115238,262.8429,high
0.620052,1.330494,227.1005,0.661002,0.038656,0.283066,595.5704,high
0.567143,1.172819,391.4598,1.702387,0.039219,0.399682,949.3067,high
0.60497,1.003353,278.5964,0.771209,0.02786,0.234561,881.4828,high
0.642324,1.036918,208.9211,0.876432,0.018926,0.467017,544.632,high
1.365321,1.023476,165.1901,0.937753,0.13794,1.893157,222.101,high
0.987296,1.080189,338.8515,1.452139,0.119858,0.67968,325.0662,high
0.779229,2.368307,1619.996,6.455654,0.136496,3.644306,418.5929,high
0.620153,1.165013,58.86331,0.422152,0.010373,0.224414,758.2023,high
0.728427,0.434024,693.5154,0.917911,0.238653,1.042009,433.8612,high
0.602026,1.206012,111.4265,0.490764,0.011965,0.153983,742.4523,high
0.63787,1.002451,64.34888,0.284087,0.019441,0.092626,862.9735,high
