@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute BeatHisto_MeanACR numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {nostalgic,notnostalgic}

@data
1.557591,0.464058,0.197115,0.199337,0.026228,0.083034,0.11278,0.17342,0.583901,69.1866,4.429964,1.295875,0.780563,0.799877,0.894317,0.118894,90.08653,6.136477,153.0349,0.704199,0.019302,0.06009,0.07687,0.000187,0.008366,3758.844,0.638865,0,0.962051,0.128136,0,0.036534,0.001959,366.5995,34666.82,nostalgic
1.229771,0.348948,0.204323,0.135851,0.023689,0.124505,0.140027,0.15473,0.522941,56.70247,2.724938,0.982214,0.728427,0.434024,0.851869,0.040456,59.24251,8.028365,693.5154,0.917911,0.022222,0.238653,0.076077,0.000449,0.001716,2385.576,1.042009,0,0.892144,0.108636,0,0.096287,0.002958,433.8612,48483.68,nostalgic
0.365899,0.413312,0.210376,0.190928,0.025121,0.174751,0.070324,0.366266,0.585806,111.3198,6.888316,1.56648,0.514034,1.433559,0.887881,0.101589,50.40662,5.48372,503.6048,1.90735,0.014432,0.007429,0.650581,0.000452,0.00953,1799.12,0.390098,0,0.921438,0.131561,0,0.072438,0.004064,1145.916,143074.9,nostalgic
1.7066,0.338297,0.189378,0.17809,0.012611,0.119701,0.074929,0.176415,0.580009,40.01483,2.428394,0.997493,1.083374,0.323764,0.867148,0.139278,177.0234,7.186577,134.2181,0.049862,0.013797,0.057319,0.078627,0.000512,0.015321,6646.073,5.043708,0,0.958722,0.11211,0,0.039601,0.00119,224.5843,2989.479,nostalgic
1.421848,0.438163,0.203691,0.209013,0.03517,0.083782,0.113976,0.21858,0.608022,69.86611,4.580802,1.327411,0.752305,0.832551,0.900032,0.102277,88.20199,5.865324,149.3803,0.660733,0.019157,0.081133,0.159203,0.000155,0.007129,8540.097,0.646401,0,0.820906,0.084842,0,0.147118,0.002954,367.6184,41212.95,nostalgic
1.289815,0.535604,0.200651,0.189064,0.028038,0.064719,0.162349,0.157778,0.573719,74.3488,4.507379,1.331247,0.526909,0.5288,0.875219,0.078692,73.08117,5.60817,200.2824,0.892475,0.020663,0.014403,0.032125,0.000211,0.004154,2693.039,0.514856,0,0.882157,0.117507,0,0.104025,0.003469,672.4478,51703.95,nostalgic
0.891277,0.419375,0.24311,0.197845,0.03601,0.081861,0.118898,0.187368,0.609045,113.9206,6.994181,1.566788,0.608914,1.541978,0.89625,0.085656,41.65143,5.773376,372.6974,1.395991,0.027535,0.018923,0.492825,0.000199,0.011948,3043.997,0.855818,0,0.690413,0.097831,0,0.213885,0.00632,864.686,372298.3,nostalgic
0.890491,0.551172,0.222706,0.20809,0.035614,0.094438,0.172544,0.428453,0.559384,80.05809,5.157029,1.410877,0.509685,0.705958,0.887055,0.087097,65.54514,5.544396,245.3122,1.080624,0.023498,0.01977,0.083318,0.000376,0.007713,2606.794,0.532602,0,0.966711,0.104339,0,0.032202,0.001881,727.1942,247927.3,nostalgic
0.948107,0.446029,0.210367,0.200033,0.027624,0.08247,0.09214,0.215748,0.596081,83.10064,5.456589,1.427901,0.762724,1.218795,0.900884,0.173369,142.8765,5.779809,325.5568,1.462211,0.024311,0.048779,0.225192,0.000168,0.015004,18955.96,0.388238,0,0.88016,0.114719,0,0.105549,0.004312,571.6321,188540,nostalgic
1.044089,0.380338,0.195622,0.171094,0.031326,0.069538,0.078203,0.143934,0.588314,84.11469,5.271481,1.400556,0.65404,0.95768,0.901032,0.169628,171.6755,5.723986,234.3471,1.255116,0.023842,0.02184,0.170469,0.000123,0.01492,23710.58,0.393381,0,0.934754,0.128933,0,0.06103,0.002488,711.3916,361234.4,nostalgic
