@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric

@data
0.212407,0.19966,0.037589,0.097839,0.101971,0.095193,0.033933
0.201237,0.182116,0.015759,0.105402,0.114487,0.078642,0.016868
0.215064,0.168789,0.022923,0.14048,0.170142,0.118803,0.025589
0.194973,0.163891,0.024119,0.109313,0.117422,0.097957,0.021554
0.234447,0.220597,0.033434,0.107782,0.091718,0.074739,0.02077
0.179493,0.168226,0.023252,0.103711,0.163275,0.129212,0.037078
0.179493,0.168226,0.023252,0.103711,0.163275,0.129212,0.037078
0.179493,0.168226,0.023252,0.103711,0.163275,0.129212,0.037078
0.239967,0.215381,0.031413,0.096885,0.095999,0.07727,0.026477
0.213756,0.227448,0.062541,0.096132,0.093838,0.125792,0.038951
0.227728,0.179796,0.020713,0.139518,0.119228,0.083285,0.019596
0.227728,0.179796,0.020713,0.139518,0.119228,0.083285,0.019596
0.227728,0.179796,0.020713,0.139518,0.119228,0.083285,0.019596
0.222735,0.22103,0.038324,0.118445,0.1208,0.106264,0.034503
0.177587,0.148589,0.018281,0.155588,0.159936,0.118149,0.018731
0.177587,0.148589,0.018281,0.155588,0.159936,0.118149,0.018731
0.177587,0.148589,0.018281,0.155588,0.159936,0.118149,0.018731
0.228453,0.229439,0.042788,0.097838,0.10571,0.099732,0.031109
0.228453,0.229439,0.042788,0.097838,0.10571,0.099732,0.031109
0.228453,0.229439,0.042788,0.097838,0.10571,0.099732,0.031109
0.232644,0.20065,0.029692,0.126915,0.119686,0.104164,0.029262
0.217999,0.158132,0.015076,0.105724,0.116653,0.105604,0.02712
0.231466,0.193287,0.027938,0.109881,0.113945,0.125974,0.049968
0.231466,0.193287,0.027938,0.109881,0.113945,0.125974,0.049968
0.198252,0.184562,0.021645,0.112621,0.140657,0.134957,0.020022
0.22554,0.235832,0.06855,0.106081,0.085762,0.073762,0.039367
0.199004,0.206338,0.028075,0.160862,0.154356,0.129377,0.04227
0.199004,0.206338,0.028075,0.160862,0.154356,0.129377,0.04227
0.257269,0.206353,0.069084,0.096846,0.091481,0.146181,0.035491
0.257269,0.206353,0.069084,0.096846,0.091481,0.146181,0.035491
0.195276,0.183136,0.031257,0.10138,0.108376,0.128184,0.027293
0.195276,0.183136,0.031257,0.10138,0.108376,0.128184,0.027293
0.22043,0.203324,0.035013,0.103944,0.08712,0.101961,0.026971
0.201585,0.187839,0.022,0.127458,0.109877,0.069533,0.018117
0.232941,0.206859,0.037647,0.097364,0.084426,0.085273,0.029942
0.232941,0.206859,0.037647,0.097364,0.084426,0.085273,0.029942
0.241592,0.214254,0.049293,0.120514,0.186479,0.172022,0.051441
0.211914,0.202527,0.037837,0.093132,0.112209,0.106462,0.031447
0.211914,0.202527,0.037837,0.093132,0.112209,0.106462,0.031447
0.211914,0.202527,0.037837,0.093132,0.112209,0.106462,0.031447
0.211914,0.202527,0.037837,0.093132,0.112209,0.106462,0.031447
0.211914,0.202527,0.037837,0.093132,0.112209,0.106462,0.031447
0.211914,0.202527,0.037837,0.093132,0.112209,0.106462,0.031447
0.211914,0.202527,0.037837,0.093132,0.112209,0.106462,0.031447
0.17133,0.178064,0.017364,0.127275,0.218796,0.118376,0.026712
0.191548,0.1907,0.021852,0.102402,0.097577,0.068844,0.015447
0.202579,0.187636,0.024292,0.119771,0.135065,0.134677,0.036114
0.251916,0.241775,0.067065,0.124902,0.102447,0.115866,0.048779
0.230879,0.193683,0.048038,0.120917,0.109792,0.088864,0.02847
0.200765,0.186532,0.043386,0.101263,0.096655,0.076023,0.019647
0.217674,0.189216,0.040224,0.125794,0.119129,0.102745,0.027803
0.213872,0.183088,0.028932,0.125731,0.132979,0.117386,0.029948
0.213872,0.183088,0.028932,0.125731,0.132979,0.117386,0.029948
0.213872,0.183088,0.028932,0.125731,0.132979,0.117386,0.029948
0.213872,0.183088,0.028932,0.125731,0.132979,0.117386,0.029948
0.237031,0.195063,0.022248,0.134826,0.12799,0.102966,0.0318
0.216948,0.193434,0.035746,0.111752,0.095006,0.114157,0.051605
0.216948,0.193434,0.035746,0.111752,0.095006,0.114157,0.051605
0.238764,0.189528,0.024894,0.095869,0.093596,0.128969,0.028147
0.240207,0.201611,0.041926,0.109344,0.090014,0.078362,0.020831
0.240207,0.201611,0.041926,0.109344,0.090014,0.078362,0.020831
0.240207,0.201611,0.041926,0.109344,0.090014,0.078362,0.020831
0.199942,0.183597,0.032343,0.141139,0.154156,0.132492,0.055043
0.205062,0.197881,0.022564,0.108669,0.087923,0.116964,0.026987
0.217837,0.191775,0.028765,0.112654,0.10516,0.078399,0.025539
0.200208,0.209314,0.033153,0.110051,0.089152,0.099525,0.031471
0.200208,0.209314,0.033153,0.110051,0.089152,0.099525,0.031471
0.225395,0.19901,0.038238,0.09868,0.092587,0.116814,0.034353
0.195248,0.204979,0.043969,0.099295,0.097345,0.078692,0.02715
0.213483,0.20576,0.020774,0.111883,0.116403,0.095045,0.015189
0.213483,0.20576,0.020774,0.111883,0.116403,0.095045,0.015189
0.196103,0.178866,0.024173,0.11836,0.109786,0.090047,0.037573
0.196103,0.178866,0.024173,0.11836,0.109786,0.090047,0.037573
0.212577,0.198334,0.045422,0.09441,0.105375,0.064234,0.023318
0.212577,0.198334,0.045422,0.09441,0.105375,0.064234,0.023318
0.194397,0.189005,0.019986,0.107834,0.084424,0.076657,0.021721
0.22105,0.191795,0.023852,0.110603,0.16327,0.117593,0.026275
0.22105,0.191795,0.023852,0.110603,0.16327,0.117593,0.026275
0.22105,0.191795,0.023852,0.110603,0.16327,0.117593,0.026275
