@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_amean numeric
@attribute mfcc_sma[12]_max numeric
@attribute pcm_RMSenergy_sma_de_linregerrQ numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[4]_linregc1 numeric
@attribute mfcc_sma_de[4]_linregc2 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[10]_min numeric
@attribute mfcc_sma_de[10]_linregc1 numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute mfcc_sma_de[11]_min numeric
@attribute mfcc_sma_de[12]_max numeric
@attribute output {nostalgic,notnostalgic}

@data
4.390671,2.184433,2.877767,7.215073,0,10.06942,-0.000001,-0.000002,0.006617,-0.776618,313,1.152932,-4.263676,0.000012,1.013396,-3.18425,4.247462,nostalgic
-8.637074,2.760829,1.922171,14.42932,0.000007,11.22641,-0.000009,0.000002,-0.005343,0.058815,2518,1.690557,-4.524647,0.000002,1.361939,-5.228018,5.007192,nostalgic
-9.80346,3.917958,-0.183118,14.21676,0.000008,6.223496,0.000002,0.000003,-0.006133,-0.013488,2073,0.86346,-3.52933,-0.000002,1.07059,-2.48677,3.146061,nostalgic
-7.604554,3.134166,-4.73769,10.74372,0.000004,9.098232,0.000003,0.000004,-0.001183,0.237443,1104,1.3012,-5.731956,-0.000002,1.654973,-4.093399,4.249095,nostalgic
-7.948396,3.319666,-5.070864,13.14513,0.000005,8.450062,-0.000001,-0.000002,0.007656,-0.177306,2225,1.308821,-4.717246,-0.000003,1.462958,-3.696172,4.39424,nostalgic
-8.571368,3.566234,-4.83359,18.34689,0.000017,9.312807,0.000002,0.000001,0.004714,-0.405573,424,1.420635,-4.597043,0.000005,1.26278,-4.192632,4.691383,nostalgic
-7.467477,2.701562,-2.028819,14.11074,0.000011,7.087655,0.000001,-0.000007,0.01263,0.346725,2853,1.08153,-4.737134,-0.000006,1.181618,-4.184331,3.87534,nostalgic
-4.287832,3.348891,0.285507,14.66872,0.000003,5.12015,-0.000005,-0.000011,0.015372,0.129167,2880,0.804974,-4.364776,-0.000007,0.952257,-3.724324,3.861307,nostalgic
-9.520502,3.037781,-4.430025,13.69991,0.000022,7.699759,0.000001,0.000003,-0.006508,-0.051365,1795,1.026544,-3.872307,-0.000001,1.073824,-4.552634,4.100866,nostalgic
-5.224774,3.809857,-3.240559,11.3767,0.000004,5.091602,0.000006,-0.000002,0.002708,-0.084783,913,0.642502,-3.796249,0.000003,0.732807,-3.9706,3.065887,nostalgic
-2.543272,2.629101,-2.047498,25.89901,0.000001,8.041203,0.000004,0.000002,-0.00438,0.409342,460,0.830549,-6.989562,0.000004,1.147374,-4.253747,7.477386,nostalgic
-9.828358,3.524488,-3.200051,12.06933,0.000005,4.392047,0,0.000001,-0.001933,0.059803,2465,0.951407,-3.187671,0.000008,0.947603,-3.313102,4.514934,nostalgic
-10.68268,3.243063,-0.658766,11.63451,0.000001,3.607677,-0.000004,0.000001,0.002254,0.070435,2627,0.843367,-3.360477,0,0.875491,-3.14296,3.637859,nostalgic
-13.8033,2.989815,0.38534,10.8989,0.000009,5.488574,-0.000001,0,-0.000404,-0.110297,2583,1.047186,-3.467832,0.000004,1.217186,-3.748663,3.683237,nostalgic
-8.76507,3.559396,-2.551379,11.81643,0.000009,11.14175,0.000003,-0.000004,0.009776,-0.124125,656,1.844894,-5.217285,0.000006,1.989753,-6.762821,5.067279,nostalgic
-6.612567,3.220103,0.476523,19.49581,0.000014,7.978172,-0.000002,-0.000001,-0.00019,0.180902,1883,1.123752,-4.328221,-0.000002,1.245037,-4.671477,4.317747,nostalgic
1.324179,2.991958,-6.106978,5.964157,0.000002,6.404187,0,0.000001,0.004912,-0.207181,2866,0.86682,-5.166811,0.000005,0.972966,-3.923133,3.222814,nostalgic
-6.750824,3.733169,0.056377,17.15239,0.000008,10.90889,0.000002,-0.000002,0.004284,0.01643,821,1.126281,-3.994182,0.000007,1.249519,-5.398784,7.038023,nostalgic
