@attribute Std_Acc1000_Std_Mem40_SCF_19 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute BeatHisto_MidBPM numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Flatness numeric
@attribute output {angry,notangry}

@data

0.092526,0.06292,0.143665,0.190872,0.292119,1.848638,0.331285,0.298553,0.313138,0.27035,2.56237,0.554698,1.015134,1.958221,2.540718,2.688682,3.915846,0.150887,0.130183,0.094977,0.032792,0.060072,0.070556,0.010328,0.265097,0.271278,0.315296,0.265088,0.410109,0.455842,1.151141,0.096945,0.085353,0.096711,0.072008,0.124111,0.257232,0.135087,0.338248,10.718426,0.192297,0.2816,0.559387,0.570834,0.025936,0.031458,0.037505,105,0.599152,1.004824,0.001519,angry
0.108925,0.067035,0.20653,0.292979,0.035964,1.942739,0.490597,0.542941,0.550666,0.369776,2.565276,0.4171,0.815859,1.074324,1.241147,1.16314,3.286012,0.113736,0.121455,0.098044,0.035968,0.037307,0.060445,0.009316,0.185518,0.233902,0.235704,0.293078,0.398863,0.462278,0.51263,0.112449,0.115714,0.089087,0.07472,0.123997,0.255855,0.075019,0.122393,0.427025,0.130212,0.327281,0.789667,0.581721,0.031571,0.033273,0.047664,100,0.545644,1.004878,0.00143,angry
0.105804,0.072485,0.180705,0.173774,0.173066,1.840263,0.481095,0.441779,0.465977,0.432548,2.559094,0.598804,0.975004,1.382524,1.682035,1.757102,3.06161,0.127708,0.134049,0.089396,0.037603,0.044504,0.057367,0.01016,0.34113,0.230859,0.259794,0.239771,0.467525,0.470127,0.969691,0.09178,0.097924,0.074601,0.075856,0.122482,0.257555,0.078531,0.212734,1.035217,0.116548,0.198434,0.603016,0.606012,0.02615,0.033382,0.046651,132,0.601633,1.00528,0.001519,angry
0.131805,0.087653,0.226098,0.361179,0.10107,1.801563,0.531138,0.520693,0.440547,0.438023,2.541011,0.500438,0.89956,1.505899,1.637786,1.932454,2.840664,0.143088,0.125083,0.075012,0.051988,0.047276,0.046754,0.011357,0.265089,0.184224,0.165009,0.21776,0.356899,0.476401,0.90658,0.085555,0.105988,0.086697,0.08051,0.125434,0.259501,0.101934,0.205762,3.405104,0.117004,0.279304,0.556404,0.44592,0.029945,0.03596,0.047244,111.5,0.548136,1.00543,0.001451,angry
0.11843,0.072046,0.214378,0.418167,0.232663,1.720619,0.539261,0.57214,0.492188,0.393449,2.541135,0.387221,0.89598,1.072154,1.31201,1.509697,3.722028,0.12405,0.103244,0.06455,0.038013,0.034004,0.044244,0.009706,0.103078,0.100925,0.115683,0.213312,0.321934,0.396249,0.61277,0.087549,0.082536,0.077299,0.078475,0.128533,0.256813,0.053983,0.083069,0.138843,0.105864,0.142578,0.37956,0.729239,0.028845,0.040171,0.050451,89.5,0.574565,1.003374,0.00158,angry
0.141612,0.094299,0.266159,0.685711,-0.009192,1.820215,0.503824,0.498603,0.501973,0.418236,2.571691,0.494802,1.040233,1.391471,1.439504,1.589157,3.51095,0.128573,0.123764,0.078788,0.036752,0.03444,0.039995,0.009819,0.163289,0.171514,0.156697,0.224355,0.391557,0.552343,0.863565,0.095956,0.096516,0.08113,0.0793,0.122428,0.257946,0.079127,0.169908,1.157933,0.13106,0.282582,0.494981,0.919837,0.024614,0.037712,0.05041,100,0.582897,1.003596,0.001603,angry
0.134197,0.094219,0.221176,-0.015149,0.075148,1.788401,0.51627,0.488557,0.512095,0.458484,2.554153,0.455719,0.928014,1.269944,1.597629,1.4043,2.698288,0.113894,0.104405,0.071239,0.02712,0.033213,0.045488,0.009004,0.228106,0.150319,0.154343,0.218803,0.440175,0.474895,0.663319,0.087217,0.083193,0.078713,0.073217,0.124053,0.258345,0.062768,0.120647,0.433545,0.110159,0.289279,0.728246,0.447031,0.025109,0.035554,0.046921,119.5,0.576049,1.00411,0.00157,angry
0.118616,0.073583,0.255396,0.276989,-0.05201,1.794767,0.425821,0.385846,0.511184,0.416998,2.570632,0.61208,1.108304,1.335428,1.425831,1.396985,4.079169,0.125658,0.100915,0.077521,0.053009,0.055055,0.050022,0.00965,0.397208,0.270958,0.296915,0.250266,0.39443,0.603087,0.691799,0.131393,0.094564,0.098168,0.078355,0.13133,0.259869,0.125242,0.158088,1.215837,0.123155,0.323633,0.774231,1.03848,0.027178,0.036597,0.05068,106,0.565925,1.007963,0.0015,angry
0.119532,0.075383,0.207438,0.491053,0.300874,1.821505,0.519282,0.504841,0.485742,0.332524,2.544271,0.435919,1.011904,1.332127,1.623147,1.64996,3.67373,0.127428,0.103428,0.080845,0.035269,0.035641,0.039388,0.009658,0.169173,0.20143,0.181228,0.240874,0.472468,0.500685,0.662202,0.089327,0.102726,0.108865,0.074017,0.12264,0.257971,0.068034,0.257349,0.900059,0.117598,0.329565,0.357016,0.72212,0.032237,0.038231,0.04796,139,0.590352,1.00272,0.001606,angry
0.141579,0.093876,0.2373,0.261383,0.494768,1.749146,0.407233,0.447207,0.427564,0.388944,2.563825,0.427611,0.793784,1.598283,1.538892,1.519747,3.079907,0.125754,0.094614,0.079694,0.038766,0.046791,0.050892,0.009092,0.353717,0.221433,0.152253,0.213864,0.329042,0.356544,0.57219,0.09359,0.098795,0.081376,0.080504,0.125683,0.257935,0.07124,0.257648,0.892324,0.129423,0.310364,0.41664,0.428527,0.020786,0.034673,0.049265,88,0.567162,1.003856,0.00156,angry
