@attribute Std_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MidBPM numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute output {angry,notangry}

@data

0.036657,0.493822,0.543388,0.146891,7.850843,0.395008,0.384374,0.41606,0.477403,0.403063,2.428764,4.622755,0.682453,1.624796,1.79479,2.720019,2.080082,2.924523,0.130041,0.116619,0.029447,0.097372,0.09659,0.086647,0.948868,0.285775,0.309362,0.235392,0.431105,0.352738,0.696548,0.969139,0.118628,0.135202,0.134106,0.086501,0.005847,0.236301,0.631952,0.609405,0.030046,0.030811,0.046583,0.076483,0.217759,131.75,0.571706,1.005871,angry
0.055152,0.226704,0.214632,0.074227,7.91883,0.361151,0.339025,0.31079,0.40193,0.455944,2.439505,6.937116,0.608602,1.816368,2.319193,2.696176,3.089971,3.430398,0.155193,0.138748,0.038651,0.076014,0.093823,0.105984,1.1087,0.375331,0.31316,0.288361,0.280649,0.429905,0.567872,1.129507,0.106035,0.128173,0.089779,0.052232,0.006844,0.281187,1.324925,0.771604,0.028901,0.031693,0.040799,0.068768,0.216179,83.5,0.646327,1.004842,angry
0.09599,1.281968,0.460854,0.760782,9.471238,0.655773,0.44622,0.38022,0.400563,0.526785,2.377006,1.290486,0.452878,1.911999,2.590643,2.409076,2.950916,3.932439,0.141298,0.090309,0.042223,0.042106,0.042911,0.059989,0.856757,0.477196,0.434031,0.483758,0.283985,0.262793,0.408217,1.659248,0.082426,0.091356,0.082464,0.051293,0.007053,0.154153,0.833045,1.159691,0.035355,0.035569,0.04671,0.081295,0.214145,108.25,0.571486,1.003186,angry
0.086668,0.678438,0.153541,0.113769,8.527323,0.6032,0.492493,0.445054,0.352741,0.500587,2.40395,2.689901,0.524421,1.66719,1.586883,1.816914,2.33095,3.46943,0.15901,0.094704,0.040145,0.061828,0.071511,0.097298,0.586778,0.256479,0.273523,0.176568,0.339079,0.333158,0.393701,0.714574,0.081855,0.08937,0.083857,0.037071,0.00446,0.183186,0.467065,0.510467,0.023988,0.034008,0.045423,0.07561,0.214875,112.25,0.567672,1.004441,angry
0.03946,0.55079,0.189417,0.352139,10.245326,0.552099,0.440985,0.42205,0.31042,0.457125,2.399375,2.000825,0.661846,1.673368,1.814273,2.262806,2.704583,4.018544,0.154601,0.149447,0.034113,0.079162,0.084503,0.088321,1.083872,0.401228,0.289272,0.139861,0.286471,0.291666,0.494926,0.694691,0.090263,0.090757,0.139767,0.079015,0.004952,0.193971,0.883405,0.502544,0.032677,0.033711,0.044842,0.077067,0.213135,114.75,0.589301,1.004004,angry
0.116956,0.278456,0.583027,0.093645,9.847541,0.608801,0.463582,0.454917,0.283084,0.521801,2.394631,2.89757,0.58904,1.525291,1.952985,2.379761,3.719875,4.542039,0.119817,0.084073,0.046929,0.043828,0.073336,0.06776,0.506066,0.384692,0.258039,0.170315,0.264457,0.306365,0.438254,1.069912,0.080447,0.084424,0.077932,0.036061,0.0039,0.240426,0.822964,0.791881,0.030481,0.035207,0.051897,0.083127,0.215322,107.75,0.569808,1.0028,angry
0.142478,0.050235,0.23118,-0.172571,10.324813,0.635299,0.529221,0.514142,0.410108,0.559288,2.372483,1.840697,0.506668,1.302431,1.350753,1.374381,2.185647,3.881056,0.108676,0.069214,0.03944,0.035323,0.042865,0.057928,0.389949,0.207703,0.215538,0.136123,0.216291,0.268796,0.44691,0.572395,0.082467,0.082591,0.105006,0.025764,0.004119,0.173857,0.458258,0.429912,0.026076,0.038465,0.050209,0.080638,0.212599,121.5,0.599938,1.00304,angry
0.157902,0.234082,0.351403,-0.049607,13.862376,0.582079,0.375823,0.401288,0.229602,0.55201,2.270748,1.58936,0.524009,1.420787,1.8765,1.915692,2.700652,5.452627,0.14598,0.038711,0.034207,0.03563,0.038173,0.053452,0.41218,0.155332,0.156808,0.303768,0.259121,0.2593,0.372771,1.239532,0.093251,0.096069,0.123208,0.020557,0.006193,0.165228,0.492751,0.647604,0.02568,0.035783,0.049104,0.081267,0.195377,90,0.573306,1.002749,angry
0.094258,0.436746,0.065728,0.12396,9.010966,0.646439,0.556799,0.529534,0.438575,0.477578,2.373453,2.014192,0.560287,1.134261,1.273814,1.602252,2.071231,3.208879,0.110713,0.072456,0.031195,0.047371,0.050675,0.066849,0.898551,0.202159,0.189438,0.158086,0.210944,0.288846,0.311588,0.665666,0.091299,0.08457,0.084222,0.055428,0.004233,0.187055,0.308206,0.441908,0.028834,0.034093,0.044586,0.080964,0.212727,96,0.602583,1.004987,angry
0.051222,0.705956,0.665691,0.256946,8.406305,0.599169,0.505382,0.469522,0.461207,0.51862,2.407136,0.808897,0.551574,1.433998,1.944897,2.414764,2.208147,2.918596,0.122507,0.077018,0.038165,0.051385,0.066035,0.06887,0.49962,0.261579,0.184166,0.178462,0.254934,0.291082,0.354369,0.861888,0.083206,0.091794,0.086116,0.047912,0.004417,0.101874,0.592043,0.544039,0.033836,0.035935,0.049545,0.083479,0.212192,84.75,0.556007,1.003313,angry
0.062698,0.07299,0.487586,-0.272436,13.34694,0.61802,0.452589,0.415344,0.34742,0.482354,2.353018,1.169753,0.43451,1.579542,1.280729,1.805911,2.455593,5.570854,0.10306,0.090584,0.020575,0.03963,0.04719,0.064722,0.755013,0.19531,0.180652,0.168759,0.212314,0.297098,0.427037,0.608777,0.102361,0.073045,0.090101,0.012123,0.005255,0.108456,0.446915,0.434413,0.027752,0.031615,0.040678,0.068806,0.221542,96,0.603877,1.003354,angry
0.094299,0.685711,0.308929,-0.009192,8.805438,0.629574,0.503824,0.522943,0.418236,0.542099,2.397486,1.308128,0.576043,1.312866,1.439504,1.589157,2.424592,3.51095,0.105901,0.078788,0.036752,0.03444,0.039995,0.047174,0.34544,0.163289,0.171514,0.156697,0.238786,0.297543,0.391557,0.637298,0.096516,0.093662,0.08113,0.029115,0.004656,0.169908,0.494981,0.919837,0.024614,0.037712,0.05041,0.081865,0.213864,100,0.582897,1.003596,angry
0.044999,0.171577,0.185233,-0.033467,9.216038,0.578309,0.425389,0.403474,0.412396,0.461441,2.360279,1.201886,0.519628,1.54038,2.162569,1.85403,2.553639,3.786716,0.161866,0.155024,0.031639,0.050858,0.070661,0.091278,0.807208,0.260426,0.258509,0.188577,0.30202,0.343182,0.431661,0.948977,0.087074,0.097754,0.09542,0.022516,0.005245,0.151122,0.599347,0.5708,0.0184,0.032195,0.040691,0.073616,0.214572,94.5,0.525518,1.005028,angry
0.089609,-0.59804,0.574041,0.138169,8.193838,0.480337,0.28351,0.185329,0.429092,0.514081,2.394171,42.620202,0.734566,1.559035,1.906278,2.986114,2.303939,3.050411,0.141967,0.131826,0.020848,0.044386,0.053033,0.08687,1.075233,0.407421,0.265631,0.198719,0.208197,0.527947,0.70936,0.9648,0.12947,0.075511,0.093702,0.042384,0.00487,0.23931,1.758303,0.564181,0.04893,0.029467,0.04411,0.068607,0.21779,85.5,0.564072,1.006662,angry
0.035981,0.306767,0.253022,-0.222711,8.155662,0.481857,0.459357,0.393478,0.409345,0.481462,2.387874,1.013295,0.643949,1.952676,2.167757,2.119557,2.555313,3.119016,0.139921,0.147169,0.024684,0.041703,0.066215,0.082308,1.017512,0.174429,0.211669,0.221529,0.220715,0.334703,0.41204,1.354167,0.108608,0.103153,0.091836,0.043332,0.004814,0.183962,0.331401,0.53661,0.027884,0.034062,0.044678,0.077351,0.21352,101.5,0.569253,1.002853,angry
0.08245,0.159963,0.118095,0.565385,8.721926,0.657416,0.423446,0.442319,0.401924,0.528777,2.383055,0.827773,0.506014,1.298,1.829019,1.73518,2.53335,3.222506,0.120115,0.088027,0.035449,0.036402,0.038897,0.051701,0.458245,0.267071,0.232329,0.155522,0.247059,0.276193,0.404598,0.855114,0.089997,0.085339,0.084774,0.025441,0.004635,0.124342,0.575729,0.554007,0.03096,0.040367,0.046115,0.078452,0.215431,122.5,0.609603,1.003738,angry
