@attribute mfcc_sma_de[9]_linregc2 numeric
@attribute mfcc_sma_de[12]_range numeric
@attribute mfcc_sma_de[12]_skewness numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_max numeric
@attribute F0_sma_de_linregc1 numeric
@attribute F0_sma_de_linregc2 numeric
@attribute output {angry,notangry}

@data

0.356229,2.916357,-17.06938,2419,1.92217,-0.21016,3.094542,-8.243589,4.638401,4.787405,2.936149,2837,13.49804,3.095963,0.000154,3.15215,687,-1.23536,12.54591,12.8862,0.067151,0.191796,0.39982,0.143191,0.251369,0.006087,1.367767,1419,0.095181,-0.000752,-0.214409,0.002166,0.045482,0.010546,0.008334,6.673056,0.05503,0.121839,0.000115,0.000415,89.79319,-0.000001,0.001707,angry
1.480377,5.684897,-3.977505,2692,-2.05695,0.194017,3.446551,-19.52335,-3.877371,-4.490592,2.824414,874,28.77273,2.956895,0.000355,2.94044,2905,-9.918986,11.60588,17.94629,0.008469,0.04988,4.726551,0.149644,0.462108,0.045642,0.251965,1290,-0.744996,0.001014,-0.513024,0.002697,0.002993,0.013238,-0.009962,8.263675,0.065626,0.150126,0.000055,0.001516,115.0013,-0.00004,-0.002517,angry
0.753287,2.662037,-5.129636,92,1.583633,-0.321194,3.565205,-16.466,0.413093,2.791044,2.787316,1353,27.34918,3.422234,-0.000058,3.26169,879,-0.094371,24.79404,33.1526,0.00484,0.078642,2.409916,0.138971,0.499444,0.0577,0.098689,356,-1.023204,-0.000828,-0.171265,-0.000155,-0.138328,-0.008253,0.013411,9.81424,0.005927,0.184291,-0.000441,0.002537,122.7701,0.000163,-0.122834,angry
-0.042243,1.687114,-13.86167,1247,10.17681,0.196813,1.887611,-13.62954,-0.654292,-2.60645,3.670782,635,13.31248,3.483572,0.000522,3.058411,1564,-0.614086,7.420455,16.29995,0.009679,0.156443,-0.13158,0.161715,0.456664,0.024568,1.411213,1470,-1.245597,-0.003567,-1.013851,-0.000235,0.138823,-0.011937,-0.002028,7.223004,-0.035418,0.13762,0.000086,0.001447,127.7681,-0.000072,0.107541,angry
0.490582,3.070105,-11.14586,974,3.496926,0.131207,3.858202,-21.07227,-5.157731,-6.464352,3.409951,2460,30.16321,3.237455,-0.00126,3.771076,690,-1.280547,18.86631,18.78798,0.015124,0.120915,2.227586,0.131449,0.286966,0.018189,0.94285,921,-0.316165,-0.000428,0.15091,0.000116,-0.009433,-0.005387,0.003732,9.274498,-0.006104,0.118868,-0.00013,0.000926,125.9703,-0.000038,0.056253,angry
1.147338,3.592899,-7.337512,95,4.336853,-0.18867,3.237285,-19.53635,-1.128945,-0.174698,3.038025,433,23.99675,2.86905,-0.000139,3.933213,1090,-3.424086,20.96711,23.49796,0.00605,0.083726,2.676871,0.157729,0.356208,0.03383,0.539101,1395,-0.604154,-0.004865,0.171501,0.002433,-0.158924,0.000791,0.005386,10.8775,-0.01697,0.149824,0.000347,0.001476,127.7681,-0.000064,0.123814,angry
0.087978,2.493732,-15.44052,2441,2.252926,-0.338248,3.058946,-16.28012,-0.220512,-0.068329,3.827544,2609,21.49383,3.614052,-0.000257,3.607065,2909,-4.486981,11.57874,15.86157,0.018149,0.172398,1.666275,0.140737,0.325153,0.022985,1.293306,1924,0.117139,-0.000814,-0.211978,-0.00339,-0.139646,0.008425,-0.001212,8.481557,0.112732,0.138409,0.00006,0.000939,121.4622,0.000046,-0.016998,angry
0.156368,3.161971,-16.37131,2363,0.343137,-0.452798,3.302173,-11.11968,1.824803,1.982564,2.91393,2481,16.95642,2.983731,-0.000712,2.819741,1812,0.316809,8.681324,12.05051,0.036298,0.181494,0.656769,0.146634,0.239652,0.002423,1.028782,1495,0.308002,-0.000628,0.139117,-0.001418,-0.158306,-0.003035,0.001478,8.3292,0.015261,0.061693,0.000036,0.000255,0,0,0,angry
0.259381,3.769011,-17.02523,1458,0.785085,-0.439924,3.238404,-9.997072,0.787244,0.819796,3.027799,149,12.97417,3.007937,0.000136,3.096668,1081,-1.506034,14.64431,12.52885,0.0732,0.209141,-0.109103,0.139883,0.324692,0.015699,0.570572,1586,-0.034752,0.000776,0.242306,0.001082,0.154229,0.007981,0.001717,7.462821,0.045795,0.134883,0.000297,0.000733,125.0497,-0.000042,0.062215,angry
1.658596,8.033148,-11.36185,181,-3.564304,0.228198,2.871229,-31.20655,-5.254664,-5.53687,4.421534,979,15.05857,3.357086,-0.000399,3.59094,181,-2.379112,5.268169,11.05599,0.036298,0.131853,3.087336,0.136555,0.235188,0.008601,2.185171,1700,0.182878,0.000727,0.220104,-0.001422,0.198266,0.00706,0.002303,6.674988,-0.027756,0.099498,0.000104,0.000305,94.77284,-0.000006,0.009107,angry
0.841824,3.460197,-12.65247,761,3.644705,-0.262243,3.658231,-15.36808,1.078194,1.361001,3.127757,2825,14.26808,4.155276,0.000511,3.979706,2922,-6.117909,15.39549,16.67238,0.011494,0.095881,1.340835,0.129736,0.262303,0.014205,1.328532,444,0.42581,-0.000613,-0.400471,-0.001527,-0.161083,0.005863,-0.00918,9.611223,0.147162,0.134508,0.000078,0.00071,126.9621,-0.000029,0.042916,angry
2.641475,14.09802,-8.529473,0,2.490695,-0.093191,3.939945,-15.67803,-4.75837,-5.769017,3.024243,2955,13.24677,2.96246,0.00181,3.11135,2880,-8.235691,7.180567,9.109895,0.019359,0.092064,0.692562,0.142998,0.314618,0.009065,0.955902,57,-2.073415,0.003895,0.163126,0.001607,0.560974,-0.000501,-0.000222,5.998978,0.100848,0.103524,0.000073,0.000341,124.4116,-0.000009,0.012845,angry
-0.745497,3.74408,-14.34799,1263,4.945802,-0.919335,6.818337,-11.79754,-0.061494,-0.270601,2.800561,618,14.88581,2.818373,0.000808,3.669954,1613,-2.182857,10.40804,13.4446,0.026618,0.143681,-0.309196,0.140758,0.271061,0.007655,1.293438,1234,-0.114902,0.002045,-0.417157,-0.001499,-0.098061,-0.003235,-0.009458,8.000609,0.026895,0.099235,0.000125,0.000472,104.6082,-0.000005,0.0071,angry
0.91898,3.006674,-6.825381,1706,0.225598,-0.129746,2.796175,-16.10028,0.095453,-0.366101,3.428,697,21.33502,2.976673,0.000191,3.184909,2585,-0.815252,8.431697,14.46055,0.016334,0.074728,0.568599,0.154066,0.360234,0.014561,0.629921,1972,-0.834854,-0.000643,0.138071,-0.002575,0.214444,-0.003496,0.001011,8.364432,0.088585,0.130336,0.000058,0.000856,97.87704,-0.000042,0.062999,angry
0.932364,3.624798,-12.20824,529,0.345294,-0.201399,2.932648,-17.42485,0.682195,0.020989,2.673673,2505,33.2653,3.342669,0.001273,3.49404,2568,-10.10257,9.729632,19.60778,0.006655,0.12144,1.056188,0.138708,0.707347,0.036357,0.149045,852,-0.414455,0.003435,-0.150875,0.005118,0.280089,-0.000544,0.001214,7.956991,0.001885,0.14897,-0.000022,0.001844,116.0398,-0.000096,0.089626,angry
0.825337,3.808431,-7.770199,738,3.317619,-0.889232,5.357126,-13.16555,-0.059934,-0.597848,3.054252,1718,12.17131,4.06908,0.000722,2.831857,1913,-1.403732,11.42443,11.23545,0.009679,0.06689,1.593171,0.135037,0.368562,0.012796,0.998075,1642,-0.686575,0.002381,-0.667066,-0.001069,-0.180319,-0.002493,0.008226,6.775476,-0.162793,0.135332,-0.000122,0.000917,115.6625,-0.000028,0.04125,angry
-0.539378,2.9294,-12.79313,647,6.678446,-0.279244,3.221386,-11.39884,4.354507,7.033264,3.322415,785,18.59107,3.079943,-0.000608,3.01669,2914,-0.711314,15.33658,15.99888,0.027828,0.12617,-0.148384,0.144937,0.39661,0.011554,1.560446,406,-0.356063,-0.000067,-0.036721,0.002311,0.049832,0.002199,0.005911,8.335737,-0.123582,0.113484,0.000007,0.000588,111.3078,-0.000031,0.045677,angry
-0.378142,3.47165,-13.50994,1994,4.628005,0.141281,2.864999,-11.24488,0.448172,-0.237663,2.669269,1059,23.52664,3.014349,-0.000415,4.130597,2414,-8.446787,13.48716,16.9455,0.007864,0.132874,0.47825,0.161786,0.363624,0.010011,1.168324,2845,-0.226416,0.00334,0.038087,0.001622,0.098121,0.000757,0.006916,8.125843,-0.049284,0.110038,0.0002,0.000721,126.5788,-0.000021,0.031881,angry
4.240867,29.47005,-3.580265,378,1.518172,-0.013793,3.370989,-21.60854,-2.435273,-0.886139,2.702078,1531,45.3743,4.160159,-0.00007,3.147814,966,-2.553629,14.94362,18.38875,0.005445,0.048622,3.899868,0.142955,0.342216,0.011042,0.914152,2478,-1.295386,-0.00536,0.200196,0.000605,0.348317,-0.009401,-0.001705,9.631981,-0.116097,0.09264,0.000188,0.00047,111.357,-0.000017,0.025798,angry
0.555241,3.037765,-6.687214,314,-1.446678,-0.839163,3.742446,-18.77749,-0.528132,-1.024747,3.429684,273,24.53535,3.64973,0.000914,3.139617,534,-2.880181,16.16771,15.74241,0.009679,0.073952,0.711289,0.139744,0.467368,0.018619,1.038754,600,-1.572948,-0.000073,-0.305474,-0.001804,-0.130243,0.004786,0.008398,6.598179,0.022987,0.106954,-0.000348,0.0008,121.9605,0.000031,-0.092609,angry
